GRDC Station Number,Latitude,Longitude,Catchment Area,Station Name,River Name,Country,File Date,Last Update,Downstream GRDC Station,Altitude
1104150,36.02000046,0.270000011,43750,Sidi Belatar,"CHELIF, OUED",DZ,2020/1/31,2018/5/23,-999,2
1104450,36.66999817,2.819999933,1912,Fer A Cheval,"MAZAFRAN, OUED",DZ,2020/1/31,2018/5/23,-999,10
1104600,36.41999817,4.599999905,4309,Sidi Yahia,"BOU SELLAM, OUED",DZ,2020/1/31,2019/4/24,-999,220
1104800,36.45000076,7.71999979,552,Bouchegouf,"MELAH, OUED EL",DZ,2020/1/31,2018/5/23,-999,95
1107700,35.15000153,-1.450000048,7245,Pierre Du Chat,"TAFNA, OUED",DZ,2020/1/31,2018/5/23,-999,60
1107800,35.06999969,-1.220000029,1118,Bensekrane,"ISSER, OUED",DZ,2020/1/31,2018/5/23,1107800,287
1112100,14.44999981,-11.27999973,157400,Kayes,SENEGAL FLEUVE,ML,2020/1/31,2018/6/28,1812500,20
1112110,14.31000042,-11.13000011,25000,Kabate,KOLINBINE,ML,2020/1/31,2018/6/28,1112100,-999
1112200,13.22999954,-11.38000011,15000,Gourbassy,FALEME RIVIERE,ML,2020/1/31,2018/6/28,1812600,-999
1112300,13.82999992,-11.13000011,127000,Galougo,SENEGAL FLEUVE,ML,2020/1/31,2018/6/28,1112100,69
1112320,13.35999966,-9.229999542,84400,Oualia,BAKOYE,ML,2020/1/31,2018/6/28,1112300,-999
1112330,13.34000015,-9.529999733,58000,Siramakana,BAOULE,ML,2020/1/31,2018/6/28,1112320,-999
1112340,13.44999981,-9.880000114,16000,Toukoto,BAKOYE,ML,2020/1/31,2018/6/28,1112320,-999
1112350,13.14000034,-10.47999954,33000,Dibia,BAFING,ML,2020/1/31,2018/6/28,1112300,-999
1112400,12.31000042,-11.22999954,9300,Fadougou,FALEME RIVIERE,ML,2020/1/31,2018/6/28,1112200,-999
1112480,12.14999962,-10.19999981,15500,Daka Saydou,BAFING,ML,2020/1/31,2018/6/28,1112500,-999
1112500,12.32999992,-10.15999985,21700,Bafing Makana,BAFING,ML,2020/1/31,2018/6/28,1112350,-999
1134020,11.14999962,-8.550000191,23300,Guelelinkoro,SANKARANI,ML,2020/1/31,2018/6/28,1134050,-999
1134030,11.68330002,-8.666700363,71750,Banankoro,"NIGER, RIVER",ML,2020/1/31,2018/6/28,1134100,329
1134040,11.97000027,-8.229999542,35300,Gouala,SANKARANI,ML,2020/1/31,2018/6/28,1134100,-999
1134050,11.57999992,-8.170000076,34200,Selingue,SANKARANI,ML,2020/1/31,2018/6/28,1134040,-999
1134060,11.13000011,-8.199999809,4100,Yanfolila,OUASSOULOU,ML,2020/1/31,2018/6/28,1134050,-999
1134080,10.80000019,-7.670000076,7900,Madina Diassa,BAOULE,ML,2020/1/31,2018/6/28,1134110,-999
1134100,12.86670017,-7.550000191,120000,Koulikoro,"NIGER, RIVER",ML,2020/1/31,2018/6/28,1134100,290
1134110,11.39999962,-7.449999809,15700,Bougouni,BAOULE,ML,2020/1/31,2018/6/28,1134200,-999
1134150,11.06999969,-6.849999905,3050,Kolondieba,BANIFING,ML,2020/1/31,2018/6/28,1134310,-999
1134200,12.52000046,-6.800000191,32500,Dioila,BAOULE,ML,2020/1/31,2018/6/28,1134300,-999
1134220,11.42000008,-6.570000172,31800,Pankourou,BAGOE,ML,2020/1/31,2018/6/28,1134300,-999
1134250,13.7166996,-6.050000191,137000,Kirango Aval,"NIGER, RIVER",ML,2020/1/31,2018/6/28,1134400,274
1134300,13.2166996,-5.900000095,101600,Douna,BANI,ML,2020/1/31,2018/6/28,1134450,270
1134310,12.02000046,-6.679999828,14300,Kouoro 2,BANIFING,ML,2020/1/31,2018/6/28,1134300,-999
1134320,12.02000046,-6.679999828,-999,Kouoro 1,BANIFING,ML,2020/1/31,2018/6/28,1134310,-999
1134350,11.68000031,-5.579999924,3685,Klela,LOTIO,ML,2020/1/31,2018/6/28,1134300,-999
1134400,13.94999981,-5.369999886,141000,Ke-Macina,"NIGER, RIVER",ML,2020/1/31,2018/6/28,1134460,-999
1134420,14.17000008,-5.019999981,-999,Kara,DIAKA,ML,2020/1/31,2018/6/28,1134460,-999
1134450,13.38000011,-4.920000076,116000,Beneny-Kegny,BANI,ML,2020/1/31,2018/6/28,1134480,-999
1134460,14.14999962,-4.980000019,143300,Tilembeya,"NIGER, RIVER",ML,2020/1/31,2018/6/28,1134500,-999
1134480,14.02000046,-4.25,129000,Sofara,BANI,ML,2020/1/31,2018/6/28,1134505,-999
1134500,14.52999973,-4.21999979,281600,Nantaka (Mopti),"NIGER, RIVER",ML,2020/1/31,2018/6/28,1134630,260
1134505,14.52999973,-4.21999979,-999,Mopti,BANI,ML,2020/1/31,2019/8/23,1134500,-999
1134600,15.39999962,-4.230000019,-999,Akka,"NIGER, RIVER",ML,2020/1/31,2018/6/28,1134705,-999
1134620,16.42000008,-3.650000095,-999,Goundam,TASSAKAN,ML,2020/1/31,2018/6/28,1134700,-999
1134630,16.12999916,-3.75,-999,Tonka,"NIGER, RIVER",ML,2020/1/31,2018/6/28,1134700,-999
1134650,15.81999969,-3.700000048,-999,Sarafere,BARA-ISSA,ML,2020/1/31,2018/6/28,1134630,-999
1134700,16.26670074,-3.383300066,340000,Dire,"NIGER, RIVER",ML,2020/1/31,2018/6/28,1134730,256
1134730,16.66659927,-3.033299923,342000,Koryoume,"NIGER, RIVER",ML,2020/1/31,2018/6/28,1134850,256
1134850,16.93000031,-0.579999983,348000,Tossaye,"NIGER, RIVER",ML,2020/1/31,2018/6/28,1134900,-999
1134900,15.66670036,0.5,566000,Ansongo,"NIGER, RIVER",ML,2020/1/31,2018/6/28,1234090,242
1147010,-4.300000191,15.30000019,3475000,Kinshasa,CONGO RIVER,CD,2020/1/31,2018/5/23,-999,-999
1147011,-0.349999994,25.45000076,948500,Ponthierville,CONGO RIVER,CD,2020/1/31,2018/5/23,1147013,413.6199951
1147012,-2.950000048,25.91666603,810440,Kindu,CONGO RIVER,CD,2020/1/31,2018/5/23,1147011,419.8599854
1147013,-4.136666775,15.33333302,3747320,Kinshasa-East (Leopoldville-Est),CONGO RIVER,CD,2020/1/31,2018/5/23,1147010,272.1199951
1147200,-3.18333292,17.38333321,737640,Kutu-Moke,KASAI,CD,2020/1/31,2018/5/23,1147013,302.7200012
1147201,-4.333333015,20.58333206,232560,Port-Francqui,KASAI,CD,2020/1/31,2018/5/23,1147200,365.019989
1159100,-28.75777817,17.72138977,866486,Vioolsdrif (27811003),ORANGE RIVER,ZA,2020/1/31,2019/2/14,-999,152
1159105,-28.07583046,16.89833069,985370,Sendelingsdrif,ORANGE RIVER,ZA,2020/1/31,2019/2/12,1159100,-999
1159110,-31.80666733,20.35777855,1502,Hardeheuwel (27814003),VISRIVIER-OOS,ZA,2020/1/31,2019/2/12,1159130,1077
1159120,-31.8152771,20.57805634,1679,Bonekraal (27814011),RENOSTERRIVIER,ZA,2020/1/31,2019/2/12,1159130,1140
1159130,-30.47444344,20.51916695,40073,Hol Pads Leegte (27814016),SAK,ZA,2020/1/31,2019/2/12,1159100,919
1159131,-31.36611176,21.32222176,13116,Windhoek (27814013),SAK,ZA,2020/1/31,2018/5/22,1159130,1093
1159300,-28.45777893,21.23916626,364560,Upington,ORANGE RIVER,ZA,2020/1/31,2019/2/12,1159100,-999
1159301,-29.65166664,22.74583244,339310,Prieska (27815102),ORANGE RIVER,ZA,2020/1/31,2019/2/12,1159300,947
1159302,-29.16194344,23.69583321,99316,Marksdrift (27815208),ORANGE RIVER,ZA,2020/1/31,2019/2/12,1159301,997
1159303,-29.81472206,24.4375,92346,Vluytjeskraal (27815205),ORANGE RIVER,ZA,2020/1/31,2018/5/22,1159302,1095
1159310,-29.14416695,26.31805611,348,Shannon Valley (27817207),RENOSTERSPRUIT,ZA,2020/1/31,2019/2/12,1159301,1350
1159320,-29.65805626,25.97277832,2381,Kromdraai (27817212),RIET,ZA,2020/1/31,2019/2/12,1159301,1319
1159321,-29.8125,26.21170044,596,Riviera (27817208),RIET,ZA,2020/1/31,2018/5/22,1159320,1392
1159325,-29.90250015,26.21444321,191,Os Poort (27817209),OSPOORTSPRUIT,ZA,2020/1/31,2018/5/22,1159320,1417
1159400,-27.57333374,24.74583244,11044,Taung (27817303),HARTS,ZA,2020/1/31,2019/2/12,1159301,1091
1159410,-27.84027863,25.90444374,17754,Floorsdrift (27817502),VETRIVIER,ZA,2020/1/31,2018/5/22,1159500,1237
1159500,-28.49888992,24.60305595,120982,De Hoop 65,VAAL RIVER,ZA,2020/1/31,2018/5/22,1159300,-999
1159510,-27.3983326,26.61305618,7801,Grootdraai (27817602),VALSRIVIER,ZA,2020/1/31,2019/2/12,1159500,1259
1159511,-27.39972115,26.62555695,7794,Mooifontein (27817603),VALSRIVIER,ZA,2020/1/31,2018/5/22,1159510,1259
1159512,-27.93555641,27.99638939,863,Klipfontein (27817604),VALSRIVIER,ZA,2020/1/31,2018/5/22,1159511,1530
1159520,-27.35583305,27.28555679,905,Dankbaar (27817703),HEUNINGSPRUIT,ZA,2020/1/31,2019/2/12,1159500,1357
1159530,-27.37000084,26.35055542,867,Klipspruit (27817465),LEEWDORINGSPRUIT,ZA,2020/1/31,2018/5/22,1159500,1249
1159540,-27.56055641,26.23333359,1895,Leegte (27817467),SANDSPRUIT,ZA,2020/1/31,2018/5/22,1159500,1240
1159600,-31.04000092,26.34000015,2400,Diep Kloof,STROMBERGSPRUIT,ZA,2020/1/31,2018/5/22,1159303,-999
1159601,-31.00083351,26.35305595,2397,Diepkloof (27819101),WONDERBOOMSPRUIT,ZA,2020/1/31,2019/2/12,1159303,1376
1159650,-30.67805672,26.7163887,37070,Aliwal Noord (27819103),ORANGE RIVER,ZA,2020/1/31,2019/2/12,1159303,1298
1159651,-30.33638954,27.35833359,24745,Oranjedraai (27819109),ORANGE RIVER,ZA,2020/1/31,2019/2/12,1159650,1394
1159660,-30.83055687,26.92055511,8689,Roodewal (27819111),KRAAIRIVIER,ZA,2020/1/31,2019/2/12,1159650,1320
1159670,-28.69472122,28.23472214,522,The Poplars (27818012),LITTLE CALEDON RIVER,ZA,2020/1/31,2019/2/12,1159303,-999
1159800,-26.82022285,28.06330681,38564,Elandsfontein Engelbrechtsdrift,VAAL RIVER,ZA,2020/1/31,2018/5/22,1159500,-999
1159810,-27.29833221,28.49555588,15522,Slabberts (27817822),WILGERIVIER,ZA,2020/1/31,2018/5/22,1159800,1498
1159820,-27.84777832,28.94499969,864,C8H003 (27817803),CORNELISRIVIER,ZA,2020/1/31,2019/2/12,1159810,1091
1159825,-28.08499908,28.83666611,393,Voorspoed (27817812),VAALBANKSPRUIT,ZA,2020/1/31,2019/2/12,1159810,1597
1159830,-28.37555695,28.86166763,690,C8H005 (27817805),ELANDSRIVIER,ZA,2020/1/31,2019/2/12,1159810,-999
1159850,-26.24805641,27.58944321,32,Rietfontein (27817428),RIETFONTEINSPRUIT,ZA,2020/1/31,2018/5/22,1159500,1602
1159860,-26.23277855,27.66861153,26,Middelvlei (27817426),MIDDELVLEISPRUIT,ZA,2020/1/31,2018/5/22,1159500,1614
1159900,-27.16944313,29.23305511,4152,Delangesdrift,KLIPRIVIER,ZA,2020/1/31,2019/2/12,1159800,-999
1159910,-26.86138916,28.88444328,2239,Elandslaagte (27817908),WATERVALRIVIER,ZA,2020/1/31,2019/2/12,1159800,1520
1160100,-34.07749939,19.29000092,502,Dwarshoek (27694403),RIVIERSONDEREND,ZA,2020/1/31,2018/5/22,-999,307
1160101,-34.06222153,19.07222176,39,Swarte Water (27694408),RIVIERSONDEREND,ZA,2020/1/31,2018/5/22,1160100,380
1160115,-34.40527725,19.59583282,599,Hagedisberg Outspan (27711206),KLEINRIVIER,ZA,2020/1/31,2019/2/12,-999,55
1160120,-34.29166794,20.02277756,381,Kykoedy (27711108),SOUTRIVIER,ZA,2020/1/31,2019/2/12,-999,140
1160200,-30.82388878,18.11750031,2351,Bruintjieshoogte (27713201),SWART-DORINGRIVIER,ZA,2020/1/31,2019/2/12,-999,175
1160210,-33.98638916,18.95555687,20,Jonkershoek (27711308),JONKERSHOEKRIVIER,ZA,2020/1/31,2018/5/22,-999,299
1160220,-32.78027725,19.28305626,267,Leeuw (27712207),LEEURIVIER,ZA,2020/1/31,2019/2/12,1160320,837
1160230,-32.21166611,18.93666649,163,Clanwilliam (27712306),JAN DISSELSRIVIER,ZA,2020/1/31,2019/2/12,-999,116
1160235,-31.86249924,18.68638992,24044,Melkboom,DORINGRIVIER,ZA,2020/1/31,2019/2/12,-999,-999
1160240,-33.1847229,19.15527725,19,Mountain View (27711421),KLEIN-BERGRIVIER,ZA,2020/1/31,2019/2/12,1160265,345
1160245,-33.13444519,19.06055641,183,Dri-Das-Bosch (27711428),VIER-EN-TWINTIG-RIVIERE,ZA,2020/1/31,2019/2/12,-999,130
1160250,-33.46389008,18.74027824,246,Malmesbury (27711312),DIEPRIVIER,ZA,2020/1/31,2019/2/12,-999,117
1160255,-33.70500183,18.69972229,473,Klippheuwel (27711313),MOSSELBANKRIVIER,ZA,2020/1/31,2018/5/22,-999,59
1160257,-33.58194351,18.3619442,23,Buffels River (27711318),SILWERSTROOMRIVIER,ZA,2020/1/31,2018/5/22,-999,14
1160260,-33.80861282,18.9841671,726,Farm 187 (27711407),BERGRIVIER,ZA,2020/1/31,2018/5/22,-999,140
1160265,-33.31388855,19.07444382,395,Nieuwkloof (27711408),KLEIN-BERGRIVIER,ZA,2020/1/31,2019/2/12,-999,93
1160270,-33.35222244,19.10027885,35,Watervalsberge (27711412),WATERVALRIVIER,ZA,2020/1/31,2018/5/22,1160265,277
1160271,-33.37944412,19.14944458,27,Watervalsberge (27711411),WATERVALRIVIER,ZA,2020/1/31,2019/2/12,1160270,181
1160275,-33.38805771,19.15916634,10,Knolvlei Bos Res. (27711410),KNOLVLEISPRUIT,ZA,2020/1/31,2019/2/12,1160265,176
