ID,lat_alloc,lon_alloc,area_alloc,lat_ori,lon_ori,area_ori,Modify,Station Name,River Name,Country,File Date,Last Update,Downstream GRDC Station,Altitude
1104150,36.021,0.271,46143.969,36.02,0.27,43750,,Sidi Belatar,"CHELIF, OUED",DZ,2020/1/31,2018/5/23,-999,2
1104450,36.671,2.821,1887.106,36.67,2.82,1912,,Fer A Cheval,"MAZAFRAN, OUED",DZ,2020/1/31,2018/5/23,-999,10
1104600,36.421,4.604,4043.194,36.42,4.6,4309,,Sidi Yahia,"BOU SELLAM, OUED",DZ,2020/1/31,2019/4/24,-999,220
1104800,36.454,7.721,550.91,36.45,7.72,552,,Bouchegouf,"MELAH, OUED EL",DZ,2020/1/31,2018/5/23,-999,95
1107700,35.146,-1.446,7418.153,35.15,-1.45,7245,,Pierre Du Chat,"TAFNA, OUED",DZ,2020/1/31,2018/5/23,-999,60
1107800,35.079,-1.221,1243.951,35.07,-1.22,1118,,Bensekrane,"ISSER, OUED",DZ,2020/1/31,2018/5/23,1107800,287
1112100,14.437,-11.279,97304.695,14.45,-11.28,157400,,Kayes,SENEGAL FLEUVE,ML,2020/1/31,2018/6/28,1812500,20
1112110,0,0,0,14.31,-11.13,25000,Area,Kabate,KOLINBINE,ML,2020/1/31,2018/6/28,1112100,-999
1112200,13.187,-11.496,14594.442,13.23,-11.38,15000,,Gourbassy,FALEME RIVIERE,ML,2020/1/31,2018/6/28,1812600,-999
1112300,13.862,-11.062,143088.172,13.83,-11.13,127000,,Galougo,SENEGAL FLEUVE,ML,2020/1/31,2018/6/28,1112100,69
1112320,13.429,-9.312,4842.4,13.36,-9.23,84400,,Oualia,BAKOYE,ML,2020/1/31,2018/6/28,1112300,-999
1112330,0,0,0,13.34,-9.53,58000,,Siramakana,BAOULE,ML,2020/1/31,2018/6/28,1112320,-999
1112340,13.446,-9.887,16480.662,13.45,-9.88,16000,,Toukoto,BAKOYE,ML,2020/1/31,2018/6/28,1112320,-999
1112350,13.196,-10.454,28181.164,13.14,-10.48,33000,,Dibia,BAFING,ML,2020/1/31,2018/6/28,1112300,-999
1112400,12.412,-11.179,564.265,12.31,-11.23,9300,,Fadougou,FALEME RIVIERE,ML,2020/1/31,2018/6/28,1112200,-999
1112480,12.187,-10.179,2192.761,12.15,-10.2,15500,,Daka Saydou,BAFING,ML,2020/1/31,2018/6/28,1112500,-999
1112500,12.221,-10.246,2338.589,12.33,-10.16,21700,,Bafing Makana,BAFING,ML,2020/1/31,2018/6/28,1112350,-999
1134020,11.146,-8.554,23587.348,11.15,-8.55,23300,,Guelelinkoro,SANKARANI,ML,2020/1/31,2018/6/28,1134050,-999
1134030,11.679,-8.662,70729.758,11.683,-8.667,71750,,Banankoro,"NIGER, RIVER",ML,2020/1/31,2018/6/28,1134100,329
1134040,11.971,-8.229,33111.254,11.97,-8.23,35300,,Gouala,SANKARANI,ML,2020/1/31,2018/6/28,1134100,-999
1134050,11.579,-8.179,31904.9,11.58,-8.17,34200,,Selingue,SANKARANI,ML,2020/1/31,2018/6/28,1134040,-999
1134060,11.137,-8.196,4321.299,11.13,-8.2,4100,,Yanfolila,OUASSOULOU,ML,2020/1/31,2018/6/28,1134050,-999
1134080,10.796,-7.671,8420.52,10.8,-7.67,7900,,Madina Diassa,BAOULE,ML,2020/1/31,2018/6/28,1134110,-999
1134100,12.871,-7.546,117949.93,12.867,-7.55,120000,,Koulikoro,"NIGER, RIVER",ML,2020/1/31,2018/6/28,1134100,290
1134110,11.396,-7.446,14920.026,11.4,-7.45,15700,,Bougouni,BAOULE,ML,2020/1/31,2018/6/28,1134200,-999
1134150,11.071,-6.846,3104.583,11.07,-6.85,3050,,Kolondieba,BANIFING,ML,2020/1/31,2018/6/28,1134310,-999
1134200,12.521,-6.796,31778.953,12.52,-6.8,32500,,Dioila,BAOULE,ML,2020/1/31,2018/6/28,1134300,-999
1134220,11.421,-6.571,31042.438,11.42,-6.57,31800,,Pankourou,BAGOE,ML,2020/1/31,2018/6/28,1134300,-999
1134250,13.721,-6.054,131764.156,13.717,-6.05,137000,,Kirango Aval,"NIGER, RIVER",ML,2020/1/31,2018/6/28,1134400,274
1134300,13.212,-5.904,99876.906,13.217,-5.9,101600,,Douna,BANI,ML,2020/1/31,2018/6/28,1134450,270
1134310,0,0,0,12.02,-6.68,14300,,Kouoro 2,BANIFING,ML,2020/1/31,2018/6/28,1134300,-999
1134320,0,0,0,12.02,-6.68,-999,,Kouoro 1,BANIFING,ML,2020/1/31,2018/6/28,1134310,-999
1134350,11.679,-5.587,3675.76,11.68,-5.58,3685,,Klela,LOTIO,ML,2020/1/31,2018/6/28,1134300,-999
1134400,13.954,-5.362,134226.766,13.95,-5.37,141000,,Ke-Macina,"NIGER, RIVER",ML,2020/1/31,2018/6/28,1134460,-999
1134420,0,0,0,14.17,-5.02,-999,,Kara,DIAKA,ML,2020/1/31,2018/6/28,1134460,-999
1134450,13.379,-4.921,111677.148,13.38,-4.92,116000,,Beneny-Kegny,BANI,ML,2020/1/31,2018/6/28,1134480,-999
1134460,14.146,-4.979,136995.828,14.15,-4.98,143300,,Tilembeya,"NIGER, RIVER",ML,2020/1/31,2018/6/28,1134500,-999
1134480,14.021,-4.246,130175.844,14.02,-4.25,129000,,Sofara,BANI,ML,2020/1/31,2018/6/28,1134505,-999
1134500,14.529,-4.204,278325.406,14.53,-4.22,281600,,Nantaka (Mopti),"NIGER, RIVER",ML,2020/1/31,2018/6/28,1134630,260
1134505,0,0,0,14.53,-4.22,-999,,Mopti,BANI,ML,2020/1/31,2019/8/23,1134500,-999
1134600,0,0,0,15.4,-4.23,-999,,Akka,"NIGER, RIVER",ML,2020/1/31,2018/6/28,1134705,-999
1134620,0,0,0,16.42,-3.65,-999,,Goundam,TASSAKAN,ML,2020/1/31,2018/6/28,1134700,-999
1134630,0,0,0,16.13,-3.75,-999,,Tonka,"NIGER, RIVER",ML,2020/1/31,2018/6/28,1134700,-999
1134650,0,0,0,15.82,-3.7,-999,,Sarafere,BARA-ISSA,ML,2020/1/31,2018/6/28,1134630,-999
1134700,16.271,-3.379,345824.25,16.267,-3.383,340000,,Dire,"NIGER, RIVER",ML,2020/1/31,2018/6/28,1134730,256
1134730,16.654,-3.029,348695.844,16.667,-3.033,342000,,Koryoume,"NIGER, RIVER",ML,2020/1/31,2018/6/28,1134850,256
1134850,16.938,-0.587,375411.25,16.93,-0.58,348000,,Tossaye,"NIGER, RIVER",ML,2020/1/31,2018/6/28,1134900,-999
1134900,15.671,0.496,489290.312,15.667,0.5,566000,,Ansongo,"NIGER, RIVER",ML,2020/1/31,2018/6/28,1234090,242
1147010,-4.288,15.296,3605689,-4.3,15.3,3475000,,Kinshasa,CONGO RIVER,CD,2020/1/31,2018/5/23,-999,-999
1147011,-0.346,25.454,931908.812,-0.35,25.45,948500,,Ponthierville,CONGO RIVER,CD,2020/1/31,2018/5/23,1147013,413.6199951
1147012,-2.946,25.929,785003,-2.95,25.917,810440,,Kindu,CONGO RIVER,CD,2020/1/31,2018/5/23,1147011,419.8599854
1147013,-4.279,15.329,3604575.25,-4.137,15.333,3747320,,Kinshasa-East (Leopoldville-Est),CONGO RIVER,CD,2020/1/31,2018/5/23,1147010,272.1199951
1147200,-3.213,17.363,744483,-3.183,17.383,737640,,Kutu-Moke,KASAI,CD,2020/1/31,2018/5/23,1147013,302.7200012
1147201,-4.338,20.571,240173.172,-4.333,20.583,232560,,Port-Francqui,KASAI,CD,2020/1/31,2018/5/23,1147200,365.019989
1159100,-28.754,17.721,788485.688,-28.758,17.721,866486,,Vioolsdrif (27811003),ORANGE RIVER,ZA,2020/1/31,2019/2/14,-999,152
1159105,-28.079,16.896,884673.562,-28.076,16.898,985370,,Sendelingsdrif,ORANGE RIVER,ZA,2020/1/31,2019/2/12,1159100,-999
1159110,-31.804,20.354,1505.193,-31.807,20.358,1502,,Hardeheuwel (27814003),VISRIVIER-OOS,ZA,2020/1/31,2019/2/12,1159130,1077
1159120,-31.813,20.579,1684.073,-31.815,20.578,1679,,Bonekraal (27814011),RENOSTERRIVIER,ZA,2020/1/31,2019/2/12,1159130,1140
1159130,-30.471,20.521,37829.93,-30.474,20.519,40073,,Hol Pads Leegte (27814016),SAK,ZA,2020/1/31,2019/2/12,1159100,919
1159131,-31.363,21.321,13159.003,-31.366,21.322,13116,,Windhoek (27814013),SAK,ZA,2020/1/31,2018/5/22,1159130,1093
1159300,-28.463,21.246,354290.531,-28.458,21.239,364560,,Upington,ORANGE RIVER,ZA,2020/1/31,2019/2/12,1159100,-999
1159301,-29.654,22.746,330382.75,-29.652,22.746,339310,,Prieska (27815102),ORANGE RIVER,ZA,2020/1/31,2019/2/12,1159300,947
1159302,-29.163,23.696,99239.883,-29.162,23.696,99316,,Marksdrift (27815208),ORANGE RIVER,ZA,2020/1/31,2019/2/12,1159301,997
1159303,-29.813,24.438,91699,-29.815,24.438,92346,,Vluytjeskraal (27815205),ORANGE RIVER,ZA,2020/1/31,2018/5/22,1159302,1095
1159310,-29.146,26.321,339.324,-29.144,26.318,348,,Shannon Valley (27817207),RENOSTERSPRUIT,ZA,2020/1/31,2019/2/12,1159301,1350
1159320,-29.654,25.971,2361.112,-29.658,25.973,2381,,Kromdraai (27817212),RIET,ZA,2020/1/31,2019/2/12,1159301,1319
1159321,-29.813,26.213,591.606,-29.812,26.212,596,,Riviera (27817208),RIET,ZA,2020/1/31,2018/5/22,1159320,1392
1159325,-29.904,26.213,196.387,-29.903,26.214,191,,Os Poort (27817209),OSPOORTSPRUIT,ZA,2020/1/31,2018/5/22,1159320,1417
1159400,-27.571,24.746,10703.677,-27.573,24.746,11044,,Taung (27817303),HARTS,ZA,2020/1/31,2019/2/12,1159301,1091
1159410,-27.838,25.904,17917.879,-27.84,25.904,17754,,Floorsdrift (27817502),VETRIVIER,ZA,2020/1/31,2018/5/22,1159500,1237
1159500,-28.496,24.604,119082.602,-28.499,24.603,120982,,De Hoop 65,VAAL RIVER,ZA,2020/1/31,2018/5/22,1159300,-999
