ID,lat_mod,lon_mod,area_mod,lat_ori,lon_ori,area_ori,Memo,Station Name,River Name,Country,File Date,Last Update,Downstream GRDC Station,Altitude
1104150,36.02,0.27,43750,36.02,0.27,43750, ,Sidi Belatar,"CHELIF, OUED",DZ,2020/1/31,2018/5/23,-999,2
1104450,36.67,2.82,1912,36.67,2.82,1912, ,Fer A Cheval,"MAZAFRAN, OUED",DZ,2020/1/31,2018/5/23,-999,10
1104600,36.42,4.6,4309,36.42,4.6,4309, ,Sidi Yahia,"BOU SELLAM, OUED",DZ,2020/1/31,2019/4/24,-999,220
1104800,36.45,7.72,552,36.45,7.72,552, ,Bouchegouf,"MELAH, OUED EL",DZ,2020/1/31,2018/5/23,-999,95
1107700,35.15,-1.45,7245,35.15,-1.45,7245, ,Pierre Du Chat,"TAFNA, OUED",DZ,2020/1/31,2018/5/23,-999,60
1107800,35.07,-1.22,1118,35.07,-1.22,1118, ,Bensekrane,"ISSER, OUED",DZ,2020/1/31,2018/5/23,1107800,287
1112100,14.45,-11.28,157400,14.45,-11.28,157400, ,Kayes,SENEGAL FLEUVE,ML,2020/1/31,2018/6/28,1812500,20
1112110,14.31,-11.13,-9999,14.31,-11.13,25000,Removed,Kabate,KOLINBINE,ML,2020/1/31,2018/6/28,1112100,-999
1112200,13.23,-11.38,15000,13.23,-11.38,15000, ,Gourbassy,FALEME RIVIERE,ML,2020/1/31,2018/6/28,1812600,-999
1112300,13.83,-11.13,127000,13.83,-11.13,127000, ,Galougo,SENEGAL FLEUVE,ML,2020/1/31,2018/6/28,1112100,69
1112320,13.36,-9.23,84400,13.36,-9.23,84400,??,Oualia,BAKOYE,ML,2020/1/31,2018/6/28,1112300,-999
1112330,13.34,-9.53,58000,13.34,-9.53,58000,??,Siramakana,BAOULE,ML,2020/1/31,2018/6/28,1112320,-999
1112340,13.45,-9.88,16000,13.45,-9.88,16000, ,Toukoto,BAKOYE,ML,2020/1/31,2018/6/28,1112320,-999
1112350,13.14,-10.48,33000,13.14,-10.48,33000, ,Dibia,BAFING,ML,2020/1/31,2018/6/28,1112300,-999
