ID,lat_alloc,lon_alloc,area_alloc,lat_ori,lon_ori,area_ori,area_diff,area_error,loc_km_diff,alloc_score,rivname,locname,flag,memo
1,44.897,141.923,115.455,44.895,141.927,118.9,-3.445,-0.029,0.364,0.095,雄信内川,下雄信内,1,
2,42.849,141.501,118.589,42.849,141.502,118.9,-0.311,-0.003,0.111,0.024,漁川,取水場,1,
3,42.78,142.217,720.536,42.782,142.217,721.7,-1.164,-0.002,0.24,0.049,鵡川,富内,1,
4,42.772,142.147,196.98,42.772,142.146,201.7,-4.72,-0.023,0.069,0.032,穂別川,茂別,1,
5,42.723,142.301,725.229,42.723,142.301,724.4,0.829,0.001,0.026,0.006,沙流川,振内,1,
6,42.673,142.184,1183.847,42.672,142.184,1181.3,2.547,0.002,0.102,0.023,沙流川,荷負,1,
7,43.055,144.298,120.173,43.054,144.298,104.3,15.873,0.152,0.096,0.171,仁々志別川,北斗,1,
8,43.041,144.452,21.112,43.041,144.452,21.96,-0.848,-0.039,0.009,0.034,旧釧路川,丹頂橋,1,
9,45.398,141.855,24.682,45.403,141.85,21.96,2.722,0.124,0.68,0.414,増幌川,四線橋,1,
10,37.928,140.419,161.181,37.932,140.423,183,-21.819,-0.119,0.542,0.21,摺上川,秋庭,1,
11,38.897,141.269,96.723,38.896,141.269,183,-86.277,-0.471,0.062,0.681,千厩川,千厩（外水）,1,
12,38.897,141.269,96.723,38.896,141.269,183,-86.277,-0.471,0.062,0.681,千厩川,千厩（内水）,1,
13,38.931,141.249,364.395,38.933,141.251,183,181.395,0.991,0.245,1.04,磐井川,吸川（内水）,1,
14,38.613,141.137,197.481,38.614,141.139,183,14.481,0.079,0.21,0.121,旧迫川,三方江,1,
15,39.665,140.973,129.363,39.662,140.97,183,-53.637,-0.293,0.38,0.387,矢櫃川,西安庭,1,
16,40.537,140.263,170.747,40.535,140.26,183,-12.253,-0.067,0.337,0.121,岩木川,目屋,1,
17,38.453,140.031,229.488,38.456,140.032,183,46.488,0.254,0.288,0.312,寒河江川,寒河江ダム,1,
18,35.947,140.453,188.828,35.921,140.452,183,5.828,0.032,2.836,0.599,霞ヶ浦,霞ケ浦,1,
19,35.862,140.319,150.975,35.862,140.318,183,-32.025,-0.175,0.071,0.173,根木名川,根木名川,1,
20,36.174,139.058,375.926,36.174,139.058,-9999,-999,-999,0.046,-999,神流川,若泉,1,
21,35.835,140.697,1.629,35.837,140.696,-9999,-999,-999,0.182,-999,利根川,黒部利根,1,
22,35.917,140.452,13003.747,35.921,140.452,-9999,-999,-999,0.404,-999,利根川,利根機場外,1,
23,35.917,140.452,13003.747,35.921,140.452,-9999,-999,-999,0.404,-999,利根川,利根川外,1,
