ID,lat_mod,lon_mod,area_mod,rivname,locname
1,44.895,141.927,118.9,雄信内川,下雄信内
2,42.849,141.502,118.9,漁川,取水場
3,42.782,142.217,721.7,鵡川,富内
4,42.772,142.146,201.7,穂別川,茂別
5,42.723,142.301,724.4,沙流川,振内
6,42.672,142.184,1181.3,沙流川,荷負
7,43.054,144.298,104.3,仁々志別川,北斗
8,43.041,144.452,21.96,旧釧路川,丹頂橋
9,45.403,141.85,21.96,増幌川,四線橋
10,37.932,140.423,183,摺上川,秋庭
11,38.896,141.269,183,千厩川,千厩（外水）
12,38.896,141.269,183,千厩川,千厩（内水）
13,38.933,141.251,183,磐井川,吸川（内水）
14,38.614,141.139,183,旧迫川,三方江
15,39.662,140.97,183,矢櫃川,西安庭
16,40.535,140.26,183,岩木川,目屋
17,38.456,140.032,183,寒河江川,寒河江ダム
18,35.921,140.452,183,霞ヶ浦,霞ケ浦
19,35.862,140.318,183,根木名川,根木名川
20,36.174,139.058,-9999,神流川,若泉
21,35.837,140.696,-9999,利根川,黒部利根
22,35.921,140.452,-9999,利根川,利根機場外
23,35.921,140.452,-9999,利根川,利根川外
24,35.926,139.938,11.94,利根運河,江川（内）
25,35.823,139.898,-9999,坂川,神明堀（外）
26,35.822,139.893,-9999,坂川,沈砂池
27,35.823,139.898,-9999,坂川,神明堀（内）
28,35.818,139.871,-9999,三郷放水路,三郷（2）
29,35.818,139.885,-9999,三郷放水路,三郷（3）
30,35.799,139.895,-9999,六間川,古ヶ崎（堤内）
31,35.738,139.903,-9999,真間川,根本（内）
32,35.796,139.848,47.25,中川,新大場川水門（外）
33,35.796,139.848,-9999,大場川,新大場川水門（内）
34,35.809,139.823,-9999,綾瀬川,伝右（外）
35,35.751,139.821,-9999,綾瀬川,綾瀬（内）
36,35.75,139.82,-9999,綾瀬川,綾瀬（外）
37,35.809,139.822,-9999,綾瀬川,伝右（内）
38,36.622,139.038,981,利根川,屋形原
39,36.88,139.464,71.97,鬼怒川,湯元
40,36.915,139.521,26.7,馬坂川,馬坂
41,36.874,139.636,275,鬼怒川,松ノ木平
42,36.893,139.649,19.5,稲ヶ沢川,小穴
43,36.944,139.63,83.6,湯西川,一ッ石
44,36.965,139.686,134.9,男鹿川,独鈷沢
45,36.894,139.701,1,鬼怒川,元湯
46,36.849,139.729,662,鬼怒川,原
47,36.802,139.704,662.8,鬼怒川,小佐越
48,36.746,139.757,250.7,大谷川,町谷
49,36.864,139.552,210,鬼怒川,大川筑
50,36.094,139.428,210,通殿川,通殿（内）
51,35.567,138.478,-9999,横川,横川：内
52,35.567,138.478,-9999,横川,横川：外
53,35.606,138.589,-9999,間門川,柏内
54,35.603,138.575,-9999,笛吹川,穏池：外
55,35.606,138.589,-9999,笛吹川,柏外
56,35.603,138.575,-9999,蛭沢川,穏池：内
57,37.825,139.151,-9999,小阿賀野川,七日町
58,35.047,138.916,-9999,放水路,珍野
59,34.508,136.736,19.6,勢田川,防潮水門外
60,34.393,135.861,490,紀の川,上市
64,35.191,135.683,-9999,桂川,井戸（機構）
65,34.583,135.627,-9999,長瀬川,市村（廃止）
66,34.58,135.625,-9999,平野川,青地（廃止）
67,34.89,135.406,127.8,一庫大路次川,畦野（機構）
68,34.584,136.049,-9999,宇陀川,鹿高（機構）
69,34.934,135.423,44,田尻川,国崎（機構）
70,34.618,136.093,-9999,名張川,上名張（機構）
71,34.735,135.968,-9999,布目川,興ヶ原（機構）
72,34.768,135.964,-9999,木津川,有市
74,35.013,135.943,45.3,琵琶湖,西矢倉
75,35.968,136.576,45.3,九頭竜川,富田
76,36.02,136.515,890.2,九頭竜川,下荒井（上）（廃止）
77,35.932,136.561,236.3,真名川,五条方上流（廃止）
78,35.074,134.067,230,加茂川,高野
79,34.989,134.133,490,吉野川,湯郷
80,33.859,133.419,280,銅山川,保土野（廃止）
81,26.796,128.239,12,辺野喜川,下辺野喜
82,44.075,142.74,142,天塩川,茂志利
83,44.109,142.598,399,天塩川,奥士別
84,44.119,142.534,563,天塩川,剣和
85,44.129,142.484,588.6,天塩川,上士別（廃止）
86,44.19,142.415,717,天塩川,九十九橋
87,44.296,142.365,1463,天塩川,西多寄
88,44.361,142.443,1719,天塩川,名寄大橋
89,44.481,142.336,2899,天塩川,美深橋
90,44.593,142.302,3220,天塩川,恩根内
91,44.705,142.267,3506,天塩川,茨内
92,44.809,142.071,4029,天塩川,誉平
93,44.089,142.747,72,似峡川,似峡
94,44.166,142.377,612,剣淵川,士別
95,44.301,142.649,316,名寄川,下川
96,44.319,142.583,620,名寄川,上名寄
97,44.333,142.485,695,名寄川,真勲別
98,44.463,142.365,222,ペンケニウプ川,仁宇布
99,44.319,142.447,-9999,風連別川,北興橋
100,44.898,142.008,4190,天塩川,新問寒別橋
101,44.9,141.967,4235,天塩川,辰根牛
102,44.926,141.879,4685,天塩川,円山
103,44.994,141.814,4839,天塩川,天塩大橋
104,44.892,141.74,5588,天塩川,天塩河口
105,45.011,142.078,92,問寒別川,上問寒別
106,44.959,142.058,203,問寒別川,中問寒別
107,44.918,142.018,257,問寒別川,下問寒別
108,44.886,141.913,103,雄信内川,上雄信内
110,45.004,141.706,596,サロベツ川,音類橋
111,44.987,141.716,634.9,サロベツ川,浜里
112,26.761,128.216,10.7,与那川,与那（廃止）
113,43.85,141.806,49,留萌川,峠下
