ID,lat_mod,lon_mod,area_mod,rivname,locname
1,44.897,141.923,115.455,雄信内川,下雄信内
2,42.849,141.501,118.589,漁川,取水場
3,42.78,142.217,720.536,鵡川,富内
4,42.772,142.147,196.98,穂別川,茂別
5,42.723,142.301,725.229,沙流川,振内
6,42.673,142.184,1183.847,沙流川,荷負
7,43.055,144.298,120.173,仁々志別川,北斗
8,43.041,144.452,21.112,旧釧路川,丹頂橋
9,45.398,141.855,24.682,増幌川,四線橋
10,37.928,140.419,161.181,摺上川,秋庭
11,38.897,141.269,96.723,千厩川,千厩（外水）
12,38.897,141.269,96.723,千厩川,千厩（内水）
13,38.931,141.249,364.395,磐井川,吸川（内水）
14,38.613,141.137,197.481,旧迫川,三方江
15,39.665,140.973,129.363,矢櫃川,西安庭
16,40.537,140.263,170.747,岩木川,目屋
17,38.453,140.031,229.488,寒河江川,寒河江ダム
18,35.947,140.453,188.828,霞ヶ浦,霞ケ浦
19,35.862,140.319,150.975,根木名川,根木名川
20,36.174,139.058,375.926,神流川,若泉
21,35.835,140.697,1.629,利根川,黒部利根
22,35.917,140.452,13003.747,利根川,利根機場外
23,35.917,140.452,13003.747,利根川,利根川外
24,35.927,139.938,13.706,利根運河,江川（内）
25,35.823,139.898,28.722,坂川,神明堀（外）
26,35.822,139.89,81.407,坂川,沈砂池
27,35.823,139.898,28.722,坂川,神明堀（内）
28,35.817,139.872,2.531,三郷放水路,三郷（2）
29,35.817,139.884,43.452,三郷放水路,三郷（3）
30,35.799,139.895,33.97,六間川,古ヶ崎（堤内）
31,35.738,139.901,137.38,真間川,根本（内）
32,35.795,139.848,51.258,中川,新大場川水門（外）
33,35.797,139.848,673.524,大場川,新大場川水門（内）
34,35.809,139.823,177.588,綾瀬川,伝右（外）
35,35.751,139.82,237.728,綾瀬川,綾瀬（内）
36,35.751,139.82,237.728,綾瀬川,綾瀬（外）
37,35.809,139.822,24.5,綾瀬川,伝右（内）
38,36.623,139.038,989.595,利根川,屋形原
39,36.88,139.465,71.651,鬼怒川,湯元
40,36.916,139.522,27.139,馬坂川,馬坂
41,36.874,139.635,272.306,鬼怒川,松ノ木平
42,36.894,139.648,19.672,稲ヶ沢川,小穴
43,36.945,139.63,83.704,湯西川,一ッ石
44,36.965,139.687,132.787,男鹿川,独鈷沢
45,36.886985,139.702498,321,鬼怒川,元湯
46,36.849,139.728,655.14,鬼怒川,原
47,36.802,139.705,672.638,鬼怒川,小佐越
48,36.747,139.758,239.943,大谷川,町谷
49,36.865,139.552,208.458,鬼怒川,大川筑
50,36.093416,139.427136,44,通殿川,通殿（内）
51,35.567,138.478,20.098,横川,横川：内
52,35.567,138.478,20.098,横川,横川：外
53,35.606,138.588,635.517,間門川,柏内
54,35.603,138.576,2.958,笛吹川,穏池：外
55,35.606,138.588,635.517,笛吹川,柏外
56,35.603,138.576,2.958,蛭沢川,穏池：内
57,37.823,139.155,7314.679,小阿賀野川,七日町
58,35.048,138.917,1.256,放水路,珍野
59,34.509,136.737,18.953,勢田川,防潮水門外
60,34.395,135.86,490.816,紀の川,上市
64,35.191,135.684,136.412,桂川,井戸（機構）
65,34.58,135.627,950.348,長瀬川,市村（廃止）
66,34.58,135.626,950.391,平野川,青地（廃止）
67,34.89,135.406,125.661,一庫大路次川,畦野（機構）
68,34.584,136.049,192.191,宇陀川,鹿高（機構）
69,34.934,135.423,32.368,田尻川,国崎（機構）
70,34.617,136.092,1.134,名張川,上名張（機構）
71,34.735,135.967,86.1,布目川,興ヶ原（機構）
72,34.767,135.965,1.494,木津川,有市
74,35.013,135.942,42.496,琵琶湖,西矢倉
75,35.968,136.576,555,九頭竜川,富田
76,36.022,136.516,948.125,九頭竜川,下荒井（上）（廃止）
77,35.933,136.56,225.28,真名川,五条方上流（廃止）
78,35.074,134.067,231.102,加茂川,高野
79,34.99,134.133,489.227,吉野川,湯郷
80,33.8629669,133.4178032,52.7,銅山川,保土野（廃止）
81,26.797,128.238,11.875,辺野喜川,下辺野喜
82,44.074,142.74,140.469,天塩川,茂志利
83,44.109,142.598,398.936,天塩川,奥士別
84,44.119,142.534,549.387,天塩川,剣和
85,44.128,142.484,581.917,天塩川,上士別（廃止）
86,44.19,142.415,725.052,天塩川,九十九橋
87,44.297,142.365,1430.448,天塩川,西多寄
88,44.36,142.442,1725.93,天塩川,名寄大橋
89,44.481,142.335,2901.605,天塩川,美深橋
90,44.594,142.302,3219.196,天塩川,恩根内
91,44.705,142.267,3411.065,天塩川,茨内
92,44.809,142.07,4061.501,天塩川,誉平
93,44.088,142.747,74.039,似峡川,似峡
94,44.166,142.377,622.715,剣淵川,士別
95,44.301,142.649,316.201,名寄川,下川
96,44.319,142.583,623.941,名寄川,上名寄
97,44.333,142.485,686.448,名寄川,真勲別
98,44.462,142.37,230.905,ペンケニウプ川,仁宇布
99,44.319,142.447,155.39,風連別川,北興橋
100,44.898,142.008,4178.207,天塩川,新問寒別橋
101,44.902,141.967,4509.938,天塩川,辰根牛
102,44.927,141.881,4660.15,天塩川,円山
103,44.992,141.815,4834.485,天塩川,天塩大橋
104,44.902,141.731,5582.715,天塩川,天塩河口
105,45.01,142.078,92.665,問寒別川,上問寒別
106,44.959,142.058,199.261,問寒別川,中問寒別
107,44.919,142.017,259.029,問寒別川,下問寒別
108,44.885,141.915,101.973,雄信内川,上雄信内
110,45.003,141.709,589.654,サロベツ川,音類橋
111,44.987,141.72,646.522,サロベツ川,浜里
112,26.76,128.216,9.71,与那川,与那（廃止）
113,43.849,141.806,50.501,留萌川,峠下
114,43.856,141.76,168.852,留萌川,幌糠
115,43.913,141.698,239.936,留萌川,大和田
116,43.937,141.665,264.491,留萌川,留萌河口
117,26.73,128.173,15.522,比地川,比地（廃止）
118,26.726,128.181,5.953,奥間川,奥間（廃止）
119,43.717,142.133,3534.186,石狩川,納内
120,43.715,142.047,3604.623,石狩川,深川橋
121,43.678,141.981,3661.941,石狩川,妹背牛橋
122,43.635,141.913,5427.69,石狩川,伏古
123,43.559,141.885,5688.922,石狩川,橋本町
124,43.503,141.898,8739.022,石狩川,砂川橋
125,43.431,141.845,8941.851,石狩川,奈井江大橋
126,43.33,141.694,9286.726,石狩川,月形
127,43.224,141.663,9376.109,石狩川,岩見沢大橋
128,43.124,141.542,12651.872,石狩川,石狩大橋
129,43.17,141.423,14066.818,石狩川,篠路
130,43.237,141.348,14283.287,石狩川,石狩
131,43.247,141.358,14289.806,石狩川,石狩河口
132,43.255,141.366,14291.192,石狩川,来札
133,44.013,142.151,640.018,雨竜川,幌加内
134,43.806,142.013,985.3,雨竜川,多度志
135,43.788,141.928,1150.613,雨竜川,達布橋
136,43.73,141.912,1409.682,雨竜川,北竜橋
137,43.674,141.915,1677.522,雨竜川,旧雨竜橋
138,43.684,141.915,1661.681,雨竜川,雨竜橋
139,43.166,142.585,368.7,空知川,幾寅
140,43.365,142.36,1557.714,空知川,学田
141,43.441,142.281,1684.16,空知川,空知大滝
142,43.56,142.044,2548.811,空知川,赤平
143,43.547,141.91,2634.728,空知川,空知大橋
144,43.424,141.863,41.53,奈井江川,中奈井江
145,43.342,141.82,88.305,美唄川,美唄
146,43.288,141.715,115.914,旧美唄川,大豊橋
147,43.251,141.676,161.584,旧美唄川,第1旧美唄橋
148,43.215,142.055,55.54,幾春別川,奥桂
149,43.256,141.917,226.596,幾春別川,藤松
150,43.24,141.866,267.129,幾春別川,市来知
151,43.206,141.726,318.622,幾春別川,西川向
152,42.947,141.874,791.166,夕張川,円山
153,43.027,141.777,1006.872,夕張川,由仁
154,43.058,141.77,1016.411,夕張川,栗山（廃止）
155,43.09,141.688,1108.222,夕張川,清幌橋
156,42.772,141.401,220.218,千歳川,支笏湖
157,42.808,141.57,281.215,千歳川,ふ化場
158,42.847,141.67,367.823,千歳川,西越
159,42.944,141.651,661.019,千歳川,舞鶴
160,42.983,141.623,943.021,千歳川,南6号樋門
161,43.02,141.577,1130.622,千歳川,裏の沢
162,43.105,141.569,1240.773,千歳川,東光
163,42.873,141.153,64.689,豊平川,本流上流
164,42.965,141.159,215.743,豊平川,定山渓市街
165,42.974,141.173,200.52,白井川,一の沢
166,42.966,141.267,514,豊平川,白川
167,42.967,141.322,537.076,豊平川,石山
168,43.028,141.355,627.59,豊平川,幌平橋（廃止）
169,43.03,141.355,627.993,豊平川,藻岩
170,43.072,141.401,631.972,豊平川,雁来
171,43.198,141.498,307.593,当別川,旧当別川下（廃止）
172,43.183,141.492,307.924,当別川,当別川下
173,43.167,141.348,125.952,茨戸川,茨戸
174,43.709,141.926,76.876,大鳳川,大鳳橋
175,43.366,141.798,76.001,産化美唄川,産化美唄
176,43.277,141.972,36.028,奔別川,新奔別
177,43.134,141.647,301.199,幌向川,豊幌
178,42.91,141.723,62.18,嶮淵川,嶮淵
179,42.858,141.403,40.291,漁川,光竜
180,42.88,141.57,130.027,漁川,日の出橋
181,42.988,141.565,24.749,輪厚川,輪厚
182,42.866,141.16,40.492,漁入沢川,漁入沢
183,42.931,141.119,16.673,白水川,白水橋
184,42.94,141.126,10.906,小川,薄別
185,43.033,141.128,68.047,小樽内川,小樽内
186,42.951,141.285,2.721,野々沢川,野々沢
187,42.96,141.287,3.666,野々沢川,下野々沢
188,42.944,141.309,4.379,オカバルシ川,オカバルシ
189,42.962,141.313,7.369,オカバルシ川,下オカバルシ
190,42.935,141.33,1.669,穴の川,穴の川
191,42.958,141.323,4.941,穴の川,下穴の川
192,42.985,141.306,1.747,南の沢川,南の沢
193,42.981,141.333,6.241,南の沢川,下南の沢
194,43.058,141.431,23.713,月寒川,月寒
195,43.074,141.426,17.813,望月寒川,望月寒
196,43.119,141.427,19.79,篠路新川,モエレ
197,43.115,141.477,184.06,厚別川,厚別
198,43.153,141.37,60.602,伏籠川,伏籠下流
199,43.158,141.362,60.858,伏籠川,福移橋
200,42.865,141.412,41.517,ラルマナイ川,白扇
201,43.013,141.155,14.592,滝の沢川,滝の沢
202,42.977,141.138,91.235,白井川,白井
203,43.124,141.344,8.21,創成川,創成上流
204,43.156,141.352,17.269,創成川,創成
205,43.148,141.317,19.08,発寒川,発寒上流
206,43.159,141.348,27.245,発寒川,発寒
207,42.941,141.569,52.195,島松川,下島松
208,43.009,141.309,3.923,北の沢川,下北の沢
209,42.935,141.349,2.425,真駒内川,真駒内常磐
210,43.001,141.312,5.72,中の沢川,中の沢
211,42.958,141.263,23.204,簾舞川,簾舞
212,42.938,141.224,7.029,盤の沢川,盤の沢川
213,43.633,143.01,111.383,石狩川,石狩平
214,43.727,142.955,431.687,石狩川,層雲峡
215,43.842,142.765,830.566,石狩川,上川
216,43.89,142.655,1069.86,石狩川,中愛別
217,43.892,142.522,1299.432,石狩川,比布
218,43.816,142.419,1608.314,石狩川,永山
219,43.778,142.358,1892.149,石狩川,旭橋
220,43.765,142.277,3317.492,石狩川,伊納
221,43.645,143.066,45.113,ルベシナイ川,ルベシナイ
222,43.862,142.842,208.91,留辺志部川,ルベシベ
223,43.805,142.483,193.982,牛朱別川,桜岡（廃止）
224,43.788,142.442,200.23,牛朱別川,旭永橋
225,43.774,142.373,269.329,牛朱別川,中央橋
226,43.649,142.585,244.631,忠別川,江卸
227,43.694,142.501,259.94,忠別川,暁橋
228,43.703,142.469,260.859,忠別川,暁橋(旧)（廃止）
229,43.748,142.376,336.644,忠別川,大正橋
230,43.585,142.456,135.998,美瑛川,西一区
231,43.644,142.397,411.313,美瑛川,辺別太
232,43.68,142.377,641.032,美瑛川,西神楽
233,43.665,142.403,196.026,辺別川,18号
234,43.824,142.328,173.406,オサラッペ川,鷹栖橋
235,43.297,142.395,976.961,空知川,布部
236,43.809,142.466,212.446,永山新川,北永
237,43.62,142.753,126.063,忠別川,忠別川上流
238,43.631,142.69,58.289,忠別川,ピウケナイ
239,43.805,142.487,193.417,牛朱別川,鹿島橋
240,26.713,128.165,9.098,田嘉里川,田嘉里（廃止）
241,42.79,140.934,241.009,尻別川,喜茂別下流（廃止）
242,42.885,140.752,656.135,尻別川,倶知安（廃止）
243,42.801,140.599,1280.543,尻別川,昆布
244,42.816,140.528,1325.002,尻別川,蘭越
245,42.812,140.453,1386.523,尻別川,名駒
246,42.877,140.366,1634.08,尻別川,河口
247,26.659,128.133,20.176,大保川,大保(廃止）
248,26.658,128.128,22.206,大保川,大保大橋
249,26.656,128.138,15.079,大保川,大工又橋
250,42.508,140.191,48.835,後志利別川,上利別
251,42.428,140.153,142.365,後志利別川,花石
252,42.41,140.105,206.705,後志利別川,住吉
253,42.422,140.009,355.993,後志利別川,今金
254,42.416,139.922,613.921,後志利別川,大富
255,42.424,139.848,720.488,後志利別川,河口
256,42.499,140.231,17.679,ピリカベツ川,美利河別
257,42.492,140.16,16.138,チュウシベツ川,忠志別
258,26.617,128.059,14.145,源河川,源河（廃止）
259,42.89,142.255,605.915,鵡川,福山
260,42.759,142.137,944.115,鵡川,穂別
261,42.658,142.072,1051.805,鵡川,栄
262,42.573,141.937,1224.911,鵡川,鵡川
263,42.851,142.173,124.485,穂別川,稲里
264,26.616,128.019,11.366,羽地大川,稲搗橋
265,42.71,142.245,767.352,沙流川,幌毛志橋
266,42.584,142.141,1256.341,沙流川,平取
267,42.515,142.031,1325.513,沙流川,富川
268,42.681,142.387,236.075,額平川,平取ダムサイト
269,42.667,142.247,364.242,額平川,貫気別
270,43.323,142.942,538.196,十勝川,ニペソツ
271,43.067,142.928,807.235,十勝川,共栄橋
272,43.013,142.935,856.128,十勝川,熊牛
273,42.928,143.047,1528.319,十勝川,芽室太
274,42.937,143.203,2674.479,十勝川,帯広
275,42.93,143.295,4470.246,十勝川,十勝中央大橋
276,42.923,143.385,5084.656,十勝川,千代田
277,42.808,143.512,8163.789,十勝川,茂岩
278,42.692,143.648,8361.323,十勝川,大津
279,43.412,142.862,160.725,十勝川,シイ十勝
280,43.412,142.878,211.122,トムラウシ川,トムラウシ
281,42.92,143.03,208.326,芽室川,芽室橋（廃止）
282,42.802,142.958,146.743,美生川,上美生橋（廃止）
283,42.923,143.067,191.177,美生川,美生橋
284,43.055,143.085,333.58,然別川,上然別橋（廃止）
285,42.951,143.148,653.873,然別川,国見橋
286,43.19,143.224,535.907,音更川,士幌
287,43.008,143.201,704.999,音更川,音更
288,42.933,143.209,36.9,帯広川,東3条
289,42.61,142.87,83.164,札内川,竜潭上流
290,42.58,142.931,3.794,札内川,札内ダム直下
291,42.605,142.987,151.005,札内川,南札内
292,42.642,143.09,182.958,札内川,上札内
293,42.798,143.155,536.718,札内川,第二大川橋
294,42.84,143.185,627.399,札内川,南帯橋
295,42.926,143.23,692.777,札内川,札内
296,42.699,143.058,152.203,戸蔦別川,戸蔦橋
297,42.734,143.109,292.162,戸蔦別川,中島橋
298,42.692,143.063,103.911,岩内川,岩内（廃止）
299,42.947,143.269,294.922,士幌川,旭橋
300,42.913,143.283,128.395,途別川,千住12号橋
301,42.91,143.356,443.74,猿別川,止若
302,43.359,143.608,723.437,利別川,上利別（廃止）
303,43.094,143.512,2302.296,利別川,東橋
304,42.931,143.442,2697.207,利別川,利別
305,43.247,143.569,529.706,足寄川,下足寄（廃止）
306,42.92,143.476,112.919,十弗川,東台1号橋
307,42.799,143.472,132.445,牛首別川,農野牛
308,42.774,143.597,101.267,下頃辺川,大平橋
309,42.76,143.602,108.57,下頃辺川,愛牛橋（廃止）
310,42.734,143.673,604.564,浦幌十勝川,十勝太
312,42.795,143.649,412.652,浦幌川,万年橋
313,43.555,144.358,330.501,釧路川,屈斜路
314,43.488,144.451,433.336,釧路川,弟子屈
315,43.402,144.528,665.634,釧路川,熊牛原野
316,43.299,144.601,876.789,釧路川,標茶
317,43.24,144.537,1072.575,釧路川,五十石
318,43.085,144.427,1645.831,釧路川,岩保木
319,43.056,144.398,2190.74,新釧路川,広里
320,43.008,144.366,2320.189,新釧路川,鳥取
321,43.483,144.463,139.255,鐺別川,鐺別
322,43.29,144.537,139.06,オソベツ川,下オソベツ
323,43.22,144.431,97.813,久著呂川,下久著呂
324,43.216,144.342,169.61,雪裡川,雪裡
325,43.158,144.326,123.382,幌呂川,幌呂
326,43.559,144.34,320.049,釧路川,屈斜路湖
327,43.06,144.399,2190.574,釧路川,横堤
328,43.171,144.485,72.5,釧路川,シラルトロ上流
329,43.167,144.484,1307.592,釧路川,シラルトロ下流
330,43.165,144.48,1307.867,釧路川,二本松橋
331,43.153,144.505,138.3,釧路川,塘路上流
332,43.152,144.487,1449.602,釧路川,塘路下流
333,43.11,144.477,0.729,釧路川,達古武上流
334,43.108,144.47,1488.936,釧路川,達古武下流
335,43.71,144.009,569.864,網走川,津別
336,43.835,144.098,809.104,網走川,美幌
337,43.898,144.131,1086.068,網走川,本郷
338,43.97,144.176,1337.122,網走川,川尻漁場
339,44.005,144.231,1364.869,網走川,大曲
340,43.828,144.123,203.762,美幌川,美幌橋
341,43.931,144.21,104.226,女満別川,湖南(廃止)
342,43.683,143.599,422.324,常呂川,置戸
343,43.755,143.84,664.666,常呂川,上常呂
344,43.799,143.912,1403.769,常呂川,北見
345,43.922,143.969,1549.087,常呂川,忠志
346,44.013,143.987,1846.871,常呂川,太茶苗
347,44.058,144.035,1895.811,常呂川,上川沿
348,44.119,144.073,1909.304,常呂川,河口
349,43.788,143.622,422.28,無加川,留辺蘂
350,43.788,143.89,564.549,無加川,北光社
351,43.913,143.91,158.446,仁頃川,豊実(廃止)
352,35.372,132.677,518.886,神戸川,外園
353,35.403,132.672,1.086,日本海,大社
354,35.453,133.102,1364.225,神戸川,上橋波
355,44.006,143.338,808.933,湧別川,丸瀬布
356,44.052,143.517,956.352,湧別川,遠軽
357,44.101,143.545,1335.659,湧別川,開盛
358,44.199,143.591,1461.791,湧別川,中湧別
359,44.053,143.544,276.375,生田原川,対遠橋
360,44.192,143.076,251.743,渚滑川,滝ノ上
361,44.249,143.259,996.659,渚滑川,上渚滑
362,44.349,143.273,1203.763,渚滑川,ウツツ橋
363,44.38,143.301,1217.101,渚滑川,渚滑橋
364,44.137,143.201,163.622,立牛川,立牛(廃止)
365,26.474,127.951,8.612,漢那福地川,漢那橋
366,26.642,128.167,1.2,福地川,川田
367,26.666,128.253,9.555,新川川,高江橋
368,26.717,128.281,24.959,安波川,上安波
369,26.722,128.288,17.114,普久川,下普久川
370,26.828,128.283,5.723,奥川,奥（廃止）
371,26.483,127.913,5.56,億首川,億首（基２）（廃止）
372,26.481,127.928,1.046,億首川,基３（幸地川）
374,26.455,127.942,16.852,億首川,福花橋
376,26.822,128.251,3.768,座津武川,座津武（廃止）
377,38.048,140.923,5264.162,阿武隈川,阿武隈川河口
378,38.051,140.912,5263.56,阿武隈川,荒浜
379,38.097,140.872,5258.721,阿武隈川,岩沼
380,38.077,140.823,5255.38,阿武隈川,小山
381,38.017,140.801,4379.146,阿武隈川,江尻
382,37.958,140.791,4319.419,阿武隈川,笠松
383,37.924,140.759,4117.835,阿武隈川,丸森
384,37.926,140.753,4113.726,阿武隈川,舘矢間
385,38.062,140.77,774.267,白石川,船岡大橋
386,38.053,140.919,4.613,阿武隈川,新浜
387,38.103,140.874,36.705,不明(阿武隈川水系),志引橋
388,37.869,140.609,4024.099,阿武隈川,八幡
389,37.833,140.617,221.256,広瀬川,大関
390,37.83,140.52,3632.697,阿武隈川,伏黒
391,37.81,140.497,308.091,摺上川,瀬ノ上
392,37.812,140.273,28.449,松川,前川第２ダム
393,37.781,140.442,74.07,松川,清水
394,37.762,140.378,32.949,天戸川,天戸川
395,37.755,140.402,94.681,須川,舘ノ下
396,37.749,140.469,3160.675,阿武隈川,福島
397,37.751,140.453,182.672,荒川,八木田
398,37.751,140.388,24.958,白津川,水保
399,37.735,140.388,66.152,荒川,上名倉
400,37.727,140.473,2915.093,阿武隈川,黒岩
401,37.694,140.341,59.683,荒川,荒川第５ダム
402,37.683,140.328,34.446,荒川,土湯
403,37.681,140.327,5.573,東鴉川,東鴉川
404,37.674,140.31,19.803,荒川,荒川第１０ダム
405,37.653,140.312,2.517,荒川,東鴉川第４ダム
406,37.595,140.462,2373.739,阿武隈川,二本松
407,37.583,140.513,140.255,移川,移川
408,37.516,140.405,2253.115,阿武隈川,本宮
409,37.408,140.409,1856.456,阿武隈川,阿久津
