ID,lat_alloc,lon_alloc,area_alloc,lat_ori,lon_ori,loc_km_diff,ix,iy,Station Name,River Name,Memo
1,44.074,142.74,140.469,44.075,142.74,0.085,16373,4267,茂志利,天塩川,
2,44.109,142.598,398.936,44.109,142.598,0.009,16271,4242,奥士別,天塩川,
3,44.119,142.534,549.387,44.119,142.534,0.028,16225,4235,剣和,天塩川,
4,44.191,142.416,1.266,44.19,142.415,0.133,16140,4183,九十九橋,天塩川,
5,44.297,142.365,1430.448,44.296,142.365,0.068,16103,4107,西多寄,天塩川,
6,44.36,142.442,1725.93,44.361,142.443,0.082,16159,4061,名寄大橋,天塩川,
7,44.481,142.335,2901.605,44.481,142.336,0.055,16082,3974,美深橋（下流）,天塩川,
8,44.481,142.335,2901.605,44.481,142.336,0.055,16082,3974,美深橋（上流）,天塩川,
9,44.594,142.302,3219.196,44.593,142.302,0.084,16058,3893,恩根内,天塩川,
10,44.705,142.267,3411.065,44.705,142.267,0.033,16033,3813,茨内,天塩川,
11,44.809,142.07,4061.501,44.809,142.071,0.068,15891,3738,誉平,天塩川,
12,44.898,142.006,4178.225,44.896,142.006,0.214,15845,3674,新問寒別橋,天塩川,
13,44.927,141.878,19.25,44.926,141.879,0.127,15753,3653,円山,天塩川,
14,44.997,141.815,8.838,44.996,141.816,0.125,15707,3603,天塩大橋,天塩川,
15,44.892,141.741,16.486,44.892,141.74,0.086,15654,3678,天塩河口,天塩川,
16,45.003,141.71,589.677,45.004,141.71,0.067,15632,3598,音類橋,サロベツ川,
17,45.217,141.722,185.223,45.217,141.722,0.054,15640,3444,サロベツ川,サロベツ川,
18,44.885,141.913,92.717,44.886,141.913,0.067,15778,3683,上雄信内,雄信内川,
19,44.831,141.933,3.038,44.831,141.932,0.058,15792,3722,雄信内川,雄信内川,
20,45.01,142.078,92.665,45.011,142.078,0.074,15897,3593,上問寒別,問寒別川,
21,44.955,142.055,199.689,44.955,142.055,0.019,15880,3633,中問寒別,問寒別川,
22,44.919,142.017,259.029,44.919,142.018,0.058,15853,3659,下問寒別,問寒別川,
23,44.695,142.038,289.025,44.696,142.038,0.097,15868,3820,安平志内,安平志内川,
24,44.301,142.649,316.201,44.301,142.649,0.042,16308,4104,下川,名寄川,
25,44.319,142.583,623.941,44.319,142.583,0.039,16260,4091,上名寄,名寄川,
26,44.333,142.485,686.448,44.333,142.485,0.052,16190,4081,真勲別（下川町ほか）,名寄川,
27,44.333,142.485,686.448,44.333,142.485,0.052,16190,4081,真勲別（名寄市街）,名寄川,
28,44.317,142.449,154.957,44.317,142.45,0.068,16164,4092,北興橋,風連別川,
29,44.101,142.381,1.626,44.101,142.382,0.069,16115,4248,剣淵橋,剣淵川,
30,44.166,142.377,622.715,44.166,142.377,0.008,16112,4201,士別,剣淵川,
31,44.026,142.405,65.623,44.026,142.405,0.036,16132,4302,剣淵,剣淵川,
32,44.088,142.747,74.039,44.089,142.747,0.098,16378,4257,似峡,似峡川,
33,45.072,141.835,91,45.071,141.835,0.067,15722,3549,下エベコロベツ川,下エベコロベツ川,
34,44.377,142.688,107.735,44.377,142.688,0.018,16336,4049,新栄橋,サンル川,
35,44.328,142.628,198.807,44.328,142.629,0.067,16293,4084,サンル,サンル川,
36,44.363,142.676,41.95,44.363,142.675,0.06,16327,4059,１２線川,サンル十二線川,
37,44.174,142.274,143.613,44.174,142.274,0.042,16038,4195,温根別,犬牛別川,
38,44.141,142.36,277.668,44.141,142.361,0.046,16100,4219,難波田橋,犬牛別川,
39,44.188,142.26,58.126,44.188,142.26,0.041,16028,4185,オンネベツ川,温根別川,
40,44.028,142.36,72.581,44.029,142.361,0.074,16100,4300,辺乙部川,辺乙部川,
41,44.478,142.377,5.102,44.479,142.377,0.059,16112,3976,新美深川,新美深川,
42,44.46,142.37,230.925,44.46,142.369,0.102,16107,3989,仁宇布,ペンケニウプ川,
43,44.342,142.445,7.379,44.342,142.445,0.042,16161,4074,豊栄川,豊栄川,
44,43.849,141.806,50.501,43.85,141.806,0.079,15701,4429,峠下,留萌川,
45,43.856,141.76,168.852,43.856,141.759,0.118,15668,4424,幌糠,留萌川,
46,43.913,141.698,239.936,43.914,141.698,0.09,15623,4383,大和田,留萌川,
47,43.937,141.665,264.491,43.937,141.666,0.116,15599,4366,留萌河口,留萌川,
48,43.927,141.678,4.648,43.927,141.678,0.039,15609,4373,バンゴベ川,バンゴベ川,
49,43.633,143.01,111.383,43.633,143.01,0.053,16568,4585,石狩平,石狩川,
50,43.727,142.955,431.687,43.727,142.955,0.014,16528,4517,層雲峡,石狩川,
51,43.842,142.765,830.566,43.842,142.764,0.062,16391,4434,上川,石狩川,
52,43.89,142.655,1069.86,43.889,142.655,0.065,16312,4400,中愛別,石狩川,
53,43.891,142.522,1299.447,43.891,142.521,0.043,16216,4399,比布,石狩川,
54,43.816,142.419,1608.314,43.816,142.419,0.021,16142,4453,永山,石狩川,
55,43.778,142.358,1892.149,43.778,142.358,0.061,16098,4480,旭橋（永山橋下流）,石狩川,
56,43.778,142.358,1892.149,43.778,142.358,0.061,16098,4480,旭橋（永山橋上流）,石狩川,
57,43.765,142.277,3317.492,43.764,142.276,0.109,16040,4490,伊納,石狩川,
58,43.717,142.133,3534.186,43.718,142.133,0.076,15936,4524,納内,石狩川,
59,43.559,141.885,5688.922,43.559,141.884,0.116,15758,4638,橋本町,石狩川,
60,43.431,141.845,8941.851,43.432,141.839,0.505,15729,4730,奈井江大橋,石狩川,
61,43.33,141.694,9286.726,43.332,141.691,0.328,15620,4803,月形,石狩川,
62,43.124,141.542,12651.872,43.122,141.542,0.257,15511,4951,石狩大橋,石狩川,
63,43.167,141.419,3.604,43.167,141.42,0.11,15422,4920,篠路,石狩川,
64,43.149,142.602,327.305,43.149,142.602,0.035,16274,4933,福寿橋,空知川,
65,43.166,142.585,368.7,43.166,142.586,0.047,16262,4921,幾寅,空知川,
66,43.297,142.395,976.961,43.297,142.395,0.054,16125,4827,布部,空知川,
67,43.366,142.359,1563.093,43.366,142.359,0.004,16099,4777,学田,空知川,
68,43.56,142.044,2548.811,43.56,142.044,0.051,15872,4637,赤平,空知川,
69,43.685,142.178,65.93,43.685,142.178,0.06,15969,4547,内大部川,内大部川,
70,43.747,142.319,30.807,43.746,142.319,0.062,16070,4503,伊野川,伊野川,
71,43.876,142.252,67.821,43.876,142.252,0.035,16022,4410,萬代橋,江丹別川,
72,43.794,142.28,120.282,43.793,142.28,0.084,16042,4469,嵐山,江丹別川,
73,43.824,142.328,173.406,43.824,142.329,0.054,16077,4447,鷹栖橋,オサラッペ川,
74,43.62,142.753,126.063,43.62,142.754,0.045,16383,4594,忠別川上流,忠別川,
75,43.631,142.69,58.289,43.631,142.689,0.056,16337,4586,ピウケナイ,忠別川,
76,43.649,142.585,244.631,43.649,142.586,0.058,16262,4573,江卸,忠別川,
77,43.694,142.501,259.94,43.693,142.501,0.087,16201,4541,暁橋,忠別川,
78,43.748,142.376,336.644,43.748,142.376,0.026,16111,4502,大正橋,忠別川,
79,43.805,142.487,193.417,43.805,142.487,0.022,16191,4461,鹿島橋,牛朱別川,
80,43.788,142.442,200.23,43.788,142.443,0.055,16159,4473,旭永橋,牛朱別川,
81,43.776,142.372,269.342,43.775,142.372,0.086,16108,4482,中央橋,牛朱別川,
82,43.802,142.517,133.439,43.802,142.518,0.052,16213,4463,牛朱別川,牛朱別川,
83,43.87,142.463,56.568,43.87,142.463,0.023,16174,4414,比布川,比布川,
84,43.912,142.573,163.139,43.912,142.574,0.09,16253,4384,本町,愛別川,
85,43.949,142.605,135.458,43.949,142.605,0.035,16276,4357,協和橋,愛別川,
86,43.863,142.844,33.282,43.863,142.843,0.064,16448,4419,ルベシベ,留辺志部川,
87,43.465,142.463,123.667,43.464,142.462,0.116,16174,4706,上富良野,富良野川,
88,43.42,142.43,134.617,43.42,142.43,0.02,16150,4738,中富良野,富良野川,
