ID,lat_mod,lon_mod,area_mod,rivname,locname,,
1,44.075,142.74,141.171,天塩川,茂志利,,
2,44.109,142.598,398.936,天塩川,奥士別,,
3,44.119,142.534,549.387,天塩川,剣和,,
4,44.19,142.415,1.266,天塩川,九十九橋,,
5,44.296,142.365,1430.448,天塩川,西多寄,,
6,44.361,142.443,1725.93,天塩川,名寄大橋,,
7,44.481,142.336,2901.605,天塩川,美深橋（下流）,,
8,44.481,142.336,2901.605,天塩川,美深橋（上流）,,
9,44.593,142.302,3219.196,天塩川,恩根内,,
10,44.705,142.267,3411.065,天塩川,茨内,,
11,44.809,142.071,4061.501,天塩川,誉平,,
12,44.896,142.006,4178.225,天塩川,新問寒別橋,,
13,44.926,141.879,19.25,天塩川,円山,,
14,44.996,141.816,8.838,天塩川,天塩大橋,,
15,44.892,141.74,16.486,天塩川,天塩河口,,
16,45.004,141.71,589.677,サロベツ川,音類橋,,
17,45.217,141.722,185.223,サロベツ川,サロベツ川,,
18,44.886,141.913,92.717,雄信内川,上雄信内,,
19,44.831,141.932,3.038,雄信内川,雄信内川,,
20,45.011,142.078,92.665,問寒別川,上問寒別,,
21,44.955,142.055,199.689,問寒別川,中問寒別,,
22,44.919,142.018,259.029,問寒別川,下問寒別,,
23,44.696,142.038,289.025,安平志内川,安平志内,,
24,44.301,142.649,316.201,名寄川,下川,,
25,44.319,142.583,623.941,名寄川,上名寄,,
26,44.333,142.485,686.448,名寄川,真勲別（下川町ほか）,,
27,44.333,142.485,686.448,名寄川,真勲別（名寄市街）,,
28,44.317,142.45,154.957,風連別川,北興橋,,
29,44.101,142.382,1.626,剣淵川,剣淵橋,,
30,44.166,142.377,622.715,剣淵川,士別,,
31,44.026,142.405,65.623,剣淵川,剣淵,,
32,44.089,142.747,74.039,似峡川,似峡,,
33,45.071,141.835,91,下エベコロベツ川,下エベコロベツ川,,
34,44.377,142.688,107.735,サンル川,新栄橋,,
35,44.328,142.629,198.807,サンル川,サンル,,
36,44.363,142.675,41.95,サンル十二線川,１２線川,,
37,44.174,142.274,143.613,犬牛別川,温根別,,
38,44.141,142.361,277.668,犬牛別川,難波田橋,,
39,44.188,142.26,58.126,温根別川,オンネベツ川,,
40,44.029,142.361,72.581,辺乙部川,辺乙部川,,
41,44.479,142.377,5.089,新美深川,新美深川,,
42,44.46,142.369,230.925,ペンケニウプ川,仁宇布,,
43,44.342,142.445,7.379,豊栄川,豊栄川,,
44,43.85,141.806,50.501,留萌川,峠下,,
45,43.856,141.759,168.852,留萌川,幌糠,,
46,43.914,141.698,239.936,留萌川,大和田,,
47,43.937,141.666,264.491,留萌川,留萌河口,,
48,43.927,141.678,4.648,バンゴベ川,バンゴベ川,,
49,43.633,143.01,111.383,石狩川,石狩平,,
50,43.727,142.955,431.687,石狩川,層雲峡,,
51,43.842,142.764,830.566,石狩川,上川,,
52,43.889,142.655,1069.86,石狩川,中愛別,,
53,43.891,142.521,1299.463,石狩川,比布,,
54,43.816,142.419,1608.314,石狩川,永山,,
55,43.778,142.358,1892.132,石狩川,旭橋（永山橋下流）,,
56,43.778,142.358,1892.132,石狩川,旭橋（永山橋上流）,,
57,43.764,142.276,3317.492,石狩川,伊納,,
58,43.718,142.133,3534.186,石狩川,納内,,
59,43.559,141.884,5688.242,石狩川,橋本町,,
60,43.432,141.839,8941.851,石狩川,奈井江大橋,,
61,43.332,141.691,9286.726,石狩川,月形,,
62,43.122,141.542,12651.872,石狩川,石狩大橋,,
63,43.167,141.42,3.604,石狩川,篠路,,
64,43.149,142.602,327.305,空知川,福寿橋,,
65,43.166,142.586,368.683,空知川,幾寅,,
66,43.297,142.395,976.961,空知川,布部,,
67,43.366,142.359,1563.093,空知川,学田,,
68,43.56,142.044,2548.811,空知川,赤平,,
69,43.685,142.178,65.93,内大部川,内大部川,,
70,43.746,142.319,30.75,伊野川,伊野川,,
71,43.876,142.252,67.821,江丹別川,萬代橋,,
72,43.793,142.28,120.282,江丹別川,嵐山,,
73,43.824,142.329,173.406,オサラッペ川,鷹栖橋,,
74,43.62,142.754,126.063,忠別川,忠別川上流,,
75,43.631,142.689,58.289,忠別川,ピウケナイ,,
76,43.649,142.586,244.613,忠別川,江卸,,
77,43.693,142.501,259.94,忠別川,暁橋,,
78,43.748,142.376,336.644,忠別川,大正橋,,
79,43.805,142.487,193.417,牛朱別川,鹿島橋,,
80,43.788,142.443,200.23,牛朱別川,旭永橋,,
81,43.775,142.372,269.329,牛朱別川,中央橋,,
82,43.802,142.518,133.439,牛朱別川,牛朱別川,,
83,43.87,142.463,56.568,比布川,比布川,,
