ID,lat_mod,lon_mod,area_mod,Station Name,River Name,Memo
1,44.075,142.74,141.171,茂志利,天塩川,
2,44.109,142.598,398.936,奥士別,天塩川,
3,44.119,142.534,549.387,剣和,天塩川,
4,44.19,142.415,1.266,九十九橋,天塩川,
5,44.296,142.365,1430.448,西多寄,天塩川,
6,44.361,142.443,1725.93,名寄大橋,天塩川,
7,44.481,142.336,2901.605,美深橋（下流）,天塩川,
8,44.481,142.336,2901.605,美深橋（上流）,天塩川,
9,44.593,142.302,3219.196,恩根内,天塩川,
10,44.705,142.267,3411.065,茨内,天塩川,
11,44.809,142.071,4061.501,誉平,天塩川,
12,44.896,142.006,4178.225,新問寒別橋,天塩川,
13,44.926,141.879,19.25,円山,天塩川,
14,44.996,141.816,8.838,天塩大橋,天塩川,
15,44.892,141.74,16.486,天塩河口,天塩川,
16,45.004,141.71,589.677,音類橋,サロベツ川,
17,45.217,141.722,185.223,サロベツ川,サロベツ川,
18,44.886,141.913,92.717,上雄信内,雄信内川,
19,44.831,141.932,3.038,雄信内川,雄信内川,
20,45.011,142.078,92.665,上問寒別,問寒別川,
21,44.955,142.055,199.689,中問寒別,問寒別川,
22,44.919,142.018,259.029,下問寒別,問寒別川,
23,44.696,142.038,289.025,安平志内,安平志内川,
24,44.301,142.649,316.201,下川,名寄川,
25,44.319,142.583,623.941,上名寄,名寄川,
26,44.333,142.485,686.448,真勲別（下川町ほか）,名寄川,
27,44.333,142.485,686.448,真勲別（名寄市街）,名寄川,
28,44.317,142.45,154.957,北興橋,風連別川,
29,44.101,142.382,1.626,剣淵橋,剣淵川,
30,44.166,142.377,622.715,士別,剣淵川,
31,44.026,142.405,65.623,剣淵,剣淵川,
32,44.089,142.747,74.039,似峡,似峡川,
33,45.071,141.835,91,下エベコロベツ川,下エベコロベツ川,
34,44.377,142.688,107.735,新栄橋,サンル川,
35,44.328,142.629,198.807,サンル,サンル川,
36,44.363,142.675,41.95,１２線川,サンル十二線川,
37,44.174,142.274,143.613,温根別,犬牛別川,
38,44.141,142.361,277.668,難波田橋,犬牛別川,
39,44.188,142.26,58.126,オンネベツ川,温根別川,
40,44.029,142.361,72.581,辺乙部川,辺乙部川,
41,44.479,142.377,5.089,新美深川,新美深川,
42,44.46,142.369,230.925,仁宇布,ペンケニウプ川,
43,44.342,142.445,7.379,豊栄川,豊栄川,
44,43.85,141.806,50.501,峠下,留萌川,
45,43.856,141.759,168.852,幌糠,留萌川,
46,43.914,141.698,239.936,大和田,留萌川,
47,43.937,141.666,264.491,留萌河口,留萌川,
48,43.927,141.678,4.648,バンゴベ川,バンゴベ川,
49,43.633,143.01,111.383,石狩平,石狩川,
50,43.727,142.955,431.687,層雲峡,石狩川,
51,43.842,142.764,830.566,上川,石狩川,
52,43.889,142.655,1069.86,中愛別,石狩川,
53,43.891,142.521,1299.463,比布,石狩川,
54,43.816,142.419,1608.314,永山,石狩川,
55,43.778,142.358,1892.132,旭橋（永山橋下流）,石狩川,
56,43.778,142.358,1892.132,旭橋（永山橋上流）,石狩川,
57,43.764,142.276,3317.492,伊納,石狩川,
58,43.718,142.133,3534.186,納内,石狩川,
59,43.559,141.884,5688.242,橋本町,石狩川,
60,43.432,141.839,8941.851,奈井江大橋,石狩川,
61,43.332,141.691,9286.726,月形,石狩川,
62,43.122,141.542,12651.872,石狩大橋,石狩川,
63,43.167,141.42,3.604,篠路,石狩川,
64,43.149,142.602,327.305,福寿橋,空知川,
65,43.166,142.586,368.683,幾寅,空知川,
66,43.297,142.395,976.961,布部,空知川,
67,43.366,142.359,1563.093,学田,空知川,
68,43.56,142.044,2548.811,赤平,空知川,
69,43.685,142.178,65.93,内大部川,内大部川,
70,43.746,142.319,30.75,伊野川,伊野川,
71,43.876,142.252,67.821,萬代橋,江丹別川,
72,43.793,142.28,120.282,嵐山,江丹別川,
73,43.824,142.329,173.406,鷹栖橋,オサラッペ川,
74,43.62,142.754,126.063,忠別川上流,忠別川,
75,43.631,142.689,58.289,ピウケナイ,忠別川,
76,43.649,142.586,244.613,江卸,忠別川,
77,43.693,142.501,259.94,暁橋,忠別川,
78,43.748,142.376,336.644,大正橋,忠別川,
79,43.805,142.487,193.417,鹿島橋,牛朱別川,
80,43.788,142.443,200.23,旭永橋,牛朱別川,
81,43.775,142.372,269.329,中央橋,牛朱別川,
82,43.802,142.518,133.439,牛朱別川,牛朱別川,
83,43.87,142.463,56.568,比布川,比布川,
84,43.912,142.574,163.139,本町,愛別川,
85,43.949,142.605,135.458,協和橋,愛別川,
86,43.863,142.843,33.282,ルベシベ,留辺志部川,
87,43.464,142.462,123.667,上富良野,富良野川,
88,43.42,142.43,134.617,中富良野,富良野川,
89,43.356,142.383,343.43,富良野,富良野川,
90,43.349,142.401,117.265,東4線橋,ベベルイ川,
91,43.363,142.415,77.817,ヌッカクシ富良野川,ヌッカクシ富良野川,
92,43.299,142.411,131.323,布部川,布部川,
93,43.216,142.5,88.893,西達布,西達布川,
94,43.86,142.369,52.076,ヨンカシュッペ川,ヨンカシュッペ川,
95,43.665,142.403,196.026,18号,辺別川,
96,43.629,142.574,90.942,辺別川,辺別川,
97,43.594,142.487,67.149,置杵牛川,置杵牛川,
98,43.586,142.456,135.998,西一区,美瑛川,
99,43.643,142.396,411.313,辺別太,美瑛川,
100,43.68,142.378,641.032,西神楽,美瑛川,
101,43.728,142.4,57.596,ポン川,ポン川,
102,43.746,142.489,91.44,倉沼川,倉沼川,
103,43.839,142.521,35.065,当麻川,当麻川,
104,43.792,142.326,22.336,ウッペツ川,ウッペツ川,
105,43.646,143.066,45.113,ルベシナイ,ルベシナイ川,
106,43.774,142.489,86.809,ペーパン川,ペーパン川,
107,43.809,142.466,212.446,北永,永山新川,
108,43.764,142.427,32.998,愛宕新川,その他,
109,42.984,142.399,286.082,鵡川占冠,鵡川,
110,42.759,142.136,944.115,穂別,鵡川,
111,42.658,142.071,1051.805,栄,鵡川,
112,42.574,141.936,1224.87,鵡川,鵡川,
113,42.977,142.399,169.476,双珠別川,双珠別川,
114,45.247,141.841,83.594,小松橋,声問川,
115,45.392,141.769,53.621,声問川,声問川,
116,45.405,141.754,300.135,声問橋,声問川,
117,45.223,142.226,215.675,猿払川,猿払川,
118,44.992,142.294,369.93,頓別川寿,頓別川,
119,44.961,142.272,197.581,頓別川中頓別,頓別川,
120,44.828,142.301,20.394,頓別川小頓別,頓別川,
121,45.068,142.319,505.077,頓別川常盤,頓別川,
122,44.969,142.291,118.66,兵知安川,兵知安川,
123,44.84,142.458,32.579,オムロシュベツ川,オムロシュベツ川,
124,44.837,142.649,287.331,徳志別川,徳志別川,
125,44.657,141.926,283.672,遠別川,遠別川,
126,44.313,141.774,202.066,羽幌川,羽幌川,
127,44.231,141.79,138.803,古丹別川,古丹別川,
128,44.256,141.713,150.645,三毛別川,三毛別川,
129,44,141.75,367.718,沖内,小平蘂川,
130,45.327,142.114,33.904,鬼志別川,鬼志別川,
131,44.928,142.58,36.75,エサシウエンナイ川,エサシウエンナイ川,
132,44.707,142.805,97.087,音標川,音標川,
133,45.403,141.849,93.338,増幌川,増幌川,
134,45.394,141.706,11.481,ウエンナイ川,ウェンナイ川,
135,44.524,141.777,49.804,初山別川,初山別川,
136,44.422,141.791,43.876,七線,茂築別川,
137,44.154,141.664,30.154,温寧川,温寧川,
138,43.872,141.596,71.765,信砂川,信砂川,
139,43.848,141.516,1.877,暑寒別川,暑寒別川,
140,44.84,142.476,214.852,北見幌別川,北見幌別川,
141,44.192,143.076,251.743,滝ノ上,渚滑川,
142,44.25,143.259,996.659,上渚滑,渚滑川,
143,44.349,143.273,1203.763,ウツツ橋,渚滑川,
144,44.38,143.301,1217.101,渚滑橋,渚滑川,
145,44.191,143.083,23.799,シュウトルマップ,シュウトルマップ川,
146,44.006,143.34,808.969,湧別川,湧別川,
147,44.053,143.519,956.381,遠軽,湧別川,
148,44.099,143.544,72.658,開盛,湧別川,
149,44.2,143.591,1461.791,中湧別,湧別川,
150,43.919,143.533,174.088,生田原川中央橋,生田原川,
151,44.053,143.544,276.352,対遠橋,生田原川,
152,43.605,143.338,46.28,峰映,常呂川,
153,43.634,143.496,169.221,常呂川,常呂川,
154,43.682,143.599,422.324,置戸,常呂川,
155,43.754,143.84,664.666,上常呂,常呂川,
156,43.8,143.911,1403.769,北見,常呂川,
157,43.921,143.968,1549.087,忠志,常呂川,
158,44.013,143.986,1846.518,太茶苗,常呂川,
159,44.057,144.035,1895.452,上川沿,常呂川,
160,44.119,144.072,1909.323,河口,常呂川,
161,43.982,143.946,6.711,日吉川,日吉川,
162,43.9,143.896,94.885,仁頃川,仁頃川,
163,43.759,143.512,304.971,温根湯,無加川,
164,43.788,143.621,422.28,留辺蘂,無加川,
165,43.793,143.765,467.221,相ノ内,無加川,
166,43.789,143.89,564.549,北光社,無加川,
167,43.785,143.838,89.991,豊地,訓子府川,
168,43.614,143.343,52.209,鹿ﾉ湯,上ホロカトコロ川,
169,43.808,143.846,11.65,小町川,小町川,
170,43.711,144.009,570.056,津別,網走川,
171,43.648,143.991,156.847,本岐,網走川,
172,43.836,144.098,809.104,美幌,網走川,
173,43.898,144.132,1086.068,本郷,網走川,
174,43.958,144.199,123.586,川尻漁場,網走川,
175,44.005,144.231,1364.869,大曲,網走川,
176,43.913,144.179,17.048,トマップ川,トマップ川,
177,43.821,144.141,178.602,美幌川,美幌川,
178,43.829,144.122,203.762,美幌橋,美幌川,
179,43.698,144.04,148.317,津別川,津別川,
180,43.818,144.108,11.861,魚無川,魚無川,
181,43.488,144.451,433.336,弟子屈,釧路川,
182,43.3,144.601,876.789,標茶,釧路川,
183,43.086,144.427,1645.831,岩保木,釧路川,
184,42.993,144.469,80.221,別保川（釧路川）,釧路川,
185,42.986,144.396,165.767,釧路川旭橋,釧路川,
186,43.056,144.397,2190.74,広里,新釧路川,
187,43.007,144.367,2320.189,鳥取,新釧路川,
188,43.014,144.362,126.117,仁々志別川,仁々志別川,
189,43.237,144.327,156.248,雪裡川,雪裡川,
190,43.217,144.343,169.559,雪裡,雪裡川,
191,43.22,144.432,97.813,下久著呂,久著呂川,
192,43.289,144.537,139.06,下オソベツ,オソベツ川,
193,43.481,144.451,138.548,鐺別川,鐺別川,
194,43.157,144.325,123.382,幌呂,幌呂川,
195,42.993,144.469,80.221,別保川,別保川,
196,43.418,142.866,6.323,シイ十勝,十勝川,
197,43.323,142.943,538.196,ニペソツ,十勝川,
198,43.068,142.926,807.235,共栄橋,十勝川,
199,43.013,142.938,856.128,熊牛,十勝川,
200,42.931,143.047,1.031,芽室太,十勝川,
201,42.934,143.203,2674.479,帯広,十勝川,
202,42.927,143.291,3.411,十勝中央大橋,十勝川,
203,42.92,143.384,5084.656,千代田,十勝川,
204,42.808,143.512,8163.789,茂岩,十勝川,
205,42.69,143.648,8361.323,大津,十勝川,
206,42.774,143.597,101.267,大平橋,下頃辺川,
207,42.734,143.674,604.564,十勝太,浦幌十勝川,
208,42.796,143.65,412.652,万年橋,浦幌川,
209,42.929,143.654,250.448,浦幌川留真,浦幌川,
210,43.017,143.631,169.586,浦幌川活平,浦幌川,
211,42.796,143.654,412.737,浦幌川万年,浦幌川,
212,42.799,143.472,132.445,農野牛,牛首別川,
213,42.755,143.426,39.727,牛首別川,牛首別川,
214,43.094,143.516,2302.048,東橋,利別川,
215,42.931,143.443,2697.207,利別,利別川,
216,43.244,143.557,928.985,利別川足寄,利別川,
217,43.464,143.738,205.393,利別川陸別,利別川,
218,43.39,143.684,619.183,利別川大誉地,利別川,
219,42.91,143.356,443.74,止若,猿別川,
220,42.786,143.322,261.924,猿別川,猿別川,
221,42.913,143.282,128.395,千住12号橋,途別川,
222,42.879,143.235,110.027,途別川,途別川,
223,42.947,143.27,1.623,旭橋,士幌川,
224,43.081,143.29,55.255,士幌川,士幌川,
225,42.611,142.87,82.789,竜潭上流,札内川,
226,42.58,142.935,3.794,札内ダム直下,札内川,
227,42.603,142.987,151.005,南札内,札内川,
228,42.642,143.092,182.958,上札内,札内川,
229,42.798,143.157,536.718,第二大川橋,札内川,
230,42.84,143.188,18.62,南帯橋,札内川,
231,42.926,143.229,692.777,札内,札内川,
232,42.933,143.209,36.899,東3条,帯広川,
233,42.89,143.12,111.918,帯広川北伏古,帯広川,
234,42.922,143.135,149.475,帯広川西帯広,帯広川,
235,42.804,143.066,77.808,帯広川上帯広,帯広川,
236,42.929,143.202,34.259,帯広川西1条,帯広川,
237,43.186,143.225,1.611,士幌,音更川,
238,43.007,143.2,704.999,音更,音更川,
239,43.238,143.273,494.473,音更川,音更川,
240,42.951,143.147,653.873,国見橋,然別川,
241,43.094,142.984,3.439,然別川,然別川,
242,42.923,143.066,191.177,美生橋,美生川,
243,42.912,143.061,188.481,美生川,美生川,
244,42.91,143.039,21.069,ピウカ川,ピウカ川,
245,42.914,143.028,202.795,芽室川,芽室川,
246,43.086,142.833,153.836,新得,佐幌川,
247,43.412,142.878,211.122,トムラウシ,トムラウシ川,
248,42.92,143.476,112.903,東台1号橋,十弗川,
249,42.931,143.497,108.917,十弗川,十弗川,
250,43.209,143.371,53.697,居辺川,居辺川,
251,43.122,143.616,61.456,本別川,本別川,
252,43.132,143.585,608.569,美里別川,美里別川,
253,43.243,143.563,538.05,足寄川,足寄川,
254,43.306,143.709,121.542,螺湾川,螺湾川,
255,43.467,143.751,126.952,陸別川,陸別川,
256,42.895,143.197,21.274,売買川,売買川,
257,42.699,143.058,152.203,戸蔦橋,戸蔦別川,
258,42.732,143.109,292.112,中島橋,戸蔦別川,
259,42.928,143.141,149.926,新帯広川,新帯広川,
260,42.952,143.198,8.34,鈴蘭川,鈴蘭川,
261,43.007,142.872,32.292,ペケレベツ川,ペケレベツ川,
262,43.082,142.82,28.051,パンケ新得川,パンケシントク川,
263,42.921,143.188,17.142,ウツベツ川,ウツベツ川,
264,42.924,143.158,9.798,柏林台川,柏林台川,
265,43.007,144.701,108.903,尾幌川,尾幌川,
266,44.65,142.859,269.346,幌内,幌内川,
267,44.473,143.116,294.424,興部,興部川,
268,44.438,143.121,1.1,第二,藻興部川,
269,44.287,143.354,206.527,中藻鼈,藻鼈川,
270,44.006,143.76,247.532,中佐呂間,佐呂間別川,
271,44.019,143.785,253.146,永代,佐呂間別川,
272,44.147,143.682,121.248,芭露,芭露川,
273,43.784,144.535,236.922,札弦,斜里川,
274,43.838,144.601,341.574,斜里川中央橋,斜里川,
275,43.901,144.641,531.031,斜里,斜里川,
276,43.885,144.661,172.425,猿間,猿間川,
277,42.392,143.302,158.258,豊似川,豊似川,
278,42.495,143.278,463.072,歴舟川本町,歴舟川,
279,42.524,143.197,413.615,歴舟川尾田,歴舟川,
280,42.905,143.931,282.956,音別川,音別川,
281,42.971,144.061,349.856,茶路川,茶路川,
282,42.99,144.126,274.617,庶路川,庶路川,
283,43.015,144.116,252.086,泊別中継,庶路川,
284,43.074,144.233,657.654,阿寒川山花,阿寒川,
285,43.011,144.27,685.671,阿寒川大楽毛,阿寒川,
286,43.119,144.119,158.781,舌辛川,舌辛川,
287,43.373,144.982,223.908,中西別,西別川,
288,43.39,145.127,375.618,西別川,西別川,
289,43.553,144.977,409.773,標津川東5条,標津川,
290,43.585,145.023,421.023,標津川俵橋,標津川,
291,43.64,145.079,677.603,標津川合流点,標津川,
292,43.674,145.121,1.38,標津川河口,標津川,
293,42.955,144.033,1.568,和天別川,和天別川,
294,43.013,144.307,13.937,星ガ浦川,星ガ浦川,
295,44.549,142.935,93.17,中雄武,雄武川,
296,44.005,144.104,16.46,卯原内川,卯原内川,
297,43.923,144.296,162.923,山里,藻琴川,
298,44.022,145.188,30.482,羅臼川,羅臼川,
299,42.581,143.477,61.339,生花苗川,生花苗川,
300,42.506,143.418,130.505,当縁川,当縁川,
301,42.448,143.294,50.414,紋別川,紋別川,
302,42.314,143.32,117.984,楽古川,楽古川,
303,42.285,143.3,30.545,西広尾川,西広尾川,
304,44.011,144.264,3.111,車止内川,車止内川,
305,43.143,141.644,5.345,旧幌向川,その他,
306,43.485,141.899,43.509,遊水地第２水位,石狩川管内,
307,43.495,141.894,8742.533,石狩川上流水位,石狩川管内,
308,43.481,141.888,58.494,遊水地第１水位,石狩川管内,
309,43.489,141.882,58.915,石狩川下流水位,石狩川管内,
310,43.889,142.655,1069.86,中愛別,石狩川,
311,43.778,142.358,1892.132,旭橋（永山橋下流）,石狩川,
312,43.764,142.276,3317.492,伊納,石狩川,
313,43.718,142.133,3534.186,納内,石狩川,
314,43.716,142.046,3604.623,深川橋,石狩川,
315,43.677,141.982,3661.941,妹背牛橋,石狩川,
316,43.636,141.918,5427.69,伏古,石狩川,
317,43.559,141.884,5688.242,橋本町,石狩川,
318,43.502,141.903,2.105,砂川橋,石狩川,
319,43.432,141.839,8941.851,奈井江大橋,石狩川,
320,43.332,141.691,9286.726,月形,石狩川,
321,43.221,141.666,320.678,岩見沢大橋,石狩川,
322,43.122,141.542,12651.872,石狩大橋,石狩川,
323,43.167,141.42,3.604,篠路,石狩川,
324,43.237,141.346,14283.287,石狩,石狩川,
325,43.248,141.357,14289.806,石狩河口,石狩川,
326,43.167,141.348,125.952,茨戸,茨戸川,
327,43.146,141.313,9.69,発寒川,発寒川,
328,43.159,141.348,27.245,発寒,発寒川,
329,43.147,141.315,9.777,発寒川遊水地,発寒川,
330,43.148,141.318,19.08,発寒上流,発寒川,
331,43.22,141.526,274.488,樺戸,当別川,
332,43.183,141.491,307.924,当別川下,当別川,
333,42.873,141.153,64.689,本流上流,豊平川,
334,42.964,141.159,215.743,定山渓市街,豊平川,
335,42.966,141.284,513.679,白川,豊平川,
336,42.966,141.316,536.554,豊平川,豊平川,
337,42.966,141.322,537.076,石山,豊平川,
338,43.03,141.354,627.993,藻岩,豊平川,
339,43.071,141.401,631.957,雁来,豊平川,
340,43.169,141.592,43.538,南8号,篠津川,
341,42.775,141.4,1.235,支笏湖,千歳川,
342,42.808,141.569,2.045,ふ化場,千歳川,
343,42.818,141.632,295.761,春日,千歳川,
344,42.846,141.67,367.809,西越,千歳川,
345,42.943,141.651,660.979,舞鶴,千歳川,
