ID,lat_alloc,lon_alloc,area_alloc,lat_ori,lon_ori,area_ori,area_diff,area_error,loc_km_diff,alloc_score,ix,ix,lat_mod,lon_mod,area_mod,Modify,Station Name,River Name,Country,File Date,Last Update,Downstream GRDC Station,Altitude
1104150,36.021,0.271,46143.969,36.02,0.27,43750,2393.641,0.055,0.715,0.198,10817,3239,36.02,0.27,43750,,Sidi Belatar,"CHELIF, OUED",DZ,2020/1/31,2018/5/23,-999,2
1104450,36.671,2.821,1887.106,36.67,2.82,1912,-22.745,-0.012,0.713,0.152,10970,3200,36.67,2.82,1912,,Fer A Cheval,"MAZAFRAN, OUED",DZ,2020/1/31,2018/5/23,-999,10
1104600,36.421,4.604,4043.194,36.42,4.6,4309,-262.16,-0.061,0.907,0.23,11076,3215,36.42,4.6,4309,,Sidi Yahia,"BOU SELLAM, OUED",DZ,2020/1/31,2019/4/24,-999,220
1104800,36.454,7.721,550.91,36.45,7.72,552,0.332,0.001,0.995,0.2,11264,3213,36.45,7.72,552,,Bouchegouf,"MELAH, OUED EL",DZ,2020/1/31,2018/5/23,-999,95
1107700,35.146,-1.446,7418.153,35.15,-1.45,7245,173.069,0.024,1.149,0.254,10714,3292,35.15,-1.45,7245,,Pierre Du Chat,"TAFNA, OUED",DZ,2020/1/31,2018/5/23,-999,60
1107800,35.079,-1.221,1243.951,35.07,-1.22,1118,155.843,0.139,0.718,0.283,10727,3296,35.07,-1.22,1118,,Bensekrane,"ISSER, OUED",DZ,2020/1/31,2018/5/23,1107800,287
1112100,14.437,-11.279,97304.695,14.45,-11.28,157400,-60095.406,-0.382,1.036,0.67,10124,4534,14.45,-11.28,157400,,Kayes,SENEGAL FLEUVE,ML,2020/1/31,2018/6/28,1812500,20
1112110,0,0,0,14.31,-11.13,25000,-999,-999,-999,-999,-999,-999,14.31,-11.13,-9999,Area,Kabate,KOLINBINE,ML,2020/1/31,2018/6/28,1112100,-999
1112200,13.187,-11.496,14594.442,13.23,-11.38,15000,-404.931,-0.027,12.847,2.59,10111,4609,13.23,-11.38,15000,,Gourbassy,FALEME RIVIERE,ML,2020/1/31,2018/6/28,1812600,-999
1112300,13.862,-11.062,143088.172,13.83,-11.13,127000,16093.906,0.127,7.755,1.678,10136,4568,13.83,-11.13,127000,,Galougo,SENEGAL FLEUVE,ML,2020/1/31,2018/6/28,1112100,69
