ID,lat_alloc,lon_alloc,area_alloc,lat_ori,lon_ori,area_ori,loc_km_diff,ix,iy,Station Name,River Name
1,44.897,141.923,115.455,44.895,141.927,118.9,0.386,15785,3675,下雄信内,雄信内川
2,42.849,141.501,118.589,42.849,141.502,118.9,0.081,15481,5149,取水場,漁川
3,42.78,142.217,720.536,42.782,142.217,721.7,0.222,15997,5199,富内,鵡川
4,42.772,142.147,196.98,42.772,142.146,201.7,0.083,15946,5205,茂別,穂別川
5,42.723,142.301,725.229,42.723,142.301,724.4,0,16057,5240,振内,沙流川
6,42.673,142.184,1183.847,42.672,142.184,1181.3,0.111,15973,5276,荷負,沙流川
7,43.055,144.298,120.173,43.054,144.298,104.3,0.111,17495,5001,北斗,仁々志別川
8,43.041,144.452,21.112,43.041,144.452,21.96,0,17606,5011,丹頂橋,旧釧路川
9,45.398,141.855,24.682,45.403,141.85,21.96,0.679,15736,3314,四線橋,増幌川
10,37.928,140.419,161.181,37.932,140.423,183,0.566,14702,8692,秋庭,摺上川
11,38.897,141.269,96.723,38.896,141.269,183,0.111,15314,7995,千厩（外水）,千厩川
12,38.897,141.269,96.723,38.896,141.269,183,0.111,15314,7995,千厩（内水）,千厩川
13,38.931,141.249,364.395,38.933,141.251,183,0.283,15300,7970,吸川（内水）,磐井川
14,38.613,141.137,197.481,38.614,141.139,183,0.207,15219,8199,三方江,旧迫川
15,39.665,140.973,129.363,39.662,140.97,183,0.421,15101,7442,西安庭,矢櫃川
16,40.537,140.263,170.747,40.535,140.26,183,0.337,14590,6814,目屋,岩木川
17,38.453,140.031,229.488,38.456,140.032,183,0.344,14423,8314,寒河江ダム,寒河江川
18,35.947,140.453,188.828,35.921,140.452,183,2.886,14727,10119,霞ケ浦,霞ヶ浦
19,35.862,140.319,150.975,35.862,140.318,183,0.09,14630,10180,根木名川,根木名川
20,36.174,139.058,375.926,36.174,139.058,-9999,0,13722,9955,若泉,神流川
21,35.835,140.697,1.629,35.837,140.696,-9999,0.24,14902,10199,黒部利根,利根川
22,35.917,140.452,13003.747,35.921,140.452,-9999,0.444,14726,10140,利根機場外,利根川
23,35.917,140.452,13003.747,35.921,140.452,-9999,0.444,14726,10140,利根川外,利根川
24,35.927,139.938,13.706,35.926,139.938,11.94,0.111,14356,10133,江川（内）,利根運河
25,35.823,139.898,28.722,35.823,139.898,-9999,0,14327,10208,神明堀（外）,坂川
26,35.822,139.89,81.407,35.822,139.893,-9999,0.273,14321,10209,沈砂池,坂川
27,35.823,139.898,28.722,35.823,139.898,-9999,0,14327,10208,神明堀（内）,坂川
28,35.817,139.872,2.531,35.818,139.871,-9999,0.143,14308,10212,三郷（2）,三郷放水路
29,35.817,139.884,43.452,35.818,139.885,-9999,0.143,14317,10212,三郷（3）,三郷放水路
30,35.799,139.895,33.97,35.799,139.895,-9999,0,14325,10225,古ヶ崎（堤内）,六間川
31,35.738,139.901,137.38,35.738,139.903,-9999,0.18,14329,10269,根本（内）,真間川
32,35.795,139.848,51.258,35.796,139.848,47.25,0.112,14291,10228,新大場川水門（外）,中川
33,35.797,139.848,673.524,35.796,139.848,-9999,0.11,14291,10227,新大場川水門（内）,大場川
34,35.809,139.823,177.588,35.809,139.823,-9999,0,14273,10218,伝右（外）,綾瀬川
35,35.751,139.82,237.728,35.751,139.821,-9999,0.089,14271,10260,綾瀬（内）,綾瀬川
36,35.751,139.82,237.728,35.75,139.82,-9999,0.111,14271,10260,綾瀬（外）,綾瀬川
37,35.809,139.822,24.5,35.809,139.822,-9999,0,14272,10218,伝右（内）,綾瀬川
38,36.623,139.038,989.595,36.622,139.038,981,0.111,13708,9632,屋形原,利根川
39,36.88,139.465,71.651,36.88,139.464,71.97,0.088,14015,9447,湯元,鬼怒川
40,36.916,139.522,27.139,36.915,139.521,26.7,0.142,14056,9421,馬坂,馬坂川
41,36.874,139.635,272.306,36.874,139.636,275,0.09,14138,9451,松ノ木平,鬼怒川
42,36.894,139.648,19.672,36.893,139.649,19.5,0.142,14147,9437,小穴,稲ヶ沢川
43,36.945,139.63,83.704,36.944,139.63,83.6,0.111,14134,9400,一ッ石,湯西川
44,36.965,139.687,132.787,36.965,139.686,134.9,0.089,14175,9386,独鈷沢,男鹿川
45,36.892,139.703,321.564,36.894,139.701,1,0.284,14187,9438,元湯,鬼怒川
46,36.849,139.728,655.14,36.849,139.729,662,0.09,14205,9469,原,鬼怒川
47,36.802,139.705,672.638,36.802,139.704,662.8,0.09,14188,9503,小佐越,鬼怒川
48,36.747,139.758,239.943,36.746,139.757,250.7,0.143,14226,9543,町谷,大谷川
49,36.865,139.552,208.458,36.864,139.552,210,0.111,14078,9458,大川筑,鬼怒川
50,36.094,139.427,44.055,36.094,139.428,210,0.09,13988,10013,通殿（内）,通殿川
51,35.567,138.478,20.098,35.567,138.478,-9999,0,13305,10392,横川：内,横川
52,35.567,138.478,20.098,35.567,138.478,-9999,0,13305,10392,横川：外,横川
53,35.606,138.588,635.517,35.606,138.589,-9999,0.092,13384,10364,柏内,間門川
54,35.603,138.576,2.958,35.603,138.575,-9999,0.092,13375,10366,穏池：外,笛吹川
55,35.606,138.588,635.517,35.606,138.589,-9999,0.092,13384,10364,柏外,笛吹川
56,35.603,138.576,2.958,35.603,138.575,-9999,0.092,13375,10366,穏池：内,蛭沢川
57,37.823,139.155,7314.679,37.825,139.151,-9999,0.417,13792,8768,七日町,小阿賀野川
58,35.048,138.917,1.256,35.047,138.916,-9999,0.144,13621,10766,珍野,放水路
59,34.509,136.737,18.953,34.508,136.736,19.6,0.144,12051,11154,防潮水門外,勢田川
60,34.395,135.86,490.816,34.393,135.861,490,0.24,11420,11236,上市,紀の川
64,35.191,135.684,136.412,35.191,135.683,-9999,0.092,11293,10663,井戸（機構）,桂川
65,34.58,135.627,950.348,34.583,135.627,-9999,0.333,11252,11103,市村（廃止）,長瀬川
66,34.58,135.626,950.391,34.58,135.625,-9999,0.092,11251,11103,青地（廃止）,平野川
67,34.89,135.406,125.661,34.89,135.406,127.8,0,11093,10880,畦野（機構）,一庫大路次川
68,34.584,136.049,192.191,34.584,136.049,-9999,0,11556,11100,鹿高（機構）,宇陀川
69,34.934,135.423,32.368,34.934,135.423,44,0,11105,10848,国崎（機構）,田尻川
70,34.617,136.092,1.134,34.618,136.093,-9999,0.144,11587,11076,上名張（機構）,名張川
71,34.735,135.967,86.1,34.735,135.968,-9999,0.093,11497,10991,興ヶ原（機構）,布目川
72,34.767,135.965,1.494,34.768,135.964,-9999,0.144,11495,10968,有市,木津川
74,35.013,135.942,42.496,35.013,135.943,45.3,0.09,11479,10791,西矢倉,琵琶湖
75,35.969,136.576,555.797,35.968,136.576,45.3,0.111,11935,10103,富田,九頭竜川
76,36.022,136.516,948.125,36.02,136.515,890.2,0.24,11892,10065,下荒井（上）（廃止）,九頭竜川
77,35.933,136.56,225.28,35.932,136.561,236.3,0.143,11924,10129,五条方上流（廃止）,真名川
78,35.074,134.067,231.102,35.074,134.067,230,0,10129,10747,高野,加茂川
79,34.99,134.133,489.227,34.989,134.133,490,0.111,10176,10808,湯郷,吉野川
80,33.863,133.417,52.421,33.859,133.419,280,0.48,9661,11619,保土野（廃止）,銅山川
81,26.797,128.238,11.875,26.796,128.239,12,0.149,5932,16707,下辺野喜,辺野喜川
82,44.074,142.74,140.469,44.075,142.74,142,0.111,16373,4267,茂志利,天塩川
83,44.109,142.598,398.936,44.109,142.598,399,0,16271,4242,奥士別,天塩川
84,44.119,142.534,549.387,44.119,142.534,563,0,16225,4235,剣和,天塩川
85,44.128,142.484,581.917,44.129,142.484,588.6,0.111,16189,4228,上士別（廃止）,天塩川
86,44.19,142.415,725.052,44.19,142.415,717,0,16139,4184,九十九橋,天塩川
87,44.297,142.365,1430.448,44.296,142.365,1463,0.111,16103,4107,西多寄,天塩川
88,44.36,142.442,1725.93,44.361,142.443,1719,0.137,16159,4061,名寄大橋,天塩川
89,44.481,142.335,2901.605,44.481,142.336,2899,0.08,16082,3974,美深橋,天塩川
90,44.594,142.302,3219.196,44.593,142.302,3220,0.112,16058,3893,恩根内,天塩川
91,44.705,142.267,3411.065,44.705,142.267,3506,0,16033,3813,茨内,天塩川
92,44.809,142.07,4061.501,44.809,142.071,4029,0.08,15891,3738,誉平,天塩川
93,44.088,142.747,74.039,44.089,142.747,72,0.111,16378,4257,似峡,似峡川
94,44.166,142.377,622.715,44.166,142.377,612,0,16112,4201,士別,剣淵川
95,44.301,142.649,316.201,44.301,142.649,316,0,16308,4104,下川,名寄川
96,44.319,142.583,623.941,44.319,142.583,620,0,16260,4091,上名寄,名寄川
97,44.333,142.485,686.448,44.333,142.485,695,0,16190,4081,真勲別,名寄川
98,44.462,142.37,230.905,44.463,142.365,222,0.412,16107,3988,仁宇布,ペンケニウプ川
99,44.319,142.447,155.39,44.319,142.447,-9999,0,16162,4091,北興橋,風連別川
100,44.898,142.008,4178.207,44.898,142.008,4190,0,15846,3674,新問寒別橋,天塩川
101,44.902,141.967,4509.938,44.9,141.967,4235,0.222,15817,3671,辰根牛,天塩川
102,44.927,141.881,4660.15,44.926,141.879,4685,0.193,15755,3653,円山,天塩川
