        ID       lat       lon  area_Input   area_CaMa       error        diff    Type     ix1   iy1     ix2   iy2       area1       area2
   1104150    36.021     0.271    46143.97    46237.77        0.00       93.80       0     721   216    -999  -999     46237.8      -999.0
   1104450    36.671     2.821     1887.11     1894.33        0.00        7.23       0     732   214    -999  -999      1894.3      -999.0
   1104600    36.421     4.604     4043.19     3753.61       -0.07     -289.59       2     740   215     740   216      3022.2       731.4
   1104800    36.454     7.721      550.91      513.71       -0.07      -37.20       1     752   215    -999  -999       513.7      -999.0
   1107700    35.146    -1.446     7418.15     7505.61        0.01       87.46       0     715   220    -999  -999      7505.6      -999.0
   1107800    35.079    -1.221     1243.95     1367.02        0.10      123.07       0     716   220    -999  -999      1367.0      -999.0
   1112100    14.437   -11.279    97304.70    98051.41        0.01      746.71       0     675   302    -999  -999     98051.4      -999.0
   1112110     0.000     0.000        0.00     -999.00     -999.00     -999.00      -9    -999  -999    -999  -999      -999.0      -999.0
   1112200    13.187   -11.496    14594.44    14902.38        0.02      307.93       0     674   308    -999  -999     14902.4      -999.0
   1112300    13.862   -11.062   143088.17   143368.22        0.00      280.05       0     676   305    -999  -999    143368.2      -999.0
   1112320    13.429    -9.312     4842.40     4897.27        0.01       54.87       0     683   307    -999  -999      4897.3      -999.0
   1112330     0.000     0.000        0.00     -999.00     -999.00     -999.00      -9    -999  -999    -999  -999      -999.0      -999.0
   1112340    13.446    -9.887    16480.66    16630.63        0.01      149.97       0     681   307    -999  -999     16630.6      -999.0
   1112350    13.196   -10.454    28181.16    28257.70        0.00       76.54       0     679   308    -999  -999     28257.7      -999.0
   1112400    12.412   -11.179      564.27     -999.00     -999.00     -999.00      -9    -999  -999    -999  -999      -999.0      -999.0
   1112480    12.187   -10.179     2192.76     2460.57        0.12      267.81       0     680   312    -999  -999      2460.6      -999.0
   1112500    12.221   -10.246     2338.59     2460.57        0.05      121.98       0     680   312    -999  -999      2460.6      -999.0
   1134020    11.146    -8.554    23587.35    23755.23        0.01      167.89       0     686   316    -999  -999     23755.2      -999.0
   1134030    11.679    -8.662    70729.76    71161.73        0.01      431.98       0     686   314    -999  -999     71161.7      -999.0
   1134040    11.971    -8.229    33111.25    33112.75        0.00        1.49       0     688   313    -999  -999     33112.7      -999.0
   1134050    11.579    -8.179    31904.90    32259.91        0.01      355.01       0     688   314    -999  -999     32259.9      -999.0
   1134060    11.137    -8.196     4321.30     4022.11       -0.07     -299.19       1     688   317    -999  -999      4022.1      -999.0
   1134080    10.796    -7.671     8420.52     7999.98       -0.05     -420.54       1     689   318    -999  -999      8000.0      -999.0
   1134100    12.871    -7.546   117949.93   118078.70        0.00      128.77       0     690   309    -999  -999    118078.7      -999.0
   1134110    11.396    -7.446    14920.03    15370.81        0.03      450.79       0     691   315    -999  -999     15370.8      -999.0
   1134150    11.071    -6.846     3104.58     3104.10       -0.00       -0.48       0     693   317    -999  -999      3104.1      -999.0
   1134200    12.521    -6.796    31778.95    31975.16        0.01      196.21       0     693   310    -999  -999     31975.2      -999.0
   1134220    11.421    -6.571    31042.44    32250.15        0.04     1207.71       0     694   315    -999  -999     32250.2      -999.0
   1134250    13.721    -6.054   131764.16   131900.83        0.00      136.67       0     696   306    -999  -999    131900.8      -999.0
   1134300    13.212    -5.904    99876.91   101580.67        0.02     1703.77       0     697   308    -999  -999    101580.7      -999.0
   1134310     0.000     0.000        0.00     -999.00     -999.00     -999.00      -9    -999  -999    -999  -999      -999.0      -999.0
   1134320     0.000     0.000        0.00     -999.00     -999.00     -999.00      -9    -999  -999    -999  -999      -999.0      -999.0
   1134350    11.679    -5.587     3675.76     3234.03       -0.12     -441.73       1     699   315    -999  -999      3234.0      -999.0
   1134400    13.954    -5.362   134226.77   136952.28        0.02     2725.52       0     700   304    -999  -999    136952.3      -999.0
   1134420     0.000     0.000        0.00     -999.00     -999.00     -999.00      -9    -999  -999    -999  -999      -999.0      -999.0
   1134450    13.379    -4.921   111677.15   111717.98        0.00       40.84       0     700   307    -999  -999    111718.0      -999.0
   1134460    14.146    -4.979   136995.83   137351.55        0.00      355.72       0     701   304    -999  -999    137351.5      -999.0
   1134480    14.021    -4.246   130175.84   131528.91        0.01     1353.06       0     704   304    -999  -999    131528.9      -999.0
   1134500    14.529    -4.204   278325.41   278909.12        0.00      583.72       0     704   302    -999  -999    278909.1      -999.0
   1134505     0.000     0.000        0.00     -999.00     -999.00     -999.00      -9    -999  -999    -999  -999      -999.0      -999.0
   1134600     0.000     0.000        0.00     -999.00     -999.00     -999.00      -9    -999  -999    -999  -999      -999.0      -999.0
   1134620     0.000     0.000        0.00     -999.00     -999.00     -999.00      -9    -999  -999    -999  -999      -999.0      -999.0
   1134630     0.000     0.000        0.00     -999.00     -999.00     -999.00      -9    -999  -999    -999  -999      -999.0      -999.0
   1134650     0.000     0.000        0.00     -999.00     -999.00     -999.00      -9    -999  -999    -999  -999      -999.0      -999.0
   1134700    16.271    -3.379   345824.25   347813.38        0.01     1989.12       0     707   295    -999  -999    347813.4      -999.0
   1134730    16.654    -3.029   348695.84   349230.25        0.00      534.41       0     708   294    -999  -999    349230.2      -999.0
   1134850    16.938    -0.587   375411.25   375463.03        0.00       51.78       0     718   293    -999  -999    375463.0      -999.0
   1134900    15.671     0.496   489290.31   489888.19        0.00      597.88       0     722   298    -999  -999    489888.2      -999.0
   1147010    -4.288    15.296  3605689.00  3606257.00        0.00      568.00       0     782   378    -999  -999   3606257.0      -999.0
   1147011    -0.346    25.454   931908.81   932104.69        0.00      195.88       0     822   362    -999  -999    932104.7      -999.0
   1147012    -2.946    25.929   785003.00   785476.62        0.00      473.62       0     824   372    -999  -999    785476.6      -999.0
   1147013    -4.279    15.329  3604575.25  3606257.00        0.00     1681.75       0     782   378    -999  -999   3606257.0      -999.0
   1147200    -3.213    17.363   744483.00   748344.81        0.01     3861.81       0     790   373    -999  -999    748344.8      -999.0
   1147201    -4.338    20.571   240173.17   244833.75        0.02     4660.58       0     803   378    -999  -999    244833.8      -999.0
   1159100   -28.754    17.721   788485.69   788534.19        0.00       48.50       0     792   476    -999  -999    788534.2      -999.0
   1159105   -28.079    16.896   884673.56   886136.38        0.00     1462.81       0     788   473    -999  -999    886136.4      -999.0
   1159110   -31.804    20.354     1505.19     1564.88        0.04       59.69       0     802   488    -999  -999      1564.9      -999.0
   1159120   -31.813    20.579     1684.07     2020.11        0.20      336.04       0     803   488    -999  -999      2020.1      -999.0
   1159130   -30.471    20.521    37829.93    37935.36        0.00      105.43       0     802   483    -999  -999     37935.4      -999.0
   1159131   -31.363    21.321    13159.00    13310.66        0.01      151.65       0     806   486    -999  -999     13310.7      -999.0
   1159300   -28.463    21.246   354290.53   355515.53        0.00     1225.00       0     806   475    -999  -999    355515.5      -999.0
   1159301   -29.654    22.746   330382.75   330862.41        0.00      479.66       0     811   479    -999  -999    330862.4      -999.0
   1159302   -29.163    23.696    99239.88    99081.98       -0.00     -157.91       1     816   478    -999  -999     99082.0      -999.0
   1159303   -29.813    24.438    91699.00    94116.28        0.03     2417.28       0     818   479    -999  -999     94116.3      -999.0
   1159310   -29.146    26.321      339.32     -999.00     -999.00     -999.00      -9    -999  -999    -999  -999      -999.0      -999.0
   1159320   -29.654    25.971     2361.11     2309.43       -0.02      -51.68       2     825   480     825   479      1641.9       667.5
   1159321   -29.813    26.213      591.61      684.95        0.16       93.34       0     826   480    -999  -999       685.0      -999.0
   1159325   -29.904    26.213      196.39     -999.00     -999.00     -999.00      -9    -999  -999    -999  -999      -999.0      -999.0
