        ID       lat       lon   area_CaMa  area_GRanD       error        diff      ix      iy     cap_mcm  year  damname                         rivname
         2    63.771  -135.371      1676.2      1685.4        -0.0        -9.2     180     105       264.8  1952  Mayo                            Mayo                          
         3    57.062  -135.196       102.2        96.3         0.1         5.9     180     132       179.1  1961  BlueLake                        SawmillCreek                  
         6    56.021  -122.196     72466.5     72072.2         0.0       394.3     232     136     74300.0  1967  W.A.C.Bennett                   Peace                         
         7    55.979  -121.996     73133.2     72748.3         0.0       385.0     232     137       215.9  1980  PeaceCanyon                     Peace                         
         8    55.612  -131.346        94.2        93.9         0.0         0.3     196     138       153.0  1984  SwanLake                        FallsCreek                    
         9    55.446  -129.854       134.3       127.8         0.1         6.4     201     139        30.8  1923  Anyox                           FallsCreek                    
        12    54.804  -126.221      1431.5      1381.2         0.0        50.3     215     141        23.0  1968  FultonRiver                     Fulton                        
        15    53.579  -124.946     15651.3     14044.9         0.1      1606.4     221     146     23800.0  1952  Kenney                          Nechako                       
        16    53.029  -128.896       142.5       140.8         0.0         1.7     205     148       123.3  1916  CougarLakeDam                   NoName                        
        18    52.354  -127.679       299.3       298.9         0.0         0.4     210     151       389.8  1917  LinkLake                        Link                          
        19    50.837  -122.854       987.1       986.1         0.0         0.9     228     157       720.7  1955  Lajoie                          Bridge                        
        20    50.787  -122.221      3779.0      3700.0         0.0        79.0     231     157      1021.3  1960  Terzaghi                        Bridge                        
        21    50.671  -121.971       886.1      1877.3        -0.5      -991.2     232     158       150.7  1956  Seton                           SetonCreek                    
        23    50.046  -125.337      1170.4      1424.4        -0.2      -254.0     218     161         3.4  1947  JohnHart                        Campbell                      
        24    50.012  -125.387      1170.4      1397.6        -0.2      -227.2     218     161       320.7  1949  LadoreFalls                     Campbell                      
        25    49.996  -125.587      1170.4      1170.3         0.0         0.1     218     161      1002.8  1958  Strathcona                      Campbell                      
        26    49.979  -123.146       667.0       720.6        -0.1       -53.6     228     160        52.4  1957  Cheakamus                       Cheakamus                     
        27    49.879  -124.554      1254.2      1254.7        -0.0        -0.4     222     161      1620.0  1912  Powell                          Powell                        
        28    49.796  -124.321       467.7       455.7         0.0        11.9     223     161       555.1  1941  Lois                            Lois                          
        29    49.712  -123.537       358.6       382.8        -0.1       -24.2     227     162        99.9  1957  Clowhom                         Clowhom                       
        30    49.646  -125.096       352.4       461.9        -0.2      -109.5     219     162       104.2  1955  ComoxLake                       Puntledge                     
        31    49.471  -125.104       304.1       237.5         0.3        66.6     220     163        77.0  1958  ElsieLakeSaddleDam              Ash                           
        33    49.362  -123.112       211.2       196.4         0.1        14.8     228     163        75.2  1954  Cleveland                       Capilano                      
        34    49.354  -122.779       251.1       186.8         0.3        64.3     229     163       222.6  1912  Coquitlam                       Coquitlam                     
        37    49.229  -122.354       974.4       953.2         0.0        21.3     231     163       580.0  1911  StaveFalls                      Stave                         
        41    48.729  -121.071      2044.0      2617.0        -0.2      -572.9     236     165      1791.9  1949  Ross                            SkagitRiver                   
        42    48.712  -121.129      3237.3      2935.7         0.1       301.6     236     166       111.0  1929  Diablo                          SkagitRiver                   
        43    48.646  -121.688       442.0       554.6        -0.2      -112.6     234     165       352.1  1959  WestPassDike                    BakerRiver                    
        44    48.554  -121.737       442.0       760.6        -0.4      -318.6     234     165       200.6  1927  LowerBakerDam                   Baker                         
        46    48.496  -123.987       165.0       101.6         0.6        63.4     225     167        20.0  1914  Jordan                          Jordan                        
        49    47.837  -120.021      2160.6      2395.2        -0.1      -234.6     239     168       834.0  1927  ChelanDam                       ChelanRiver                   
        51    47.421  -123.221       178.9       240.9        -0.3       -62.0     227     170       595.5  1926  Cushman1                        NorthForkofSkokomishRiver     
        56    47.279  -121.787       389.1       576.3        -0.3      -187.2     235     172       168.6  1962  HowardA.HansonDam               Green                         
        58    47.246  -121.071       522.4       522.7        -0.0        -0.3     236     171       539.0  1932  CleElum                         CleElumRiver                  
        61    46.804  -122.312       663.5       752.6        -0.1       -89.1     232     174       297.5  1945  Alder                           NisquallyRiver                
        62    46.787  -122.721       301.7       168.3         0.8       133.3     229     173        74.0  1970  Skookumchuck                    SkookumchuckRiver             
        63    46.654  -121.129       680.7       484.7         0.4       196.0     236     174       244.2  1924  Tieton                          TietonRiver                   
        64    46.537  -122.421      2965.4      2964.9         0.0         0.5     232     175      2078.4  1968  Mossyrock                       CowlitzRiver                  
        65    46.504  -122.587      3967.9      3590.7         0.1       377.2     230     174       219.6  1963  Mayfield                        CowlitzRiver                  
