        ID       lat       lon   area_CaMa  area_GRanD       error        diff      ix      iy     cap_mcm  year  damname                         rivname
         1    57.654  -153.029      -888.0        38.2        -8.0      -888.0     448     583       133.2  1984  TerrorLake                      TerrorRiver                   
         5    58.171  -133.729      -888.0        78.3        -8.0      -888.0     180     132       181.3  1973  LongLakeDam                     LongRiver                     
        13    54.354  -130.196      -888.0        25.3        -8.0      -888.0     215     141        10.6  1914  Shawatians                      Shawatians                    
        17    52.571  -122.287      -888.0        30.1        -8.0      -888.0     205     148       250.0  1998  Gibraltar                       NoName                        
        22    50.546  -121.188      -888.0       164.4        -8.0      -888.0     232     158       650.0  1976  Highland                        Pukaist                       
        35    49.287  -122.487      -888.0       202.4        -8.0      -888.0     229     163       209.7  1926  Alouette                        Alouette                      
        36    49.237  -121.612      -888.0        58.7        -8.0      -888.0     229     163        66.6  1953  Wahleach                        Wahleach                      
        38    49.087  -124.404      -888.0        76.2        -8.0      -888.0     231     163        43.5  1952  FourthNanaimoLake               SadieCreek                    
        39    49.012  -124.221      -888.0        51.4        -8.0      -888.0     231     163        12.3  1974  JumpCreek                       JumpCreek                     
        45    48.521  -123.704      -888.0        59.1        -8.0      -888.0     234     165        51.8  1969  SookeLake                       NoName                        
        47    47.979  -121.688      -888.0       176.9        -8.0      -888.0     225     167       189.0  1983  Culmback                        SultanRiver                   
        48    47.946  -121.829      -888.0        19.1        -8.0      -888.0     225     167        22.0  1930  ChaplainLakeSouthDam            ChaplainCreek                 
        50    47.696  -121.688      -888.0        48.9        -8.0      -888.0     239     168        84.4  1962  ToltMainDam                     SouthForkofToltRiver          
        52    47.412  -121.754      -888.0       211.9        -8.0      -888.0     227     170       215.9  1914  MasonryDam                      CedarRiver                    
        53    47.404  -122.154      -888.0        19.9        -8.0      -888.0     227     170        15.2  1950  YoungsLakeCascadesDam           Trib.CedarRiver               
        54    47.387  -123.604      -888.0       106.1        -8.0      -888.0     227     170        93.7  1973  Wynoochee                       WynoocheeRiver                
        55    47.321  -121.337      -888.0       143.2        -8.0      -888.0     227     170       194.9  1916  Keechelus                       YakimaRiver                   
        57    47.262  -121.204      -888.0       163.3        -8.0      -888.0     235     172       302.2  1911  Kachess                         KachessRiver                  
        59    47.179  -122.171      -888.0        25.4        -8.0      -888.0     236     171        57.5  1911  LakeTappsDike2-B                LakeTapps                     
        60    46.871  -121.304      -888.0       187.3        -8.0      -888.0     236     171        41.6  1909  BumpingLake                     BumpingRiver                  
        67    46.362  -122.546      -888.0       373.3        -8.0      -888.0     232     175       155.4  1988  Mt.St.HelensSedimentRetentionS  ToutleRiver                   
        69    46.029  -123.371      -888.0        46.7        -8.0      -888.0     232     176        14.8  1965  YoungsRiverReservoir            YoungsRiver                   
        71    45.487  -122.079      -888.0       188.3        -8.0      -888.0     231     177        41.6  1929  BullRunReservoirDam1            BullRunRiver                  
        72    45.471  -123.196      -888.0       102.4        -8.0      -888.0     231     177        74.0  1975  ScogginsReservoir               ScogginsCreek                 
        73    45.462  -121.846      -888.0         9.1        -8.0      -888.0     231     177        17.9  1965  BullRunLakeDam                  BullRunRiver                  
        74    45.446  -122.146      -888.0       266.1        -8.0      -888.0     231     177        30.8  1962  BullRunReservoirDam2            BullRunRiver                  
        75    45.446  -123.396      -888.0        21.3        -8.0      -888.0     231     177        24.7  1998  TraskRiverDam                   NorthForkofTraskRiver         
        76    45.429  -122.671      -888.0        16.8        -8.0      -888.0     231     177        12.1  1921  LakeOswego                      OffstreamTualatinRiver        
        78    45.179  -121.696      -888.0        22.0        -8.0      -888.0     232     180        14.7  1958  Wasco                           ClearCreek                    
