        ID       lat       lon   area_CaMa  area_Input       error        diff      ix      iy     cap_mcm  year  damname                         rivname
         4    56.987  -135.113      -999.0        72.8      -999.0      -999.0    -999    -999       115.9  1982                       GreenLake                    VodopadRiver
        10    55.379  -131.521      -999.0         8.8      -999.0      -999.0    -999    -999        46.9  1968                     UpperSilvis                BeaverFallsCreek
        11    55.362  -131.621      -999.0        20.9      -999.0      -999.0    -999    -999        17.0  1957                  KetchikanLakes                  KetchikanCreek
        14    54.196  -130.079      -999.0        51.3      -999.0      -999.0    -999    -999        40.7  1966                       DianaLake                           Diana
        32    49.437  -122.962      -999.0       127.7      -999.0      -999.0    -999    -999        25.3  1961                    SeymourFalls                         Seymour
        40    48.762  -122.421      -999.0       148.3      -999.0      -999.0    -999    -999        95.0  1937                  WhatcomLakeDam                    WhatcomCreek
       194    38.146  -122.779      -999.0        40.8      -999.0      -999.0    -999    -999        13.2  1979                       Soulajule                    ArroyoSausal
       208    37.762  -122.096      -999.0        77.5      -999.0      -999.0    -999    -999        51.8  1977                   NewSanLeandro                 SanLeandroCreek
       209    37.729  -122.121      -999.0       108.1      -999.0      -999.0    -999    -999        12.7  1892                          Chabot                 SanLeandroCreek
       232    35.446  -120.887      -999.0        52.9      -999.0      -999.0    -999    -999        50.2  1960                       WhaleRock                        OldCreek
       240     0.000     0.000      -999.0         0.0      -999.0      -999.0    -999    -999       168.0  1996                           Dike9                          NoName
       671    32.612  -116.929      -999.0       255.6      -999.0      -999.0    -999    -999        61.1  1919                          Savage                       OtayRiver
       702     0.000     0.000      -999.0         0.0      -999.0      -999.0    -999    -999      4463.0  1976               MissiFallsControl                       Churchill
       748     0.000     0.000      -999.0         0.0      -999.0      -999.0    -999    -999        12.3  1961                      WilsonLake                     WilsonCreek
      1304    29.779   -94.812      -999.0        23.4      -999.0      -999.0    -999    -999        37.0  1972   CedarBayouGeneratingPondLevee                      CedarBayou
      1500     0.000     0.000      -999.0         0.0      -999.0      -999.0    -999    -999       101.5  1973                       Ludington                    LakeMichigan
      1632     0.000     0.000      -999.0         0.0      -999.0      -999.0    -999    -999        26.9  1984  BaileyMineSlurryImpoundmentDam                       TalleyRun
      1633    39.954   -75.396      -999.0        55.5      -999.0      -999.0    -999    -999        16.8  1931                    GeistStorage                       CrumCreek
      1680     0.000     0.000      -999.0         0.0      -999.0      -999.0    -999    -999        12.6   -99      MeigsMineSlurryImpoundment                  Trib.ParkerRun
      1702    38.521   -77.462      -999.0        28.8      -999.0      -999.0    -999    -999        11.8  1957                        LungaDam                    BeaverdamRun
      1738    37.354   -76.837      -999.0        11.8      -999.0      -999.0    -999    -999        39.6  1980                  LittleCreekDam                     LittleCreek
      2033    46.571   -60.496      -999.0        62.6      -999.0      -999.0    -999    -999        22.1  1977                       WreckCove                       WreckCove
      2099    44.521   -68.996      -999.0        27.2      -999.0      -999.0    -999    -999        27.5   -99                    ToddyPondDam                 Trib.Alamoosook
