        ID       lat       lon  area_Input   area_CaMa       error        diff    Type     ix1   iy1     ix2   iy2       area1       area2
   2179100    42.187   123.504   164648.58     -999.00     -999.00     -999.00      -9    -999  -999    -999  -999      -999.0      -999.0
   2587080    44.921   141.896     4647.53     4651.85        0.00        4.32       0    1135    65    -999  -999      4651.9      -999.0
   2587081    44.796   142.071     4044.15     4044.33        0.00        0.18       0    1145    73    -999  -999      4044.3      -999.0
   2587082    44.479   142.338     2899.91     2941.07        0.01       41.15       0    1160    91    -999  -999      2941.1      -999.0
   2587083    44.379   142.446     1739.74     1726.49       -0.01      -13.25       0    1167    99    -999  -999      1726.5      -999.0
   2587100    43.121   141.554    12801.81    12652.70       -0.01     -149.11       0    1113   173    -999  -999     12652.7      -999.0
   2587101    43.329   141.696     9195.10     9363.63        0.02      168.54       0    1122   161    -999  -999      9363.6      -999.0
   2587102    43.554   141.888     5691.90     5684.51       -0.00       -7.39       1    1133   146    -999  -999      5684.5      -999.0
   2587103    43.721   142.138     3537.84     3534.28       -0.00       -3.56       0    1149   137    -999  -999      3534.3      -999.0
   2587104    43.771   142.279     3318.03     3317.65       -0.00       -0.38       0    1157   134    -999  -999      3317.7      -999.0
   2587105    43.562   142.054     2544.23     2546.37        0.00        2.14       0    1144   147    -999  -999      2546.4      -999.0
   2587106    43.087   141.688     1111.55     1108.66       -0.00       -2.88       0    1122   175    -999  -999      1108.7      -999.0
   2587200    42.812   140.463     1384.98     1385.15        0.00        0.17       0    1049   192    -999  -999      1385.2      -999.0
   2587210    42.571   141.938     1226.68     1225.30       -0.00       -1.39       0    1137   206    -999  -999      1225.3      -999.0
   2587220    42.579   142.146     1258.33     1264.56        0.00        6.23       0    1149   206    -999  -999      1264.6      -999.0
   2587230    43.896   144.129     1090.48     1143.21        0.05       52.73       0    1271   124    -999  -999      1143.2      -999.0
   2587240    43.796   143.913     1405.47     1403.82       -0.00       -1.65       0    1255   133    -999  -999      1403.8      -999.0
   2587250    44.096   143.546     1335.59     1338.40        0.00        2.81       0    1233   114    -999  -999      1338.4      -999.0
   2587400    42.796   143.521     8274.25     8237.48       -0.00      -36.78       0    1232   192    -999  -999      8237.5      -999.0
   2587401    42.937   143.204     2529.64     2674.37        0.06      144.73       1    1212   184    -999  -999      2674.4      -999.0
   2587402    43.062   142.929      808.74      809.51        0.00        0.76       0    1196   177    -999  -999       809.5      -999.0
   2587403    42.929   143.446     2697.75     2722.85        0.01       25.10       0    1227   185    -999  -999      2722.8      -999.0
   2588100    34.462   132.496     1520.98     1517.06       -0.00       -3.92       0     570   692    -999  -999      1517.1      -999.0
   2588101    34.529   132.438     1093.62     1097.01        0.00        3.39       0     567   689    -999  -999      1097.0      -999.0
   2588200    34.812   135.638     7231.39     7304.30        0.01       72.90       0     758   672    -999  -999      7304.3      -999.0
   2588201    34.904   135.713      927.00     1076.42        0.16      149.43       1     764   665    -999  -999      1076.4      -999.0
   2588202    34.887   135.713     1692.48     1691.93       -0.00       -0.56       0     763   667    -999  -999      1691.9      -999.0
   2588203    34.896   135.721     4416.45     4234.43       -0.04     -182.02       0     764   667    -999  -999      4234.4      -999.0
   2588204    34.971   135.904     3720.13     3721.44        0.00        1.31       0     775   662    -999  -999      3721.4      -999.0
   2588250    33.754   135.938     2249.03     2248.84       -0.00       -0.19       0     777   735    -999  -999      2248.8      -999.0
   2588300    35.437   137.038     4640.46     4643.67        0.00        3.21       0     843   634    -999  -999      4643.7      -999.0
   2588301    35.404   136.963     4829.98     4832.63        0.00        2.65       0     838   636    -999  -999      4832.6      -999.0
   2588302    35.362   136.654     1198.83     1189.78       -0.01       -9.05       0     819   640    -999  -999      1189.8      -999.0
   2588303    35.421   136.746     1615.83     1607.61       -0.01       -8.23       0     826   635    -999  -999      1607.6      -999.0
   2588304    35.362   136.688     1857.87     1813.48       -0.02      -44.38       0     822   640    -999  -999      1813.5      -999.0
   2588320    34.854   137.813     4995.89     4992.59       -0.00       -3.30       0     890   669    -999  -999      4992.6      -999.0
   2588321    35.846   137.971      929.91      910.91       -0.02      -19.00       0     899   609    -999  -999       910.9      -999.0
   2588322    35.596   137.929     2237.06     2239.97        0.00        2.91       0     896   625    -999  -999      2240.0      -999.0
   2588480    35.196   138.588     3344.43     3505.24        0.05      160.80       0     935   649    -999  -999      3505.2      -999.0
   2588481    35.529   138.454     2180.21     2171.56       -0.00       -8.65       0     928   628    -999  -999      2171.6      -999.0
   2588482    35.696   138.454      476.89      477.12        0.00        0.24       1     927   618    -999  -999       477.1      -999.0
   2588483    35.579   138.521      938.40      944.86        0.01        6.46       0     931   626    -999  -999       944.9      -999.0
   2588500    36.087   139.446     1030.06      974.46       -0.05      -55.60       0     987   595    -999  -999       974.5      -999.0
   2588501    36.112   139.204      911.81      911.70       -0.00       -0.12       0     972   594    -999  -999       911.7      -999.0
   2588550    36.146   139.704     8628.18     8671.74        0.01       43.56       0    1002   591    -999  -999      8671.7      -999.0
   2588551    35.854   140.138    12115.38    12100.20       -0.00      -15.18       0    1029   609    -999  -999     12100.2      -999.0
   2588552    36.196   139.513     5977.53     6014.76        0.01       37.23       0     991   589    -999  -999      6014.8      -999.0
   2588553    36.237   139.388     5941.10     5901.35       -0.01      -39.75       0     984   586    -999  -999      5901.4      -999.0
   2588554    36.262   139.196     5145.89     5106.42       -0.01      -39.47       0     972   585    -999  -999      5106.4      -999.0
   2588555    36.596   139.054     1693.64     1694.03        0.00        0.39       0     963   565    -999  -999      1694.0      -999.0
   2588556    35.854   139.896       83.30       81.14       -0.03       -2.17       0    1014   610    -999  -999        81.1      -999.0
   2588557    36.021   139.988     1790.77     1780.15       -0.01      -10.62       0    1020   599    -999  -999      1780.1      -999.0
   2588558    36.262   139.746      886.41      873.10       -0.02      -13.30       0    1005   585    -999  -999       873.1      -999.0
   2588559    36.254   139.671     1261.87     1235.54       -0.02      -26.33       0    1001   585    -999  -999      1235.5      -999.0
   2588560    36.287   139.079     1225.99     1218.42       -0.01       -7.57       0     965   583    -999  -999      1218.4      -999.0
   2588561    36.554   138.921     1254.88     1256.51        0.00        1.63       0     955   568    -999  -999      1256.5      -999.0
   2588600    40.437   141.346     1788.68     1793.53        0.00        4.85       0    1101   334    -999  -999      1793.5      -999.0
   2588610    38.529   141.063      715.82      726.91        0.02       11.10       0    1084   449    -999  -999       726.9      -999.0
   2588620    38.204   140.888      435.75      442.39        0.02        6.64       0    1073   468    -999  -999       442.4      -999.0
   2588630    35.637   139.529     1038.70     1031.68       -0.01       -7.02       0     992   622    -999  -999      1031.7      -999.0
   2588640    36.496   140.571     1435.48     1431.70       -0.00       -3.77       0    1055   571    -999  -999      1431.7      -999.0
   2588650    38.096   140.871     5267.59     5259.56       -0.00       -8.04       0    1073   475    -999  -999      5259.6      -999.0
   2588651    37.921   140.763     4119.73     4118.67       -0.00       -1.06       0    1066   485    -999  -999      4118.7      -999.0
   2588652    37.829   140.521     3652.92     3633.22       -0.01      -19.70       0    1052   491    -999  -999      3633.2      -999.0
   2588653    37.512   140.404     2225.32     2225.67        0.00        0.34       0    1045   510    -999  -999      2225.7      -999.0
   2588654    37.296   140.396      882.60      878.13       -0.01       -4.47       0    1045   523    -999  -999       878.1      -999.0
   2588655    38.062   140.771      775.10      779.11        0.01        4.01       0    1067   477    -999  -999       779.1      -999.0
