        ID       lat       lon   area_CaMa  area_GRanD       error        diff      ix      iy     cap_mcm  year  damname                         rivname
      5979    35.496   133.004         1.5         1.3         0.2         0.3     600     630         1.3  1952  Kakiharatameike                 Nishitanigawa                 
      5983    35.312   133.096        17.5        17.6        -0.0        -0.1     606     642         5.0  1980  Yamasa                          Yamasagawa                    
      5984    35.312   133.329        27.3        27.3         0.0         0.0     620     642         7.5  1988  Kasho                           Hosshojigawa                  
      5985    35.304   133.988         8.7         8.6         0.0         0.1     660     642         2.9  1928  Onbara                          Onbaragawa                    
      5986    35.287   133.154        72.3        69.4         0.0         2.9     610     643         7.1  1967  Fube                            Iinashigawa                   
      5988    35.237   134.829        17.0        15.5         0.1         1.6     710     646        19.4  1974  Tataragi                        Tataragigawa                  
      5990    35.229   134.538        53.8        53.6         0.0         0.2     693     647        21.9  1957  Hikihara                        Hikiharagawa                  
      5991    35.229   134.038        52.1        49.4         0.1         2.7     663     647         6.0  1966  Kuroki                          Kuramigawa                    
      5992    35.212   133.729       255.9       255.0         0.0         0.9     644     648        99.6  1954  Yubara                          Asahigawa                     
      5993    35.204   133.313        86.4        85.6         0.0         0.8     620     648        19.8  1967  Sugesawa                        Ingagawa                      
      5994    35.196   132.963        70.7        69.5         0.0         1.2     598     649         1.1  1942  Aikawa                          Aikawa                        
      5995    35.187   134.821        48.9        48.3         0.0         0.6     710     649        18.0  1972  Ikuno                           Ichikawa                      
      5996    35.179   133.738       283.7       283.1         0.0         0.6     645     650         1.0  1954  Yashiroguchi                    Asahigawa                     
      5998    35.121   133.546        50.0        49.9         0.0         0.1     633     653         3.5  1982  Osa                             Osakabegawa                   
      5999    35.087   132.729       149.4       140.0         0.1         9.4     584     655        23.5  1956  Kijima                          Kondogawa                     
      6001    35.037   132.596      2992.3      2993.9        -0.0        -1.6     577     658        11.2  1953  Hamahara                        Enokawa                       
      6003    34.996   132.796       155.6       156.8        -0.0        -1.2     589     661        39.7  1949  Kobo                            Kannosegawa                   
      6004    34.979   133.529       138.4       136.1         0.0         2.3     632     662        15.6  1955  Osakabegawa                     Osakabegawa                   
      6005    34.962   133.454       225.9       225.4         0.0         0.5     627     662        17.4  1964  Komoto                          Nishikawa                     
      6006    34.912   133.854      1139.8      1138.8         0.0         1.0     651     665        57.4  1983  Asahikawa                       Asahigawa                     
      6007    34.904   132.304       165.1       164.8         0.0         0.2     559     666        26.8  1976  Yato                            Yatogawa                      
      6009    34.821   133.404       630.2       629.7         0.0         0.6     625     671       127.5  1968  NoName                          NoName                        
      6010    34.821   134.871         8.4         8.1         0.0         0.3     713     671        11.1  1981  Gongendaiichi                   Gongengawa                    
      6011    34.812   132.146        90.5        89.0         0.0         1.5     549     672        10.2  1961  Sufugawa                        Sufugawa                      
      6012    34.796   134.888      1694.4      1682.6         0.0        11.7     713     673         2.0  1988  Kakogawaozeki                   Kakogawa                      
      6013    34.796   134.854         1.9         1.7         0.1         0.2     712     673         9.4  1966  Heisodaiichi                    Kakogawa                      
      6015    34.696   132.313       124.9       125.6        -0.0        -0.6     560     679        31.1  1959  Odomari                         Takiyamagawa                  
