        ID       lat       lon   area_CaMa  area_GRanD       error        diff      ix      iy     cap_mcm  year  damname                         rivname
      5981    35.404   133.054      -888.0         0.6        -8.0      -888.0     600     630         1.4  1956  Otani                           Otanigawa                     
      5987    35.237   134.888      -888.0         0.9        -8.0      -888.0     610     643        33.4  1974  Kurokawa                        Kurokawa                      
      5989    35.229   133.538      -888.0         1.0        -8.0      -888.0     710     646         7.7  1986  Doyo                            Doyogawa                      
      6014    34.737   134.154      -888.0         1.8        -8.0      -888.0     712     673         0.6  1661  Ogaike                          NoName                        
      6066    34.062   131.271      -888.0         0.9        -8.0      -888.0     477     716         4.5  1978  Ubemaruyama                     Yakushigawa                   
      6077    33.829   130.529      -888.0         1.0        -8.0      -888.0     610     728         1.2  1983  Tare                            Tsurikawa                     
      6084    33.746   133.371      -888.0         0.8        -8.0      -888.0     633     735         5.8  1982  Inamura                         Sedogawa                      
      6093    33.596   130.646      -888.0         0.7        -8.0      -888.0     630     744         4.2  1971  Kuboshiro                       Kubokawa                      
      6103    33.437   131.446      -888.0         0.7        -8.0      -888.0     444     754         4.9  1969  Hisashi                         Yamakuragawa                  
      6126    32.746   130.246      -888.0         1.1        -8.0      -888.0     517     793         1.9  1968  Bessho                          Chijiwagawa                   
      6276    40.904   140.988      -888.0         1.0        -8.0      -888.0    1076     250         0.9  1942  Tanosawatameike                 Shimizugawa                   
      6313    39.279   140.646      -888.0         2.1        -8.0      -888.0    1023     403         3.6  1960  Ainono                          Yokotegawa                    
      6323    38.629   140.963      -888.0         2.5        -8.0      -888.0    1089     438         2.9  1995  Kejonuma                        Tajirigawa                    
      6359    37.379   140.254      -888.0         1.0        -8.0      -888.0    1021     514         8.7  1982  Fukadachoseichi                 Tadanogawa                    
      6367    37.304   140.196      -888.0         1.0        -8.0      -888.0     978     522         1.5  1948  Fujimuna                        Ebanagawa                     
      6397    36.779   139.071      -888.0         1.7        -8.0      -888.0     962     552        14.8  1981  Tanbara                         Hocchigawa                    
      6426    36.387   138.946      -888.0         2.2        -8.0      -888.0     819     577         1.3  1950  Narusawa                        Harunashirakawa               
      6473    35.762   139.421      -888.0         2.1        -8.0      -888.0     985     614         3.3  1924  Murayamakami                    Tamagawa                      
      6491    35.487   140.129      -888.0         1.7        -8.0      -888.0     872     629         4.5  1964  Yamakura                        Yamakuragawa                  
      6495    35.437   137.196      -888.0         1.0        -8.0      -888.0     847     633         2.0  1977  Maesawa                         Maesawagawa                   
      6524    35.037   136.621      -888.0         1.3        -8.0      -888.0     801     656         3.8  1966  Isaka                           NoName                        
      6546    34.862   137.329      -888.0         0.7        -8.0      -888.0     738     668         0.8  1968  Komanba                         Toyokawa                      
      6551    34.762   136.196      -888.0         1.6        -8.0      -888.0     725     674         1.3  1970  Midoro                          Hinogkawa                     
      6553    34.712   136.413      -888.0         1.9        -8.0      -888.0     781     676         1.5  1929  Katada                          Naganogawa                    
      6563    34.462   135.479      -888.0         1.1        -8.0      -888.0     813     693         3.7  1936  Komyoike                        Makiogawa                     
