        ID       lat       lon  area_Input   area_CaMa       error        diff    Type     ix1   iy1     ix2   iy2       area1       area2
         1    44.897   141.923      115.46      116.40        0.01        0.95       0    1136    67    -999  -999       116.4      -999.0
         2    42.849   141.501      118.59      118.93        0.00        0.35       0    1110   190    -999  -999       118.9      -999.0
         3    42.780   142.217      720.54      721.17        0.00        0.63       0    1154   194    -999  -999       721.2      -999.0
         4    42.772   142.147      196.98      198.58        0.01        1.60       0    1149   194    -999  -999       198.6      -999.0
         5    42.723   142.301      725.23      725.52        0.00        0.29       0    1159   197    -999  -999       725.5      -999.0
         6    42.673   142.184     1183.85     1183.84       -0.00       -0.01       0    1152   200    -999  -999      1183.8      -999.0
         7    43.055   144.298      120.17      120.19        0.00        0.02       0    1278   177    -999  -999       120.2      -999.0
         8    43.041   144.452       21.11       24.70        0.17        3.59       0    1288   178    -999  -999        24.7      -999.0
         9    45.398   141.855       24.68       25.67        0.04        0.98       0    1132    37    -999  -999        25.7      -999.0
        10    37.928   140.419      161.18      161.11       -0.00       -0.07       0    1045   485    -999  -999       161.1      -999.0
        11    38.897   141.269       96.72       96.74        0.00        0.02       0    1097   427    -999  -999        96.7      -999.0
        12    38.897   141.269       96.72       96.74        0.00        0.02       0    1097   427    -999  -999        96.7      -999.0
        13    38.931   141.249      364.39      374.21        0.03        9.81       0    1095   424    -999  -999       374.2      -999.0
        14    38.613   141.137      197.48      197.51        0.00        0.03       0    1088   443    -999  -999       197.5      -999.0
        15    39.665   140.973      129.36      126.43       -0.02       -2.93       1    1078   381    -999  -999       126.4      -999.0
        16    40.537   140.263      170.75      172.37        0.01        1.62       0    1036   328    -999  -999       172.4      -999.0
        17    38.453   140.031      229.49      230.75        0.01        1.26       0    1022   453    -999  -999       230.7      -999.0
        18    35.947   140.453      188.83      189.06        0.00        0.23       0    1048   604    -999  -999       189.1      -999.0
        19    35.862   140.319      150.98      150.49       -0.00       -0.49       1    1039   610    -999  -999       150.5      -999.0
        20    36.174   139.058      375.93      372.79       -0.01       -3.14       0     964   591    -999  -999       372.8      -999.0
        21    35.835   140.697        1.63        2.02        0.24        0.39       0    1062   611    -999  -999         2.0      -999.0
        22    35.917   140.452    13003.75    13084.66        0.01       80.91       0    1048   605    -999  -999     13084.7      -999.0
        23    35.917   140.452    13003.75    13084.66        0.01       80.91       0    1048   605    -999  -999     13084.7      -999.0
        24    35.927   139.938       13.71       15.26        0.11        1.56       0    1017   605    -999  -999        15.3      -999.0
        25    35.823   139.898       28.72       29.12        0.01        0.39       0    1014   611    -999  -999        29.1      -999.0
        26    35.822   139.890       81.41       83.10        0.02        1.70       0    1014   612    -999  -999        83.1      -999.0
        27    35.823   139.898       28.72       29.12        0.01        0.39       0    1014   611    -999  -999        29.1      -999.0
        28    35.817   139.872        2.53        1.99       -0.22       -0.54       1    1012   611    -999  -999         2.0      -999.0
        29    35.817   139.884       43.45       48.06        0.11        4.61       0    1013   613    -999  -999        48.1      -999.0
        30    35.799   139.895       33.97       29.12       -0.14       -4.85       1    1014   611    -999  -999        29.1      -999.0
        31    35.738   139.901      137.38      138.48        0.01        1.10       0    1014   617    -999  -999       138.5      -999.0
        32    35.795   139.848       51.26       51.22       -0.00       -0.04       0    1012   613    -999  -999        51.2      -999.0
        33    35.797   139.848      673.52      673.52       -0.00       -0.00       0    1012   612    -999  -999       673.5      -999.0
        34    35.809   139.823      177.59      176.05       -0.01       -1.54       1    1010   611    -999  -999       176.0      -999.0
        35    35.751   139.820      237.73      237.75        0.00        0.02       0    1010   615    -999  -999       237.8      -999.0
        36    35.751   139.820      237.73      237.75        0.00        0.02       0    1010   615    -999  -999       237.8      -999.0
        37    35.809   139.822       24.50       21.71       -0.11       -2.79       1    1009   612    -999  -999        21.7      -999.0
        38    36.623   139.038      989.59      991.31        0.00        1.72       0     963   563    -999  -999       991.3      -999.0
        39    36.880   139.465       71.65       73.94        0.03        2.29       0     988   548    -999  -999        73.9      -999.0
        40    36.916   139.522       27.14       28.41        0.05        1.27       0     992   545    -999  -999        28.4      -999.0
        41    36.874   139.635      272.31      272.23       -0.00       -0.08       0     998   548    -999  -999       272.2      -999.0
        42    36.894   139.648       19.67       20.48        0.04        0.81       0     999   547    -999  -999        20.5      -999.0
        43    36.945   139.630       83.70       82.36       -0.02       -1.34       1     998   543    -999  -999        82.4      -999.0
        44    36.965   139.687      132.79      133.23        0.00        0.45       0    1001   542    -999  -999       133.2      -999.0
