        ID       lat       lon        area    Type     ix1   iy1     ix2   iy2  elv_outlet   elv_gauge    elv_upst  dst_outlet    dst_upst
         1    44.074   142.740       140.5       1    1185   117    1184   117      319.77      319.77      333.35        0.00        2.28
         2    44.109   142.598       398.9       1    1177   114    1178   114      204.59      204.59      211.33        0.00        2.33
         3    44.119   142.534       549.4       1    1173   113    1173   114      175.58      178.94      180.01        0.90        0.33
         4    44.191   142.416         1.3       3    1164   108    -999  -999      121.52      133.20     -999.00        3.85     -999.00
         5    44.297   142.365      1430.4       1    1162   103    1162   104       98.15      100.92      102.69        1.14        3.51
         6    44.360   142.442      1725.9       1    1167    99    1167   100       86.33       87.90       87.90        1.96        1.85
         7    44.481   142.335      2901.6       1    1160    91    1160    92       63.50       65.42       66.57        3.38        0.66
         8    44.481   142.335      2901.6       1    1160    91    1160    92       63.50       65.42       66.57        3.38        0.66
         9    44.594   142.302      3219.2       1    1159    85    1160    86       51.14       51.85       52.40        0.99        1.91
        10    44.705   142.267      3411.1       1    1157    78    1156    79       34.00       34.61       35.41        0.93        0.57
        11    44.809   142.070      4061.5       1    1145    72    1145    73        7.34        8.95        8.95        1.49        1.91
        12    44.898   142.006      4178.2       1    1142    67    1143    68        7.25        7.25        7.25        0.66        2.27
        13    44.927   141.878        19.2       2    1133    65    1133    66        1.50        1.92        3.75        1.26        0.46
        14    44.997   141.815         8.8       2    1129    61    1130    60        1.05        2.08        2.80        1.23        1.85
        15    44.892   141.741        16.5       2    1124    66    1125    68        0.00        0.10        1.05        1.36        1.91
        16    45.003   141.710       589.7       1    1123    60    1122    59        0.10        0.10        0.10        0.90        1.85
        17    45.217   141.722       185.2       1    1124    47    1125    47        8.22        8.22        9.13        0.00        0.33
        18    44.885   141.913        92.7       1    1135    67    1136    68        4.21        6.28        7.37        1.82        0.57
        19    44.831   141.933         3.0       3    1138    70    -999  -999       31.27       31.27     -999.00        0.00     -999.00
        20    45.010   142.078        92.7       1    1145    60    1145    59       22.72       24.17       26.04        0.79        0.93
        21    44.955   142.055       199.7       1    1144    63    1145    62        9.72       11.02       13.89        1.14        0.98
        22    44.919   142.017       259.0       1    1142    65    1143    64        6.80        6.80        8.08        0.00        4.38
        23    44.695   142.038       289.0       1    1143    79    1143    80       30.47       32.33       33.98        1.03        1.14
        24    44.301   142.649       316.2       1    1179   102    1180   103      132.14      139.67      140.49        1.90        0.57
        25    44.319   142.583       623.9       1    1175   101    1176   101      116.46      117.77      117.80        1.13        0.33
        26    44.333   142.485       686.4       1    1170   101    1171   100      100.05      100.78      102.97        0.33        1.33
        27    44.333   142.485       686.4       1    1170   101    1171   100      100.05      100.78      102.97        0.33        1.33
