        ID       lat       lon   area_CaMa  area_GRanD       error        diff      ix      iy     cap_mcm  year  damname                         rivname
      5835    44.108   129.675      -999.0       503.1      -999.0      -999.0    -999    -999       119.0  1971                    Huashouchuan                          HamaHe
      5836    43.958   125.742      -999.0      4971.2      -999.0      -999.0    -999    -999      1502.1  1965                    Shitoukoumen                         YinmaHe
      5837    43.825   123.908      -999.0         3.2      -999.0      -999.0    -999    -999       105.0  1998                        Xiaoshan                     SongjiangHe
      5838    43.725   126.692      -999.0     42915.0      -999.0      -999.0    -999    -999      9170.0  1941                         Fengman                    SonghuaJiang
      5841    43.192   124.792      -999.0      3870.8      -999.0      -999.0    -999    -999      1800.0  1967                      Erlongshan                      DongliaoHe
      5842    42.942   127.142      -999.0     20141.9      -999.0      -999.0    -999    -999       149.2  1988                         Hongshi                    SonghuaJiang
      5843    42.892   124.125      -999.0       102.3      -999.0      -999.0    -999    -999        10.0  1971                        Hongshan                    Trib.SutaiHe
      5844    42.825   124.058      -999.0        74.7      -999.0      -999.0    -999    -999        10.0  1960                    Hongdingshan                    Trib.SutaiHe
      5846    42.742   124.308      -999.0       625.3      -999.0      -999.0    -999    -999       206.0  1962                      Nanchengzi                            YeHe
      5847    42.775   123.342      -999.0       893.2      -999.0      -999.0    -999    -999       100.0  1958                        Wolonghu                  Trib.XiushuiHe
      5848    42.725   129.092      -999.0       301.8      -999.0      -999.0    -999    -999        41.0  1978                          Yadong                        ToudaoHe
      5849    42.725   127.225      -999.0     18833.5      -999.0      -999.0    -999    -999      5320.0  1986                         Baishan                    SonghuaJiang
      5852    42.642   129.408      -999.0       149.8      -999.0      -999.0    -999    -999        19.0  1984                           Daxin                        HailanHe
      5853    42.675   123.442      -999.0      1683.9      -999.0      -999.0    -999    -999        30.0  1944                        Santaizi                          NoName
      5855    42.542   124.175      -999.0      2379.9      -999.0      -999.0    -999    -999       971.0  1964                          Qinghe                          QingHe
      5856    42.525   123.008      -999.0        84.7      -999.0      -999.0    -999    -999        10.0  1966                      Jianshanzi                  Trib.XiushuiHe
      5857    42.508   123.542      -999.0       150.1      -999.0      -999.0    -999    -999        10.0  1956                        Paoziyan                          NoName
      5860    42.375   123.358      -999.0       240.7      -999.0      -999.0    -999    -999        10.0  1958                        Shangtun                          NoName
      5862    42.308   123.258      -999.0        45.3      -999.0      -999.0    -999    -999        10.0  1959                        Niuqibao                          NoName
      5864    42.258   123.992      -999.0      1311.1      -999.0      -999.0    -999    -999       650.0  1974                          Chaihe                          ChaiHe
      5865    42.158   125.008      -999.0       136.5      -999.0      -999.0    -999    -999        21.4  1970                       Xiaogujia                      Trib.HunHe
      5867    42.142   124.225      -999.0       367.1      -999.0      -999.0    -999    -999       210.0  1976                      Zhenziling                           XunHe
      5868    42.075   129.492      -999.0       225.0      -999.0      -999.0    -999    -999        77.5  1943                          Mayang                      Songchonsu
      5870    41.958   125.142      -999.0        83.9      -999.0      -999.0    -999    -999        14.9  1961                          Houlou                      Trib.HunHe
      5871    41.925   123.642      -999.0       135.6      -999.0      -999.0    -999    -999        10.0  1977                       Qipanshan                      Trib.HunHe
      5872    41.925   123.792      -999.0        50.7      -999.0      -999.0    -999    -999         7.0   -99                         Shangsi                      Trib.HunHe
      5873    41.892   124.092      -999.0      5461.8      -999.0      -999.0    -999    -999      2187.0  1964                       Dahuofang                           HunHe
      5876    41.775   123.808      -999.0        15.6      -999.0      -999.0    -999    -999         9.3   -99                         Liushan                      Trib.HunHe
      5877    41.692   125.142      -999.0        76.4      -999.0      -999.0    -999    -999        40.0  1976                       Hongsheng                      Trib.HunHe
      5879    41.658   124.225      -999.0       142.8      -999.0      -999.0    -999    -999        20.0  1960                          Yaobao                      Trib.HunHe
      5880    41.658   123.892      -999.0        58.9      -999.0      -999.0    -999    -999        12.4  1965                        Yingshou                      Trib.HunHe
      5881    41.492   123.942      -999.0        77.4      -999.0      -999.0    -999    -999        30.0  1972                       Shandaohe                       XiaojiaHe
      5882    41.392   126.508      -999.0     24185.2      -999.0      -999.0    -999    -999      3911.0  1971                         Yunfeng                       YaluJiang
      5883    41.308   124.158      -999.0      2826.2      -999.0      -999.0    -999    -999      2170.0  1995                       Guanyinge                         TaiziHe
      5884    41.292   125.392      -999.0     10482.7      -999.0      -999.0    -999    -999      3450.0  1972                         Huanren                        HunJiang
      5885    41.225   123.525      -999.0      6213.0      -999.0      -999.0    -999    -999       791.0  1972                          Shenwo                         TaiziHe
      5886    41.125   124.142      -999.0       176.5      -999.0      -999.0    -999    -999        81.0  1988                     Guanmenshan                      XiaotangHe
      5887    41.108   123.358      -999.0      1243.1      -999.0      -999.0    -999    -999       723.0  1969                          Tanghe                          TangHe
      5888    41.092   125.308      -999.0     12358.1      -999.0      -999.0    -999    -999       123.0  1974                     Huilongshan                        HunJiang
      5890    40.958   125.275      -999.0     12888.9      -999.0      -999.0    -999    -999       289.0  1909                     Taipingshao                        HunJiang
      5892    40.908   125.975      -999.0     31842.8      -999.0      -999.0    -999    -999       630.0  1986                       Laohushao                       YaluJiang
      5894    40.825   128.308      -999.0      1207.0      -999.0      -999.0    -999    -999        43.2  1944                      Sachopyong                  HwangsuwonGang
      5897    40.725   128.275      -999.0       798.4      -999.0      -999.0    -999    -999       108.0  1944                       Naejungri                  HwangsuwonGang
      5898    40.708   128.125      -999.0       523.6      -999.0      -999.0    -999    -999       580.0  1959                      Hwangsuwon                      Hwangsuwon
      5899    40.658   127.525      -999.0       780.7      -999.0      -999.0    -999    -999       787.0  1934                           Pujon                       Pujongang
      5900    40.558   127.242      -999.0      1534.5      -999.0      -999.0    -999    -999      1259.0  1938                        Changjin                    Changjingang
      5901    40.475   125.825      -999.0      1474.8      -999.0      -999.0    -999    -999      3200.0   -99                         Songwon                    ChungmanGang
      5902    40.458   124.958      -999.0     53136.6      -999.0      -999.0    -999    -999     14700.0  1943                        Shuifeng                       YaluJiang
      5904    40.375   128.542      -999.0        37.9      -999.0      -999.0    -999    -999         3.5  1962                           Munam                      Namdaechon
      5905    40.358   124.742      -999.0     53838.5      -999.0      -999.0    -999    -999       270.0  1979                      Taipingwan                       YaluJiang
      5906    40.158   123.925      -999.0       260.2      -999.0      -999.0    -999    -999       190.0  1977                         Tumenzi                         TuniuHe
      5907    40.075   124.825      -999.0       537.8      -999.0      -999.0    -999    -999        44.4  1928                           Taeha                      Samgyochon
      5908    40.042   123.492      -999.0       107.2      -999.0      -999.0    -999    -999        51.0  1972                      Luoquanbei                      XiaoyangHe
      5909    40.025   124.892      -999.0       431.6      -999.0      -999.0    -999    -999       380.8  1973                         Manpung                      Samgyochon
      5910    39.975   125.525      -999.0      1903.4      -999.0      -999.0    -999    -999      2900.0   -99                         Mapyong                    Daeryonggang
      5911    39.942   125.175      -999.0        46.1      -999.0      -999.0    -999    -999        16.2  1932                         Pungsan                        Unpochon
      5912    39.875   124.858      -999.0        68.4      -999.0      -999.0    -999    -999        92.3  1973                         Maebong                       Ingokchon
      5914    39.792   125.225      -999.0        46.2      -999.0      -999.0    -999    -999        18.3  1959                       Pongmyong                     Danchongang
      5915    39.725   125.508      -999.0        15.6      -999.0      -999.0    -999    -999       140.0  1958                         Taesong                     Wondangchon
      5916    39.658   125.808      -999.0       129.4      -999.0      -999.0    -999    -999       125.8  1956                         Yonpung                       Hoejuchon
      5917    39.375   125.842      -999.0        39.1      -999.0      -999.0    -999    -999        14.7  1962                           Chamo                       Chamochon
      5918    39.175   125.475      -999.0        12.6      -999.0      -999.0    -999    -999        40.4  1976                        Pyongwon                         Hanchon
      5919    39.108   125.875      -999.0        16.1      -999.0      -999.0    -999    -999         5.5  1967                      Changsuwon                      Samsokchon
      5920    39.108   125.458      -999.0        13.7      -999.0      -999.0    -999    -999        14.6  1959                        Chwayong                       Sampochon
      5921    38.992   125.408      -999.0        32.4      -999.0      -999.0    -999    -999        23.5  1965                         Haksong                     Haksongchon
      5922    38.892   127.458      -999.0         7.5      -999.0      -999.0    -999    -999        18.6  1931                          Puchon                      Namdaechon
      5923    38.658   126.092      -999.0       345.3      -999.0      -999.0    -999    -999       142.8  1974                          Yontan                     Hwangjuchon
      5924    38.642   126.625      -999.0       111.5      -999.0      -999.0    -999    -999        51.0  1958                          Singok                      Chisokchon
      5925    38.608   125.408      -999.0        53.0      -999.0      -999.0    -999    -999        27.0  1934                         Wolchon                     Sanchonchon
      5926    38.592   125.458      -999.0        67.9      -999.0      -999.0    -999    -999        15.9  1960                          Unbong                   ChongchonChon
      5927    38.458   127.408      -999.0        53.2      -999.0      -999.0    -999    -999         7.9  1943                          Hasong                      Hasongchon
      5928    38.458   125.375      -999.0        68.8      -999.0      -999.0    -999    -999        38.0  1933                           Kuwol                     Wonjongchon
      5929    38.325   125.475      -999.0        31.8      -999.0      -999.0    -999    -999         7.5  1938                           Sowon                      Pujongchon
      5930    38.308   127.242      -999.0        20.5      -999.0      -999.0    -999    -999         4.2  1977                        Dongsong                          Daegyo
      5931    38.292   127.192      -999.0        49.7      -999.0      -999.0    -999    -999         1.8  1971                        Sanmyong                          Daegyo
      5932    38.275   127.292      -999.0        27.3      -999.0      -999.0    -999    -999        15.6  1976                           Togyo                          Hantan
      5933    38.275   128.492      -999.0        27.1      -999.0      -999.0    -999    -999         0.6  1977                           Munam                          Chonan
      5934    38.208   125.792      -999.0       322.1      -999.0      -999.0    -999    -999       182.0  1959                         Changsu                   Chaeryonggang
      5935    38.108   127.775      -999.0      4080.0      -999.0      -999.0    -999    -999      1020.0  1944                         Hwachon                        NorthHan
      5936    38.058   125.358      -999.0        56.5      -999.0      -999.0    -999    -999        14.0  1978                          Sudong                      Sudongchon
      5937    38.008   125.975      -999.0       277.7      -999.0      -999.0    -999    -999       148.0  1934                            Kuam                     Hoeyangchon
      5938    37.975   127.675      -999.0      4860.6      -999.0      -999.0    -999    -999       150.0  1965                       Choonchon                        NorthHan
      5939    37.958   125.542      -999.0        16.8      -999.0      -999.0    -999    -999        19.1  1970                       Kangryong                  KwangmyongChon
      5940    37.942   127.808      -999.0      2694.8      -999.0      -999.0    -999    -999      2900.0  1973                      Soyanggang                          Soyang
      5941    37.842   127.675      -999.0      7821.2      -999.0      -999.0    -999    -999        57.5  1967                            Uiam                        NorthHan
      5942    37.825   126.858      -999.0         9.0      -999.0      -999.0    -999    -999         9.8  1960                         Aeryong                        Yeonpung
      5943    37.725   127.425      -999.0     10088.2      -999.0      -999.0    -999    -999       185.5  1984                       Chongyong                       Chongyong
      5944    37.608   128.708      -999.0       147.9      -999.0      -999.0    -999    -999        51.4   -99                            Toam                            Song
      5945    37.542   128.025      -999.0       271.9      -999.0      -999.0    -999    -999        86.9  2005                       Hoengsong                             Kye
      5946    37.525   127.275      -999.0     23708.7      -999.0      -999.0    -999    -999       244.0  1974                         Paldang                             Han
      5947    37.108   127.192      -999.0        94.4      -999.0      -999.0    -999    -999        17.2  1972                           Idong                           Jinwi
      5949    37.008   127.992      -999.0      6640.4      -999.0      -999.0    -999    -999      2750.0  1986                         Chungju                          Namhan
      5950    36.975   127.608      -999.0         9.9      -999.0      -999.0    -999    -999         3.3   -99                          Kumsok                             Ung
      5951    36.975   127.625      -999.0        12.4      -999.0      -999.0    -999    -999         3.4  1981                          Mugeuk                        Trib.Han
      5952    36.975   127.608      -999.0         9.9      -999.0      -999.0    -999    -999         3.4   -99                         Yonggye                             Ung
      5953    36.975   127.308      -999.0        15.1      -999.0      -999.0    -999    -999         3.5  1975                           Madun                         Woldong
      5954    36.892   127.575      -999.0         8.6      -999.0      -999.0    -999    -999         1.2   -99                       Maengdong                           Kunja
      5955    36.875   126.975      -999.0         8.6      -999.0      -999.0    -999    -999         1.1  1975                         Songnae                          NoName
      5956    36.858   127.575      -999.0        77.2      -999.0      -999.0    -999    -999         8.3  1988                          Wonnam                        Chopyung
      5957    36.792   126.942      -999.0         5.4      -999.0      -999.0    -999    -999         1.9  1978                        Sinchang                        Hongchon
      5958    36.775   126.975      -999.0        23.2      -999.0      -999.0    -999    -999         3.0  1928                           Masan                            Omok
      5959    36.642   126.808      -999.0       372.7      -999.0      -999.0    -999    -999        46.1  1964                          Yedang                      Trib.Muhan
      5960    36.608   127.558      -999.0         5.7      -999.0      -999.0    -999    -999         0.9  1978                          Hangye                          Hangye
      5961    36.592   128.775      -999.0      1588.2      -999.0      -999.0    -999    -999      1248.0  1977                          AnDong                         Nakdong
