          ID   lat_alloc   lon_alloc  area_alloc     lat_ori     lon_ori    area_ori   area_diff  area_error loc_km_diff alloc_score      ix      ix
     1104150      36.021       0.271   46143.969      36.021       0.271   46143.969       0.000       0.000       0.023       0.005   21633    6478
     1104450      36.671       2.821    1887.106      36.671       2.821    1887.106       0.000       0.000       0.023       0.005   21939    6400
     1104600      36.421       4.604    4043.194      36.421       4.604    4043.194      -0.000      -0.000       0.024       0.005   22153    6430
     1104800      36.454       7.721     550.910      36.454       7.721     550.910      -0.000      -0.000       0.024       0.005   22527    6426
     1107700      35.146      -1.446    7418.153      35.146      -1.446    7418.153       0.000       0.000       0.024       0.005   21427    6583
     1107800      35.079      -1.221    1243.951      35.079      -1.221    1243.951      -0.000      -0.000       0.024       0.005   21454    6591
     1112100      14.437     -11.279   97304.695      14.437     -11.279   97304.695       0.000       0.000       0.057       0.011   20247    9068
     1112110       0.000       0.000       0.000       0.000       0.000       0.000    -999.000    -999.000    -999.000     999.000    -999    -999
     1112200      13.187     -11.496   14594.442      13.187     -11.496   14594.442       0.000       0.000       0.058       0.012   20221    9218
     1112300      13.862     -11.062  143088.172      13.862     -11.062  143088.172       0.000       0.000       0.076       0.015   20273    9137
     1112320      13.429      -9.312    4842.400      13.429      -9.312    4842.400       0.000       0.000       0.056       0.011   20483    9189
     1112330       0.000       0.000       0.000       0.000       0.000       0.000    -999.000    -999.000    -999.000     999.000    -999    -999
     1112340      13.446      -9.887   16480.662      13.446      -9.887   16480.662       0.000       0.000       0.057       0.011   20414    9187
     1112350      13.196     -10.454   28181.164      13.196     -10.454   28181.164       0.000       0.000       0.026       0.005   20346    9217
     1112400      12.412     -11.179     564.265      12.412     -11.179     564.265       0.000       0.000       0.058       0.012   20259    9311
     1112480      12.187     -10.179    2192.761      12.187     -10.179    2192.761       0.000       0.000       0.057       0.011   20379    9338
     1112500      12.221     -10.246    2338.589      12.221     -10.246    2338.589      -0.000      -0.000       0.027       0.005   20371    9334
     1134020      11.146      -8.554   23587.348      11.146      -8.554   23587.348       0.000       0.000       0.025       0.005   20574    9463
     1134030      11.679      -8.662   70729.758      11.679      -8.662   70729.758       0.000       0.000       0.056       0.011   20561    9399
     1134040      11.971      -8.229   33111.254      11.971      -8.229   33111.254       0.000       0.000       0.025       0.005   20613    9364
     1134050      11.579      -8.179   31904.900      11.579      -8.179   31904.900       0.000       0.000       0.025       0.005   20619    9411
     1134060      11.137      -8.196    4321.299      11.137      -8.196    4321.299       0.000       0.000       0.058       0.012   20617    9464
     1134080      10.796      -7.671    8420.520      10.796      -7.671    8420.520       0.000       0.000       0.027       0.005   20680    9505
     1134100      12.871      -7.546  117949.930      12.871      -7.546  117949.930       0.000       0.000       0.027       0.005   20695    9256
     1134110      11.396      -7.446   14920.026      11.396      -7.446   14920.026       0.000       0.000       0.026       0.005   20707    9433
     1134150      11.071      -6.846    3104.583      11.071      -6.846    3104.583       0.000       0.000       0.027       0.005   20779    9472
     1134200      12.521      -6.796   31778.953      12.521      -6.796   31778.953       0.000       0.000       0.027       0.005   20785    9298
     1134220      11.421      -6.571   31042.438      11.421      -6.571   31042.438       0.000       0.000       0.026       0.005   20812    9430
     1134250      13.721      -6.054  131764.156      13.721      -6.054  131764.156       0.000       0.000       0.025       0.005   20874    9154
     1134300      13.212      -5.904   99876.906      13.212      -5.904   99876.906       0.000       0.000       0.057       0.011   20892    9215
     1134310       0.000       0.000       0.000       0.000       0.000       0.000    -999.000    -999.000    -999.000     999.000    -999    -999
     1134320       0.000       0.000       0.000       0.000       0.000       0.000    -999.000    -999.000    -999.000     999.000    -999    -999
     1134350      11.679      -5.587    3675.760      11.679      -5.587    3675.760      -0.000      -0.000       0.057       0.011   20930    9399
     1134400      13.954      -5.362  134226.766      13.954      -5.362  134226.766       0.000       0.000       0.056       0.011   20957    9126
     1134420       0.000       0.000       0.000       0.000       0.000       0.000    -999.000    -999.000    -999.000     999.000    -999    -999
     1134450      13.379      -4.921  111677.148      13.379      -4.921  111677.148       0.000       0.000       0.027       0.005   21010    9195
     1134460      14.146      -4.979  136995.828      14.146      -4.979  136995.828       0.000       0.000       0.025       0.005   21003    9103
     1134480      14.021      -4.246  130175.844      14.021      -4.246  130175.844       0.000       0.000       0.027       0.005   21091    9118
     1134500      14.529      -4.204  278325.406      14.529      -4.204  278325.406       0.000       0.000       0.025       0.005   21096    9057
     1134505       0.000       0.000       0.000       0.000       0.000       0.000    -999.000    -999.000    -999.000     999.000    -999    -999
     1134600       0.000       0.000       0.000       0.000       0.000       0.000    -999.000    -999.000    -999.000     999.000    -999    -999
     1134620       0.000       0.000       0.000       0.000       0.000       0.000    -999.000    -999.000    -999.000     999.000    -999    -999
     1134630       0.000       0.000       0.000       0.000       0.000       0.000    -999.000    -999.000    -999.000     999.000    -999    -999
     1134650       0.000       0.000       0.000       0.000       0.000       0.000    -999.000    -999.000    -999.000     999.000    -999    -999
     1134700      16.271      -3.379  345824.250      16.271      -3.379  345824.250       0.000       0.000       0.025       0.005   21195    8848
     1134730      16.654      -3.029  348695.844      16.654      -3.029  348695.844       0.000       0.000       0.025       0.005   21237    8802
     1134850      16.938      -0.587  375411.250      16.938      -0.587  375411.250       0.000       0.000       0.076       0.015   21530    8768
     1134900      15.671       0.496  489290.312      15.671       0.496  489290.312       0.000       0.000       0.025       0.005   21660    8920
     1147010      -4.288      15.296 3605689.000      -4.288      15.296 3605689.000       0.000       0.000       0.058       0.012   23436   11315
     1147011      -0.346      25.454  931908.812      -0.346      25.454  931908.812       0.000       0.000       0.026       0.005   24655   10842
     1147012      -2.946      25.929  785003.000      -2.946      25.929  785003.000       0.000       0.000       0.027       0.005   24712   11154
     1147013      -4.279      15.329 3604575.250      -4.279      15.329 3604575.250       0.000       0.000       0.028       0.006   23440   11314
     1147200      -3.213      17.363  744483.000      -3.213      17.363  744483.000       0.000       0.000       0.078       0.016   23684   11186
     1147201      -4.338      20.571  240173.172      -4.338      20.571  240173.172       0.000       0.000       0.058       0.012   24069   11321
     1159100     -28.754      17.721  788485.688     -28.754      17.721  788485.688       0.000       0.000       0.025       0.005   23727   14251
     1159105     -28.079      16.896  884673.562     -28.079      16.896  884673.562       0.000       0.000       0.024       0.005   23628   14170
     1159110     -31.804      20.354    1505.193     -31.804      20.354    1505.193       0.000       0.000       0.025       0.005   24043   14617
     1159120     -31.813      20.579    1684.073     -31.813      20.579    1684.073       0.000       0.000       0.057       0.011   24070   14618
     1159130     -30.471      20.521   37829.930     -30.471      20.521   37829.930       0.000       0.000       0.023       0.005   24063   14457
     1159131     -31.363      21.321   13159.003     -31.363      21.321   13159.003       0.000       0.000       0.057       0.011   24159   14564
     1159300     -28.463      21.246  354290.531     -28.463      21.246  354290.531       0.000       0.000       0.056       0.011   24150   14216
     1159301     -29.654      22.746  330382.750     -29.654      22.746  330382.750       0.000       0.000       0.024       0.005   24330   14359
     1159302     -29.163      23.696   99239.883     -29.163      23.696   99239.883       0.000       0.000       0.057       0.011   24444   14300
     1159303     -29.813      24.438   91699.000     -29.813      24.438   91699.000       0.000       0.000       0.072       0.014   24533   14378
     1159310     -29.146      26.321     339.324     -29.146      26.321     339.324       0.000       0.000       0.023       0.005   24759   14298
     1159320     -29.654      25.971    2361.112     -29.654      25.971    2361.112      -0.000      -0.000       0.025       0.005   24717   14359
     1159321     -29.813      26.213     591.606     -29.813      26.213     591.606      -0.000      -0.000       0.073       0.015   24746   14378
     1159325     -29.904      26.213     196.387     -29.904      26.213     196.387       0.000       0.000       0.052       0.010   24746   14389
     1159400     -27.571      24.746   10703.677     -27.571      24.746   10703.677       0.000       0.000       0.023       0.005   24570   14109
     1159410     -27.838      25.904   17917.879     -27.838      25.904   17917.879       0.000       0.000       0.057       0.011   24709   14141
     1159500     -28.496      24.604  119082.602     -28.496      24.604  119082.602       0.000       0.000       0.024       0.005   24553   14220
     1159510     -27.396      26.613    7755.738     -27.396      26.613    7755.738       0.000       0.000       0.051       0.010   24794   14088
     1159511     -27.396      26.629    7743.239     -27.396      26.629    7743.239       0.000       0.000       0.026       0.005   24796   14088
     1159512     -27.938      27.996     854.088     -27.938      27.996     854.088      -0.000      -0.000       0.056       0.011   24960   14153
     1159520     -27.354      27.288     914.286     -27.354      27.288     914.286      -0.000      -0.000       0.052       0.010   24875   14083
     1159530     -27.371      26.354     903.626     -27.371      26.354     903.626       0.000       0.000       0.024       0.005   24763   14085
     1159540     -27.563      26.229    1413.273     -27.563      26.229    1413.273       0.000       0.000       0.057       0.011   24748   14108
     1159600     -31.029      26.329    2174.907     -31.029      26.329    2174.907      -0.000      -0.000       0.026       0.005   24760   14524
