          ID   lat_alloc   lon_alloc  area_alloc     lat_ori     lon_ori loc_km_diff      ix      ix
           1      44.074     142.740     140.469      44.075     142.740       0.085   16373    4267
           2      44.109     142.598     398.936      44.109     142.598       0.009   16271    4242
           3      44.119     142.534     549.387      44.119     142.534       0.028   16225    4235
           4      44.190     142.415     725.052      44.190     142.415       0.057   16139    4184
           5      44.297     142.365    1430.448      44.296     142.365       0.068   16103    4107
           6      44.360     142.442    1725.930      44.361     142.443       0.082   16159    4061
           7      44.481     142.335    2901.605      44.481     142.336       0.055   16082    3974
           8      44.481     142.335    2901.605      44.481     142.336       0.055   16082    3974
           9      44.594     142.302    3219.196      44.593     142.302       0.084   16058    3893
          10      44.705     142.267    3411.065      44.705     142.267       0.033   16033    3813
          11      44.809     142.070    4061.501      44.809     142.071       0.068   15891    3738
          12      44.898     142.006    4178.225      44.896     142.006       0.214   15845    3674
          13      44.927     141.878      19.250      44.926     141.879       0.127   15753    3653
          14      44.997     141.815       8.838      44.996     141.816       0.125   15707    3603
          15      44.892     141.741      16.486      44.892     141.740       0.086   15654    3678
          16      45.003     141.710     589.677      45.004     141.710       0.067   15632    3598
          17      45.217     141.722     185.223      45.217     141.722       0.054   15640    3444
          18      44.885     141.913      92.717      44.886     141.913       0.067   15778    3683
          19      44.831     141.933       3.038      44.831     141.932       0.058   15792    3722
          20      45.010     142.078      92.665      45.011     142.078       0.074   15897    3593
          21      44.955     142.055     199.689      44.955     142.055       0.019   15880    3633
          22      44.919     142.017     259.029      44.919     142.018       0.058   15853    3659
          23      44.695     142.038     289.025      44.696     142.038       0.097   15868    3820
          24      44.301     142.649     316.201      44.301     142.649       0.042   16308    4104
          25      44.319     142.583     623.941      44.319     142.583       0.039   16260    4091
          26      44.333     142.485     686.448      44.333     142.485       0.052   16190    4081
          27      44.333     142.485     686.448      44.333     142.485       0.052   16190    4081
          28      44.317     142.449     154.957      44.317     142.450       0.068   16164    4092
          29      44.101     142.383     295.527      44.101     142.382       0.061   16116    4248
          30      44.166     142.377     622.715      44.166     142.377       0.008   16112    4201
          31      44.026     142.405      65.623      44.026     142.405       0.036   16132    4302
          32      44.088     142.747      74.039      44.089     142.747       0.098   16378    4257
          33      45.072     141.835      91.000      45.071     141.835       0.067   15722    3549
          34      44.377     142.688     107.735      44.377     142.688       0.018   16336    4049
          35      44.328     142.628     198.807      44.328     142.629       0.067   16293    4084
          36      44.363     142.676      41.950      44.363     142.675       0.060   16327    4059
          37      44.174     142.274     143.613      44.174     142.274       0.042   16038    4195
          38      44.141     142.360     277.668      44.141     142.361       0.046   16100    4219
          39      44.188     142.260      58.126      44.188     142.260       0.041   16028    4185
          40      44.028     142.360      72.581      44.029     142.361       0.074   16100    4300
          41      44.478     142.377       5.102      44.479     142.377       0.059   16112    3976
          42      44.460     142.370     230.925      44.460     142.369       0.102   16107    3989
          43      44.342     142.445       7.379      44.342     142.445       0.042   16161    4074
          44      43.849     141.806      50.501      43.850     141.806       0.079   15701    4429
          45      43.856     141.760     168.852      43.856     141.759       0.118   15668    4424
          46      43.913     141.698     239.936      43.914     141.698       0.090   15623    4383
          47      43.937     141.665     264.491      43.937     141.666       0.116   15599    4366
          48      43.927     141.678       4.648      43.927     141.678       0.039   15609    4373
          49      43.633     143.010     111.383      43.633     143.010       0.053   16568    4585
          50      43.727     142.955     431.687      43.727     142.955       0.014   16528    4517
          51      43.842     142.765     830.566      43.842     142.764       0.062   16391    4434
          52      43.890     142.655    1069.860      43.889     142.655       0.065   16312    4400
          53      43.891     142.522    1299.447      43.891     142.521       0.043   16216    4399
          54      43.816     142.419    1608.314      43.816     142.419       0.021   16142    4453
          55      43.778     142.358    1892.149      43.778     142.358       0.061   16098    4480
          56      43.778     142.358    1892.149      43.778     142.358       0.061   16098    4480
          57      43.765     142.277    3317.492      43.764     142.276       0.109   16040    4490
          58      43.717     142.133    3534.186      43.718     142.133       0.076   15936    4524
          59      43.559     141.885    5688.922      43.559     141.884       0.116   15758    4638
          60      43.431     141.845    8941.851      43.432     141.839       0.505   15729    4730
          61      43.330     141.694    9286.726      43.332     141.691       0.328   15620    4803
          62      43.124     141.542   12651.872      43.122     141.542       0.257   15511    4951
          63      43.167     141.419       3.604      43.167     141.420       0.110   15422    4920
          64      43.149     142.602     327.305      43.149     142.602       0.035   16274    4933
          65      43.166     142.585     368.700      43.166     142.586       0.047   16262    4921
          66      43.297     142.395     976.961      43.297     142.395       0.054   16125    4827
          67      43.366     142.359    1563.093      43.366     142.359       0.004   16099    4777
          68      43.560     142.044    2548.811      43.560     142.044       0.051   15872    4637
          69      43.685     142.178      65.930      43.685     142.178       0.060   15969    4547
          70      43.747     142.319      30.807      43.746     142.319       0.062   16070    4503
          71      43.876     142.252      67.821      43.876     142.252       0.035   16022    4410
          72      43.794     142.280     120.282      43.793     142.280       0.084   16042    4469
          73      43.824     142.328     173.406      43.824     142.329       0.054   16077    4447
          74      43.620     142.753     126.063      43.620     142.754       0.045   16383    4594
          75      43.631     142.690      58.289      43.631     142.689       0.056   16337    4586
          76      43.649     142.585     244.631      43.649     142.586       0.058   16262    4573
          77      43.694     142.501     259.940      43.693     142.501       0.087   16201    4541
          78      43.748     142.376     336.644      43.748     142.376       0.026   16111    4502
          79      43.805     142.487     193.417      43.805     142.487       0.022   16191    4461
          80      43.788     142.442     200.230      43.788     142.443       0.055   16159    4473
          81      43.776     142.372     269.342      43.775     142.372       0.086   16108    4482
          82      43.802     142.517     133.439      43.802     142.518       0.052   16213    4463
          83      43.870     142.463      56.568      43.870     142.463       0.023   16174    4414
          84      43.912     142.573     163.139      43.912     142.574       0.090   16253    4384
          85      43.949     142.605     135.458      43.949     142.605       0.035   16276    4357
          86      43.863     142.844      33.282      43.863     142.843       0.064   16448    4419
          87      43.465     142.463     123.667      43.464     142.462       0.116   16174    4706
          88      43.420     142.430     134.617      43.420     142.430       0.020   16150    4738
          89      43.356     142.383     343.430      43.356     142.383       0.040   16116    4784
          90      43.349     142.401     117.265      43.349     142.401       0.042   16129    4789
          91      43.363     142.415      77.817      43.363     142.415       0.040   16139    4779
          92      43.299     142.410     131.323      43.299     142.411       0.057   16136    4825
          93      43.216     142.499      88.906      43.216     142.500       0.058   16200    4885
          94      43.860     142.369      52.156      43.860     142.369       0.051   16106    4421
          95      43.665     142.403     196.026      43.665     142.403       0.060   16131    4562
          96      43.628     142.574      90.942      43.629     142.574       0.064   16254    4588
          97      43.594     142.487      67.149      43.594     142.487       0.032   16191    4613
          98      43.585     142.456     135.998      43.586     142.456       0.068   16169    4619
          99      43.644     142.397     411.313      43.643     142.396       0.094   16126    4577
         100      43.680     142.377     641.032      43.680     142.378       0.075   16112    4551
         101      43.728     142.399      57.596      43.728     142.400       0.076   16128    4516
         102      43.745     142.490      91.440      43.746     142.489       0.106   16193    4504
         103      43.840     142.520      34.982      43.839     142.521       0.094   16215    4436
         104      43.792     142.326      22.336      43.792     142.326       0.048   16075    4470
         105      43.645     143.066      45.113      43.646     143.066       0.096   16608    4576
         106      43.774     142.490      86.809      43.774     142.489       0.057   16193    4483
         107      43.809     142.466     212.446      43.809     142.466       0.004   16176    4458
         108      43.765     142.428      33.016      43.764     142.427       0.135   16149    4490
         109      42.984     142.398     286.108      42.984     142.399       0.088   16127    5052
         110      42.759     142.137     944.115      42.759     142.136       0.066   15939    5214
         111      42.658     142.072    1051.805      42.658     142.071       0.060   15892    5287
         112      42.574     141.937    1224.870      42.574     141.936       0.073   15795    5347
         113      42.977     142.399     169.476      42.977     142.399       0.027   16128    5057
         114      45.247     141.845      83.594      45.247     141.841       0.329   15729    3423
         115      45.391     141.773      53.621      45.392     141.769       0.327   15677    3319
         116      45.406     141.755     300.135      45.405     141.754       0.155   15664    3308
         117      45.223     142.224     215.390      45.223     142.226       0.133   16002    3440
         118      44.992     142.295     369.930      44.992     142.294       0.097   16053    3606
         119      44.960     142.272     197.048      44.961     142.272       0.075   16036    3629
         120      44.828     142.301      20.394      44.828     142.301       0.057   16057    3724
         121      45.069     142.319     505.077      45.068     142.319       0.086   16070    3551
         122      44.969     142.291     118.660      44.969     142.291       0.028   16050    3623
         123      44.840     142.458      32.579      44.840     142.458       0.054   16170    3716
         124      44.838     142.649       1.045      44.837     142.649       0.134   16308    3717
         125      44.658     141.927     283.672      44.657     141.926       0.112   15788    3847
         126      44.313     141.774     202.066      44.313     141.774       0.032   15678    4095
         127      44.231     141.790     138.786      44.231     141.790       0.044   15689    4154
         128      44.256     141.713     150.645      44.256     141.713       0.032   15634    4136
         129      43.999     141.751     367.725      44.000     141.750       0.095   15661    4321
         130      45.327     142.113      33.904      45.327     142.114       0.064   15922    3365
         131      44.927     142.580      36.750      44.928     142.580       0.103   16258    3653
         132      44.708     142.803      97.087      44.707     142.805       0.140   16419    3811
         133      45.402     141.849      93.143      45.403     141.849       0.104   15732    3311
         134      45.394     141.706      11.481      45.394     141.706       0.034   15629    3317
         135      44.524     141.777      49.804      44.524     141.777       0.035   15680    3943
         136      44.422     141.791      43.876      44.422     141.791       0.052   15690    4017
         137      44.153     141.665      30.154      44.154     141.664       0.074   15599    4210
         138      43.872     141.597      71.765      43.872     141.596       0.068   15550    4413
         139      43.848     141.516       1.877      43.848     141.516       0.011   15492    4430
         140      44.840     142.476     214.852      44.840     142.476       0.052   16183    3716
         141      44.192     143.076     251.743      44.192     143.076       0.047   16615    4182
         142      44.249     143.259     996.659      44.250     143.259       0.077   16747    4141
         143      44.349     143.273    1203.763      44.349     143.273       0.035   16757    4069
         144      44.380     143.301    1217.101      44.380     143.301       0.029   16777    4047
         145      44.191     143.083      23.799      44.191     143.083       0.029   16620    4183
         146      44.006     143.340     808.969      44.006     143.340       0.044   16805    4316
         147      44.053     143.519     956.381      44.053     143.519       0.055   16934    4282
         148      44.099     143.544      72.658      44.099     143.544       0.040   16952    4249
         149      44.199     143.591    1461.791      44.200     143.591       0.077   16986    4177
         150      43.919     143.533       1.459      43.919     143.533       0.040   16944    4379
         151      44.053     143.544     276.375      44.053     143.544       0.056   16952    4282
         152      43.605     143.338      46.280      43.605     143.338       0.021   16804    4605
         153      43.634     143.497     169.221      43.634     143.496       0.042   16918    4584
         154      43.683     143.599     422.324      43.682     143.599       0.076   16992    4549
         155      43.755     143.840     664.666      43.754     143.840       0.101   17165    4497
         156      43.799     143.910    1403.729      43.800     143.911       0.090   17216    4465
         157      43.922     143.969    1549.087      43.921     143.968       0.084   17258    4377
         158      44.013     143.987    1846.871      44.013     143.986       0.068   17271    4311
         159      44.058     144.035    1895.811      44.057     144.035       0.079   17306    4279
         160      44.119     144.073    1909.304      44.119     144.072       0.078   17333    4235
         161      43.983     143.947       6.711      43.982     143.946       0.083   17242    4333
         162      43.901     143.897      94.896      43.900     143.896       0.088   17206    4392
         163      43.759     143.512     304.971      43.759     143.512       0.016   16929    4494
         164      43.788     143.622     422.280      43.788     143.621       0.046   17008    4473
         165      43.792     143.765     467.221      43.793     143.765       0.077   17111    4470
         166      43.788     143.890     564.549      43.789     143.890       0.096   17201    4473
         167      43.785     143.838      89.991      43.785     143.838       0.049   17164    4475
         168      43.615     143.342      52.081      43.614     143.343       0.083   16807    4598
         169      43.808     143.845      11.650      43.808     143.846       0.080   17169    4459
         170      43.710     144.009     569.864      43.711     144.009       0.065   17287    4529
         171      43.648     143.991     156.847      43.648     143.991       0.009   17274    4574
         172      43.835     144.098     809.104      43.836     144.098       0.065   17351    4439
         173      43.898     144.131    1086.068      43.898     144.132       0.061   17375    4394
         174      43.958     144.201     123.586      43.958     144.199       0.143   17425    4351
         175      44.005     144.231    1364.869      44.005     144.231       0.025   17447    4317
         176      43.913     144.178      17.048      43.913     144.179       0.048   17409    4383
         177      43.820     144.141     178.587      43.821     144.141       0.095   17382    4450
         178      43.828     144.123     203.762      43.829     144.122       0.095   17369    4444
         179      43.698     144.038     148.317      43.698     144.040       0.144   17308    4538
         180      43.817     144.108      11.861      43.818     144.108       0.077   17358    4452
         181      43.488     144.451     433.336      43.488     144.451       0.032   17605    4689
         182      43.299     144.601     876.789      43.300     144.601       0.081   17713    4825
         183      43.085     144.427    1645.831      43.086     144.427       0.065   17588    4979
         184      42.994     144.469      80.221      42.993     144.469       0.086   17618    5045
         185      42.987     144.395     165.767      42.986     144.396       0.113   17565    5050
         186      43.056     144.397    2190.826      43.056     144.397       0.048   17566    5000
         187      43.008     144.366    2320.189      43.007     144.367       0.110   17544    5035
         188      43.013     144.362     126.117      43.014     144.362       0.091   17541    5031
         189      43.237     144.327     156.248      43.237     144.327       0.023   17516    4870
         190      43.217     144.344     169.559      43.217     144.343       0.073   17528    4884
         191      43.220     144.431      97.813      43.220     144.432       0.063   17591    4882
         192      43.290     144.537     139.060      43.289     144.537       0.066   17667    4832
         193      43.481     144.451     138.548      43.481     144.451       0.037   17605    4694
         194      43.158     144.324     123.365      43.157     144.325       0.090   17514    4927
         195      42.994     144.469      80.221      42.993     144.469       0.086   17618    5045
         196      43.424     142.866       6.323      43.418     142.866       0.701   16464    4735
         197      43.323     142.942     538.196      43.323     142.943       0.052   16519    4808
         198      43.067     142.928     807.235      43.068     142.926       0.213   16509    4992
         199      43.013     142.935     856.128      43.013     142.938       0.212   16514    5031
         200      42.931     143.047       1.031      42.931     143.047       0.047   16594    5090
         201      42.937     143.203    2674.479      42.934     143.203       0.314   16707    5086
         202      42.927     143.292       3.411      42.927     143.291       0.111   16771    5093
         203      42.923     143.385    5084.656      42.920     143.384       0.344   16838    5096
         204      42.808     143.512    8163.789      42.808     143.512       0.043   16929    5179
